temps_ms;cx;cy;amplada;alcada
1735;;;;
1997;;;;
2120;438;239;120;154
2252;444;241;153;162
2364;431;242;173;158
2509;;;;
2705;447;241;140;171
2849;306;462;28;26
3019;305;458;22;32
3192;305;459;23;30
3312;306;460;21;27
3421;421;268;27;39
3525;;;;
3632;306;459;19;27
3737;;;;
3832;;;;
4024;;;;
4121;420;237;41;122
4216;;;;
4317;422;270;32;57
4421;307;460;18;27
4526;;;;
4633;306;460;21;27
4736;306;460;24;28
4832;305;459;23;30
4932;306;458;24;31
5035;305;460;29;30
5138;306;460;25;28
5238;305;462;52;32
5337;;;;
5438;;;;
5578;;;;
5678;;;;
5772;;;;
5875;;;;
5973;;;;
6078;;;;
6179;;;;
6285;309;221;70;100
6387;;;;
6490;;;;
6594;306;459;30;31
6708;;;;
6818;;;;
6927;;;;
7031;307;461;26;27
7154;305;461;32;27
7260;306;461;28;27
7365;307;461;30;28
7473;306;461;28;26
7574;;;;
7671;307;462;34;28
7777;307;463;31;26
7880;306;462;32;27
7988;;;;
8088;306;463;28;24
8192;;;;
8289;;;;
8386;;;;
8480;;;;
8576;;;;
8710;;;;
8818;;;;
8921;;;;
9020;;;;
9116;;;;
9213;;;;
9314;;;;
9409;;;;
9502;;;;
9595;;;;
9689;;;;
9778;;;;
9879;;;;
9977;;;;
10070;;;;
10259;;;;
10360;;;;
10459;;;;
10558;;;;
10646;;;;
10741;;;;
10837;;;;
10935;;;;
11028;;;;
11126;;;;
11225;;;;
11330;;;;
11433;;;;
11534;;;;
11626;;;;
11805;;;;
11898;;;;
11993;;;;
12088;;;;
12178;;;;
12275;311;459;27;32
12380;310;456;25;40
12478;311;452;23;46
12572;308;444;24;47
12661;306;435;22;47
12764;306;434;25;48
12861;305;425;20;48
12956;305;417;20;47
13043;307;413;20;48
13132;307;405;19;52
13253;311;400;21;46
13349;314;391;19;43
13443;319;386;22;42
13541;323;379;23;40
13641;329;370;16;42
13747;334;360;18;36
13853;340;342;21;59
13946;348;327;25;71
14053;357;329;22;46
14151;;;;
14244;;;;
14339;;;;
14437;;;;
14537;;;;
14632;;;;
14815;;;;
14911;;;;
15010;;;;
15106;422;232;84;124
15205;;;;
15300;;;;
15404;;;;
15499;;;;
15595;;;;
15690;;;;
15781;;;;
15883;;;;
15977;;;;
16071;;;;
16164;;;;
16288;;;;
16395;;;;
16499;;;;
16603;;;;
16699;;;;
16795;;;;
16894;;;;
16986;;;;
17081;;;;
17177;;;;
17272;;;;
17368;;;;
17460;;;;
17556;;;;
17642;;;;
17773;;;;
17863;;;;
17959;;;;
18065;;;;
18157;;;;
18253;;;;
18349;;;;
18447;;;;
18542;;;;
18637;;;;
18732;;;;
18829;;;;
18922;;;;
19017;;;;
19107;;;;
19230;;;;
19330;;;;
19423;;;;
19511;;;;
19611;;;;
19707;;;;
19801;;;;
19896;;;;
20002;;;;
20104;;;;
20197;;;;
20292;;;;
20387;;;;
20482;;;;
20588;;;;
20774;;;;
20874;;;;
20973;;;;
21068;;;;
21173;;;;
21270;;;;
21370;;;;
21464;;;;
21568;;;;
21665;;;;
21766;;;;
21874;;;;
21999;;;;
22107;;;;
22209;;;;
22386;;;;
22502;;;;
22611;;;;
22725;;;;
22836;333;307;21;35
22939;332;308;21;34
23043;;;;
23146;;;;
23242;;;;
23340;;;;
23440;;;;
23538;;;;
23637;;;;
23732;;;;
23828;334;307;22;35
23951;;;;
24046;;;;
24142;;;;
24243;;;;
24341;333;307;21;33
24441;332;262;42;130
24608;333;308;20;34
24734;333;309;20;34
24841;;;;
24949;;;;
25118;334;307;22;35
25272;333;309;21;32
25418;334;308;21;31
25610;333;307;23;35
25753;323;264;69;130
25964;;;;
26061;;;;
26156;;;;
26248;;;;
26347;;;;
26441;;;;
26541;;;;
26649;;;;
26745;;;;
26841;;;;
26936;;;;
27029;;;;
27125;;;;
27211;;;;
27308;331;312;60;52
27499;;;;
27610;;;;
27712;336;304;31;38
27812;334;303;22;37
27909;335;304;22;35
28011;;;;
28116;324;257;59;139
28216;441;235;92;133
28313;445;230;106;128
28410;336;304;30;37
28521;426;228;83;111
28618;;;;
28714;337;304;33;39
28818;;;;
28927;519;279;46;62
29059;;;;
29161;;;;
29261;;;;
29369;;;;
29469;;;;
29572;;;;
29671;;;;
29772;;;;
29878;533;323;50;88
29980;;;;
30079;336;305;25;36
30181;531;341;46;62
30284;529;342;55;66
30382;531;342;53;84
30479;531;350;54;85
30634;;;;
30729;522;348;68;81
30825;519;349;61;72
