temps_ms;throttle;yaw;pitch;trim;estat
9525;77;84;64;63;1
9567;77;84;64;63;1
9610;77;84;64;63;1
9652;77;64;64;63;1
9694;77;64;64;63;1
9737;77;64;64;63;1
9782;77;64;64;63;1
9824;77;64;64;63;1
9866;77;64;64;63;1
9907;77;64;64;63;1
9971;77;84;64;63;1
10015;76;64;64;63;1
10060;76;64;64;63;1
10104;77;64;64;63;1
10147;77;64;64;63;1
10189;76;64;64;63;1
10229;76;64;64;63;1
10274;75;64;64;63;1
10367;75;84;64;63;1
10410;74;64;64;63;1
10450;74;64;64;63;1
10496;74;64;64;63;1
10538;75;64;64;63;1
10581;75;64;64;63;1
10621;76;64;64;63;1
10664;76;64;64;63;1
10758;76;84;64;63;1
10800;76;64;64;63;1
10843;76;64;64;63;1
10884;75;64;64;63;1
10929;75;64;64;63;1
10969;75;64;64;63;1
11013;74;64;64;63;1
11054;74;64;64;63;1
11154;74;84;64;63;1
11199;73;64;64;63;1
11240;71;64;64;63;1
11285;71;64;64;63;1
11330;71;64;64;63;1
11373;71;64;64;63;1
11413;70;64;64;63;1
11457;70;64;64;63;1
11549;70;84;64;63;1
11593;70;64;64;63;1
11636;63;64;64;63;2
11677;63;64;64;63;2
11723;63;64;64;63;2
11769;63;64;64;63;2
11812;62;64;64;63;2
11858;62;64;64;63;2
11900;62;64;64;63;2
11944;62;64;64;63;2
11989;61;64;64;63;2
12031;61;64;64;63;2
12073;61;64;64;63;2
12118;61;64;64;63;2
12161;60;64;64;63;2
12269;60;84;64;63;2
12312;60;64;64;63;2
12354;60;64;64;63;2
12396;60;64;64;63;2
12440;60;64;64;63;2
12482;60;64;64;63;2
12526;60;64;64;63;2
12567;60;64;64;63;2
12610;60;64;64;63;2
12652;60;64;64;63;2
12749;60;64;64;63;3
12790;72;64;64;63;3
12834;72;64;64;63;3
12876;72;64;64;63;3
12941;72;84;64;63;3
12982;72;64;64;63;3
13024;72;64;64;63;3
13068;0;64;64;63;4
13110;0;64;64;63;4
13151;0;64;64;63;4
13197;0;64;64;63;4
13238;0;64;64;63;4
13327;0;64;64;63;4
13370;0;64;64;63;4
13412;0;64;64;63;4
13455;0;64;64;63;4
13497;0;64;64;63;4
13541;0;64;64;63;4
