temps_ms;cx;cy;amplada;alcada
34977;;;;
35079;;;;
35174;;;;
35269;;;;
35368;;;;
35469;272;242;92;134
35573;;;;
35673;;;;
35807;;;;
35907;;;;
36007;;;;
36098;;;;
36201;;;;
36304;;;;
36402;260;230;95;133
36505;259;246;94;91
36611;260;231;103;133
36716;;;;
36822;260;234;99;137
36931;;;;
37031;;;;
37133;265;238;82;133
37227;;;;
37364;;;;
37465;;;;
37568;;;;
37653;;;;
37754;;;;
37853;267;237;91;137
37957;;;;
38056;;;;
38161;;;;
38262;;;;
38359;;;;
38462;;;;
38561;;;;
38663;265;239;86;148
38766;;;;
38895;;;;
38997;;;;
39096;;;;
39190;;;;
39290;;;;
39393;273;252;97;160
39495;;;;
39593;;;;
39693;;;;
39794;;;;
39898;;;;
39996;;;;
40098;;;;
40198;272;247;104;162
40297;;;;
40430;270;249;102;169
40527;269;252;109;169
40624;274;258;96;161
40722;;;;
40825;275;258;96;158
40926;;;;
41027;;;;
41126;275;255;98;164
41227;;;;
41326;;;;
41451;269;239;82;136
41577;;;;
41712;270;255;102;158
41881;280;257;84;162
42032;;;;
42244;;;;
42398;;;;
42559;270;249;102;159
42712;;;;
42840;;;;
42964;;;;
43072;;;;
43178;278;259;85;150
43279;270;258;105;160
43380;276;261;92;153
43474;269;254;109;169
43574;280;249;82;151
43672;270;250;102;163
43780;274;252;96;159
43881;272;255;101;162
44010;269;253;107;170
44100;273;253;103;168
44200;;;;
44299;277;259;92;161
44401;272;259;106;168
44502;;;;
44612;;;;
44709;;;;
44815;;;;
44925;286;306;59;57
45021;;;;
45120;286;308;62;53
45229;;;;
45351;;;;
45461;;;;
45594;;;;
45698;281;256;86;147
45796;;;;
45901;;;;
46001;273;242;98;148
46124;285;253;74;163
46230;;;;
46327;286;254;82;162
46431;281;248;82;159
46529;283;251;75;148
46617;;;;
