temps_ms;cx;cy;amplada;alcada
251;;;;
496;;;;
607;;;;
715;;;;
817;;;;
934;;;;
1045;;;;
1167;;;;
1263;;;;
1371;;;;
1472;;;;
1569;;;;
1673;;;;
1781;;;;
1882;;;;
1978;;;;
2193;;;;
2292;;;;
2383;;;;
2479;;;;
2580;;;;
2676;;;;
2776;;;;
2877;;;;
2971;;;;
3060;;;;
3152;;;;
3246;;;;
3340;;;;
3439;;;;
3525;;;;
3648;;;;
3747;;;;
3841;;;;
3933;;;;
4024;;;;
4120;;;;
4209;;;;
4302;;;;
4391;;;;
4489;;;;
4587;;;;
4681;;;;
4774;;;;
4867;;;;
4957;;;;
5117;;;;
5215;;;;
5312;;;;
5401;;;;
5490;;;;
5585;;;;
5679;;;;
5775;;;;
5871;;;;
5962;;;;
6053;;;;
6153;;;;
6252;;;;
6348;;;;
6447;;;;
6645;;;;
6751;;;;
6854;;;;
6972;;;;
7078;;;;
7238;;;;
7368;;;;
7511;;;;
7647;;;;
7808;;;;
7940;;;;
8064;;;;
8181;;;;
8298;;;;
8402;;;;
8551;;;;
8644;;;;
8743;;;;
8847;;;;
8945;;;;
9043;;;;
9139;;;;
9236;;;;
9331;;;;
9439;182;316;192;218
9539;;;;
9634;;;;
9729;;;;
9826;;;;
9923;;;;
10083;220;266;133;108
10177;226;271;129;121
10275;;;;
10376;;;;
10474;;;;
10573;;;;
10678;;;;
10772;;;;
10863;273;318;182;164
10970;272;319;185;163
11066;;;;
11166;;;;
11260;;;;
11361;;;;
11456;;;;
11581;;;;
11678;274;320;188;161
11772;272;321;187;162
11865;307;320;124;153
11964;309;320;126;152
12068;273;321;192;162
12169;;;;
12265;;;;
12364;;;;
12458;;;;
12553;;;;
12646;;;;
12742;;;;
12836;;;;
12933;;;;
13144;;;;
13278;;;;
13413;;;;
13539;;;;
13659;;;;
13756;;;;
13859;;;;
13952;;;;
14052;;;;
14147;;;;
14245;;;;
14347;;;;
14448;;;;
14544;;;;
14637;;;;
14754;;;;
14850;;;;
14947;;;;
15044;;;;
15134;;;;
15227;;;;
15329;;;;
15436;;;;
15526;;;;
15619;;;;
15715;;;;
15815;;;;
15909;;;;
16004;;;;
16097;;;;
16244;;;;
16347;;;;
16441;;;;
16534;;;;
16628;;;;
16727;;;;
16821;;;;
16915;;;;
17016;;;;
