temps_ms;cx;cy;amplada;alcada;ratio
270;;;;;0
492;;;;;0
625;;;;;0
745;;;;;0
847;;;;;0
937;;;;;0
1020;;;;;0
1112;;;;;0
1204;;;;;0
1291;;;;;0
1382;;;;;0
1475;;;;;0
1559;;;;;0
1648;;;;;0
1741;;;;;0
1827;;;;;0
1951;;;;;0
2040;;;;;0
2122;;;;;0
2213;;;;;0
2299;;;;;0
2387;;;;;0
2478;;;;;0
2568;;;;;0
2652;;;;;0
2748;312;462;27;29;0,621
2835;314;454;27;43;0,605
2922;312;446;32;58;0,586
3013;305;436;24;33;1,333
3105;300;422;24;37;1,568
3192;297;405;24;45;1,667
3376;;;;;0
3466;276;370;26;53;2,075
3557;266;351;21;43;3,000
3645;259;340;26;50;2,800
3738;253;323;28;45;3,489
3826;246;312;26;47;3,574
3916;237;294;26;53;3,509
3998;226;276;23;53;3,849
4084;216;259;25;50;4,420
4171;212;247;26;48;4,854
4256;204;228;27;53;4,755
4352;200;215;29;50;5,300
4441;193;196;30;56;5,071
4523;192;176;31;66;4,606
4609;189;165;31;63;5,000
4789;186;152;27;53;6,189
4885;184;129;26;53;6,623
4973;184;115;33;61;5,984
5059;181;100;33;59;6,441
5153;181;94;37;53;7,283
5240;180;83;37;59;6,729
5325;184;71;36;58;7,052
5419;183;65;43;57;7,281
5505;187;53;46;67;6,373
5590;185;47;47;63;6,873
5684;185;38;51;68;6,500
5776;185;30;54;56;8,036
5859;183;29;58;59;7,644
5955;183;26;62;53;8,566
6043;183;25;62;50;9,100
6156;182;20;62;42;10,952
6250;176;20;67;42;10,952
6340;175;20;79;42;10,952
6430;170;22;84;44;10,409
6523;168;20;86;42;10,952
6613;160;27;89;52;8,712
6699;157;28;98;57;7,930
6785;149;39;99;73;6,041
6882;148;50;98;74;5,811
6974;143;72;98;70;5,829
7060;139;99;106;72;5,292
7150;137;116;111;74;4,919
7243;136;151;112;69;4,768
7331;137;189;115;75;3,880
7422;139;218;118;80;3,275
7580;145;263;121;82;2,646
7672;158;348;130;84;1,571
7762;199;412;78;77;0,883
7855;211;448;74;59;0,542
7949;;;;;0
8050;;;;;0
8146;237;451;77;51;0,569
8237;222;443;129;70;0,529
8318;233;434;127;87;0,529
8410;251;418;125;86;0,721
8501;268;396;123;74;1,135
8592;281;386;119;75;1,253
8681;302;379;115;81;1,247
8774;334;401;88;75;1,053
8859;378;450;52;56;0,536
9052;;;;;0
9141;;;;;0
9226;;;;;0
9321;;;;;0
9412;;;;;0
9501;;;;;0
9584;;;;;0
9678;;;;;0
9768;;;;;0
9851;;;;;0
9938;;;;;0
10023;;;;;0
10119;;;;;0
10209;;;;;0
10295;;;;;0
10415;;;;;0
10510;;;;;0
10595;;;;;0
10685;;;;;0
10769;;;;;0
