temps_ms;cx;cy;amplada;alcada
1489;;;;
1768;;;;
1876;;;;
1982;;;;
2081;;;;
2187;;;;
2298;;;;
2405;;;;
2508;;;;
2610;;;;
2701;;;;
2799;;;;
2897;;;;
2997;;;;
3092;;;;
3216;;;;
3468;;;;
3585;;;;
3704;;;;
3890;;;;
4047;;;;
4231;;;;
4379;;;;
4502;;;;
4635;;;;
4746;;;;
4860;;;;
4966;;;;
5067;;;;
5169;;;;
5268;;;;
5400;;;;
5501;;;;
5609;;;;
5708;;;;
5812;;;;
5912;;;;
6012;;;;
6113;;;;
6216;;;;
6316;;;;
6415;;;;
6519;;;;
6620;;;;
6726;;;;
6836;;;;
7001;;;;
7110;;;;
7218;;;;
7321;;;;
7424;;;;
7528;;;;
7638;;;;
7738;;;;
7843;;;;
7948;;;;
8057;;;;
8149;;;;
8251;;;;
8351;;;;
8452;;;;
8588;;;;
8694;;;;
8795;;;;
8899;;;;
8996;;;;
9095;;;;
9190;;;;
9277;;;;
9377;;;;
9471;;;;
9572;;;;
9672;;;;
9764;;;;
9866;;;;
9971;;;;
10125;;;;
10235;;;;
10329;;;;
10424;;;;
10514;;;;
10625;;;;
10728;;;;
10820;;;;
10917;;;;
11018;;;;
11110;;;;
11201;;;;
11287;;;;
11380;;;;
11481;;;;
11683;;;;
11782;;;;
11886;;;;
11989;;;;
12088;;;;
12192;358;422;22;30
12296;358;416;25;43
12400;360;409;27;47
12496;362;401;28;50
12603;363;391;27;52
12703;365;381;27;53
12796;365;373;27;55
12893;370;371;27;54
12996;372;367;27;49
13097;377;362;24;49
13290;382;357;25;48
13394;390;343;27;46
13499;398;335;26;47
13600;401;331;22;40
13697;406;324;25;46
13793;413;312;28;41
13890;419;303;32;44
13986;421;299;31;44
14083;426;288;30;43
14178;;;;
14272;;;;
14368;;;;
14462;;;;
14558;;;;
14652;;;;
14844;;;;
14956;;;;
15048;;;;
15147;;;;
15243;;;;
15335;;;;
15435;447;206;116;139
15536;;;;
15633;;;;
15732;453;125;36;39
15832;455;113;41;44
15929;455;107;44;37
16026;454;99;43;39
16122;452;96;40;40
16215;452;93;38;40
16385;451;91;38;40
16488;447;90;40;39
16586;445;91;38;41
16690;444;93;38;41
16790;444;98;36;40
16890;440;103;35;37
16989;440;106;36;37
17089;441;113;41;44
17188;440;124;41;39
17287;434;130;31;37
17388;436;140;33;37
17486;;;;
17582;;;;
17682;;;;
17791;;;;
17924;;;;
18022;;;;
18116;;;;
18218;;;;
18314;;;;
18414;;;;
18511;;;;
18609;;;;
18712;;;;
18810;;;;
18901;;;;
19004;;;;
19107;;;;
19211;;;;
19316;;;;
19448;;;;
19551;;;;
19652;;;;
19751;;;;
19854;;;;
19952;;;;
20051;;;;
20149;;;;
20246;;;;
20342;;;;
20438;;;;
20535;;;;
20637;;;;
20736;;;;
20834;;;;
21016;;;;
21114;;;;
21211;;;;
21314;;;;
21417;;;;
21514;;;;
21610;;;;
21707;;;;
21807;;;;
21906;;;;
22004;;;;
22096;;;;
22194;;;;
22289;;;;
22381;;;;
22553;;;;
22657;;;;
22752;;;;
22855;;;;
22957;;;;
23058;;;;
23164;;;;
23265;;;;
23364;;;;
23461;;;;
23557;;;;
23648;;;;
23752;;;;
23846;;;;
23951;;;;
24101;;;;
24204;;;;
24301;;;;
24406;;;;
24502;;;;
24601;;;;
24701;;;;
24797;;;;
24891;;;;
24988;345;234;56;119
25090;;;;
25186;345;276;23;30
25277;;;;
25376;;;;
25487;346;233;52;119
25661;347;237;52;113
25766;;;;
25860;346;276;27;30
25965;;;;
26071;;;;
26168;;;;
26270;;;;
26371;;;;
26470;;;;
26571;;;;
26671;;;;
26778;;;;
26927;;;;
27044;347;275;29;32
27172;;;;
27340;;;;
27486;;;;
27616;343;239;64;116
27788;349;276;29;32
27947;;;;
28088;348;276;26;32
28219;;;;
28336;;;;
28456;;;;
28564;;;;
28667;;;;
28770;;;;
28872;;;;
28981;;;;
29085;;;;
29221;;;;
29326;;;;
29443;;;;
29541;342;238;70;129
29660;;;;
29778;;;;
29878;;;;
29979;;;;
30072;;;;
30167;;;;
30261;;;;
30352;;;;
