TEMPS;THROTTLE;YAW;PITCH;TRIM
117;0;63;62;63
167;0;63;62;63
217;0;63;62;63
268;0;62;62;63
319;0;63;62;63
369;0;63;62;63
419;0;63;62;63
469;0;63;62;63
519;0;63;62;63
569;0;62;62;63
619;0;62;62;63
670;0;63;62;63
719;0;62;62;63
769;0;63;62;63
819;0;63;62;63
869;0;63;62;63
920;0;63;62;63
970;0;62;62;63
1021;0;63;62;63
1073;0;62;62;63
1123;0;62;62;63
1175;0;62;62;63
1224;0;62;62;63
1275;0;63;62;63
1325;0;63;62;63
1375;0;63;62;63
1425;0;62;62;63
1477;0;62;62;63
1527;0;62;62;63
1577;0;62;62;63
1627;0;62;62;63
1677;0;63;62;63
1727;0;63;62;63
1777;0;63;62;63
1827;0;63;62;63
1877;0;62;62;63
1927;0;62;62;63
1977;0;62;62;63
2027;0;62;62;63
2077;0;63;62;63
2127;0;63;62;63
2181;0;63;62;63
2237;0;63;62;63
2288;0;63;62;63
2341;0;62;62;63
2396;0;62;62;63
2447;0;63;62;63
2497;0;63;62;63
2550;0;63;62;63
2600;0;63;62;63
2651;0;63;62;63
2701;0;62;62;63
2752;0;62;62;63
2801;0;62;62;63
2852;0;62;62;63
2903;0;62;62;63
2953;0;63;62;63
3003;0;63;62;63
3053;0;62;62;63
3103;0;63;62;63
3153;0;62;62;63
3203;0;62;62;63
3253;0;62;62;63
3305;0;62;62;63
3356;0;63;62;63
3408;0;63;62;63
3457;0;63;62;63
3508;0;63;62;63
3558;0;63;62;63
3609;0;62;62;63
3659;0;62;62;63
3709;0;62;62;63
3759;0;62;62;63
3810;0;63;62;63
3860;0;63;62;63
3909;0;63;62;63
3959;0;63;62;63
4010;0;62;62;63
4059;0;62;62;63
4109;0;62;62;63
4160;0;63;62;63
4209;0;63;62;63
4259;0;63;62;63
4309;0;63;62;63
4359;0;63;62;63
4410;0;62;62;63
4459;0;62;62;63
4510;0;62;62;63
4562;0;62;62;63
4611;0;62;62;63
4661;0;63;62;63
4712;0;63;62;63
4761;0;63;62;63
4812;0;63;62;63
4861;0;62;62;63
4911;0;62;62;63
4961;0;62;62;63
5012;0;63;62;63
5063;0;63;62;63
5114;0;63;62;63
5164;0;63;62;63
5213;0;63;62;63
5264;0;62;62;63
5315;0;62;62;63
5366;0;62;62;63
5419;0;63;62;63
5469;0;63;62;63
5519;0;63;62;63
5573;0;63;62;63
5625;0;63;62;63
5675;0;62;62;63
5725;0;63;62;63
5775;0;62;62;63
5826;1;63;62;63
5878;2;62;62;63
5930;4;63;62;63
5982;9;63;62;63
6032;18;62;62;63
6084;26;63;62;63
6134;32;62;62;63
6184;38;62;62;63
6236;44;62;62;63
6285;50;63;62;63
6337;56;62;62;63
6388;62;63;62;63
6438;68;63;62;63
6487;69;62;62;63
6542;68;62;62;63
6592;68;62;62;63
6646;68;62;62;63
6697;68;63;62;63
6748;68;63;62;63
6799;68;63;62;63
6850;67;63;62;63
6900;67;63;62;63
6952;67;62;62;63
7002;67;62;62;63
7052;67;62;62;63
7102;67;62;62;63
7152;67;63;62;63
7209;66;63;62;63
7260;66;63;62;63
7312;66;63;62;63
7361;66;63;62;63
7416;65;62;62;63
7468;65;63;62;63
7518;65;62;62;63
7568;65;63;62;63
7617;66;63;62;63
7668;67;63;62;63
7721;69;63;62;63
7773;72;63;62;63
7823;75;62;62;63
7876;76;62;62;63
7930;76;62;62;63
7981;76;63;62;63
8031;77;63;62;63
8082;77;63;62;63
8131;77;63;62;63
8182;77;62;62;63
8232;77;62;62;63
8282;77;62;62;63
8333;77;62;62;63
8384;78;63;62;63
8433;78;63;62;63
8484;78;63;62;63
8534;78;63;62;63
8584;78;62;62;63
8634;78;62;62;63
8683;78;62;62;63
8734;78;62;62;63
8783;79;62;62;63
8834;79;63;62;63
8883;79;62;62;63
8933;79;63;62;63
8983;79;63;62;63
9034;79;63;62;63
9088;79;62;62;63
9138;80;63;62;63
9188;80;62;62;63
9237;80;63;62;63
9288;80;63;62;63
9338;78;63;62;63
9388;71;63;62;63
9440;67;63;62;63
9490;66;62;62;63
9542;65;63;62;63
9594;65;62;62;63
9646;75;63;62;63
9696;89;63;62;63
9749;93;63;62;63
9800;93;63;62;63
9849;93;63;62;63
9899;93;62;62;63
9949;93;67;62;63
10000;93;110;63;63
10052;93;114;65;63
10102;93;114;65;63
10152;93;114;62;63
10204;83;62;63;63
10254;71;62;63;63
10303;70;62;63;63
10354;70;62;63;63
10406;70;62;63;63
10459;70;62;63;63
10509;70;62;63;63
10559;69;62;63;63
10610;69;62;63;63
10660;69;62;63;63
10712;69;62;63;63
10762;68;62;63;63
10812;68;62;63;63
10862;68;62;63;63
10914;68;62;63;63
10964;68;62;63;63
11017;68;62;63;63
11068;67;62;63;63
11119;67;62;63;63
11170;67;62;63;63
11222;67;62;63;63
11272;66;62;63;63
11323;66;62;63;63
11374;66;62;63;63
11426;66;62;63;63
11477;66;62;63;63
11528;65;62;63;63
11578;65;62;63;63
11630;65;62;63;63
11679;65;62;63;63
11731;65;62;63;63
11782;65;62;63;63
11831;64;67;63;63
11882;64;99;57;63
11932;64;114;53;63
11982;64;93;43;63
12032;64;62;63;63
12084;63;62;63;63
12134;63;63;63;63
12184;63;62;63;63
12236;63;62;62;63
12289;64;62;62;63
12341;65;62;63;63
12392;66;62;63;63
12442;76;62;63;63
12492;86;62;63;63
12543;86;62;63;63
12594;86;62;63;63
12644;86;62;63;63
12696;87;62;63;63
12746;87;62;63;63
12798;87;62;63;63
12848;86;62;63;63
12900;79;62;63;63
12950;76;62;63;63
13000;76;63;63;63
13050;75;63;63;63
13102;75;62;63;63
13152;74;62;63;63
13202;74;62;63;63
13252;74;62;63;63
13302;73;62;63;63
13354;73;62;63;63
13404;73;63;63;63
13456;72;62;62;63
13506;72;62;62;63
13556;71;62;63;63
13606;71;62;63;63
13658;71;62;63;63
13709;70;62;63;63
13758;70;63;63;63
13808;70;63;63;63
13863;69;62;63;63
13914;69;62;63;63
13964;68;62;63;63
14014;68;62;63;63
14064;68;62;63;63
14116;67;62;63;63
14166;67;62;63;63
14216;66;63;63;63
14266;66;62;63;63
14318;67;62;63;63
14368;67;62;62;63
14418;68;62;63;63
14468;75;62;63;63
14518;87;62;63;63
14569;89;62;63;63
14620;89;62;63;63
14670;89;63;63;63
14720;89;62;63;63
14770;89;62;63;63
14820;89;62;62;63
14872;87;62;63;63
14922;77;62;63;63
14974;71;63;63;63
15024;70;62;62;63
15074;70;62;63;63
15126;69;63;63;63
15176;69;62;63;63
15226;68;63;63;63
15276;68;62;63;63
15326;67;62;63;63
15376;67;62;63;63
15426;67;62;63;63
15477;68;63;63;63
15526;75;63;62;63
15576;80;63;62;63
15626;80;63;63;63
15676;80;63;63;63
15726;80;63;63;63
15776;80;63;63;63
15826;80;73;60;63
15876;80;100;51;63
15928;80;106;47;63
15978;80;62;61;63
16029;80;62;62;63
16079;80;62;62;63
16129;80;62;62;63
16182;80;62;62;63
16233;80;62;62;63
16284;80;62;62;63
16334;80;61;62;63
16384;80;47;63;63
16434;80;12;63;63
16484;80;12;63;63
16536;80;27;61;63
16586;80;62;62;63
16636;80;62;62;63
16686;79;62;62;63
16736;76;62;62;63
16786;71;62;62;63
16836;68;62;62;63
16886;67;62;62;63
16936;67;62;62;63
16986;66;62;62;63
17036;66;62;62;63
17086;65;62;62;63
17136;65;62;62;63
17186;64;62;62;63
17236;64;62;62;63
17286;63;62;62;63
17336;63;65;62;63
17386;62;91;61;63
17436;62;114;60;63
17486;61;114;60;63
17536;61;114;57;63
17586;64;114;57;63
17638;78;60;64;63
17688;93;62;63;63
17738;93;62;63;63
17788;93;62;63;63
17838;93;62;63;63
17888;93;62;63;63
17938;93;62;63;63
17988;93;62;63;63
18038;93;62;63;63
18095;93;62;63;63
18146;93;62;63;63
18196;92;62;63;63
18246;84;62;63;63
18296;72;62;63;63
18346;71;62;63;63
18396;70;62;63;63
18446;70;62;63;63
18496;70;62;63;63
18546;70;62;63;63
18596;69;62;63;63
18646;69;62;63;63
18696;68;62;63;63
18748;60;62;63;63
18801;44;62;63;63
18853;27;62;63;63
18904;11;62;63;63
18954;0;62;63;63
