temps_ms;cx;cy;amplada;alcada;ratio
203;;;;;0
371;;;;;0
471;;;;;0
566;;;;;0
652;491;334;31;35;4,171
748;;;;;0
841;;;;;0
932;;;;;0
1021;;;;;0
1120;;;;;0
1216;487;334;35;40;3,650
1312;;;;;0
1404;;;;;0
1501;;;;;0
1597;;;;;0
1690;382;455;29;45;0,556
1781;;;;;0
1877;;;;;0
1973;;;;;0
2066;398;420;22;38;1,579
2151;397;413;21;41;1,634
2241;398;406;18;39;1,897
2331;397;394;20;37;2,324
2416;397;384;17;35;2,743
2513;390;368;21;34;3,294
2601;;;;;0
2685;386;348;19;34;3,882
2775;;;;;0
2868;369;315;22;36;4,583
2956;364;307;24;36;4,806
3043;354;294;30;39;4,769
3136;347;286;30;41;4,732
3224;335;273;34;43;4,814
3318;318;260;36;40;5,500
3413;309;253;33;41;5,537
3499;298;248;35;40;5,800
3588;277;235;29;40;6,125
3683;270;229;29;39;6,436
3775;255;223;29;43;5,977
3866;252;221;33;41;6,317
3951;240;217;32;43;6,116
4045;234;215;30;39;6,795
4140;229;214;26;41;6,488
4227;;;;;0
4309;;;;;0
4399;219;214;22;38;7,000
4487;;;;;0
4574;;;;;0
4663;;;;;0
4749;;;;;0
4853;;;;;0
4956;;;;;0
5057;;;;;0
5151;;;;;0
5246;;;;;0
5336;;;;;0
5430;;;;;0
5516;;;;;0
5614;;;;;0
5708;;;;;0
5797;;;;;0
5883;;;;;0
5975;;;;;0
6063;487;334;32;38;3,842
6147;;;;;0
6242;;;;;0
6326;;;;;0
6414;;;;;0
6510;;;;;0
6599;;;;;0
6684;;;;;0
6777;;;;;0
6865;;;;;0
6955;;;;;0
7049;187;425;36;44;1,250
7142;188;429;31;37;1,378
7237;;;;;0
7324;;;;;0
7406;;;;;0
7496;188;449;30;50;0,620
7585;;;;;0
7677;189;444;29;40;0,900
7767;187;432;32;41;1,171
7850;188;428;31;41;1,268
7940;;;;;0
8031;;;;;0
8117;182;406;32;41;1,805
8203;;;;;0
8293;;;;;0
8381;;;;;0
8475;494;335;22;35;4,143
8565;;;;;0
8649;488;334;34;39;3,744
8737;;;;;0
8833;;;;;0
8912;;;;;0
9001;494;335;23;35;4,143
9083;497;336;20;34;4,235
9175;193;259;48;56;3,946
9267;;;;;0
9357;181;247;33;53;4,396
9449;183;241;39;56;4,268
9541;181;230;34;55;4,545
9637;181;226;37;58;4,379
9733;181;219;41;56;4,661
9819;179;215;47;59;4,492
9908;178;211;46;63;4,270
10009;177;210;45;62;4,355
10100;177;204;49;62;4,452
10188;176;199;49;61;4,607
10279;175;198;55;59;4,780
10375;175;196;56;59;4,814
10457;175;194;56;61;4,689
10546;174;194;56;60;4,767
10636;173;193;52;64;4,484
10727;171;193;60;64;4,484
10820;168;194;69;64;4,469
10909;168;196;69;67;4,239
10989;168;200;71;66;4,242
11075;168;203;68;68;4,074
11166;168;205;70;71;3,873
11253;167;208;74;72;3,778
11342;170;212;74;70;3,829
11435;170;215;73;74;3,581
11518;173;218;83;73;3,589
11609;178;226;87;84;3,024
11696;179;233;90;89;2,775
11776;179;232;85;83;2,988
11867;181;232;84;82;3,024
11951;181;236;80;83;2,940
12046;184;238;80;92;2,630
12136;183;239;81;92;2,620
12227;183;237;81;91;2,670
12312;183;236;82;91;2,681
12408;179;235;90;93;2,634
12499;176;233;94;96;2,573
12584;173;227;95;91;2,780
12675;173;223;94;93;2,763
12771;162;214;96;90;2,956
12863;154;211;105;104;2,587
12944;144;196;104;96;2,958
13036;138;190;102;96;3,021
13128;134;186;105;98;3,000
13220;129;174;99;107;2,860
13306;125;161;88;106;3,009
13395;122;158;84;106;3,038
13483;118;148;76;104;3,192
13572;118;144;76;103;3,262
13659;118;133;76;115;3,017
13742;117;125;75;123;2,886
13834;117;121;74;115;3,122
13923;117;117;74;119;3,050
14018;120;114;80;117;3,128
14107;124;108;88;125;2,976
14199;128;106;97;125;2,992
14281;131;107;101;128;2,914
14373;135;113;111;129;2,845
14457;141;127;122;136;2,596
14542;144;143;129;144;2,340
14633;150;186;141;161;1,826
14721;156;206;150;155;1,768
14815;167;266;163;166;1,289
14908;;;;;0
15001;;;;;0
15087;253;416;199;123;0,520
15179;272;392;194;170;0,518
15274;261;371;229;206;0,529
15368;277;360;236;201;0,597
15453;303;391;266;172;0,517
15548;350;404;188;143;0,531
15639;316;405;219;141;0,532
15737;310;405;217;141;0,532
15831;305;403;210;147;0,524
15916;306;404;209;146;0,521
16009;305;406;206;143;0,517
16102;309;403;213;146;0,527
16186;297;405;216;141;0,532
16278;298;404;211;143;0,531
16373;302;405;213;143;0,524
16468;298;402;202;147;0,531
16556;301;404;215;143;0,531
16650;301;404;200;144;0,528
16744;302;405;211;140;0,536
16839;303;402;218;148;0,527
16933;301;403;210;145;0,531
17019;303;404;209;145;0,524
17110;301;402;207;148;0,527
17205;302;402;201;150;0,520
17300;299;400;205;153;0,523
17388;306;403;212;145;0,531
17477;304;398;207;156;0,526
17566;307;402;203;149;0,523
17656;306;403;204;145;0,531
17751;306;401;204;149;0,530
17840;306;401;202;149;0,530
17924;303;402;206;149;0,523
