temps_ms;cx;cy;amplada;alcada;ratio
190;;;;;0
390;;;;;0
489;;;;;0
586;;;;;0
679;;;;;0
775;;;;;0
866;474;340;32;38;3,684
958;;;;;0
1042;;;;;0
1135;;;;;0
1229;479;340;24;37;3,784
1316;477;339;27;37;3,811
1399;;;;;0
1493;;;;;0
1580;;;;;0
1669;477;340;25;34;4,118
1758;;;;;0
1844;;;;;0
1934;;;;;0
2028;;;;;0
2119;;;;;0
2205;376;457;28;38;0,605
2300;378;451;29;46;0,630
2389;377;449;25;48;0,646
2472;;;;;0
2563;373;427;27;35;1,514
2655;;;;;0
2741;;;;;0
2833;363;394;29;55;1,564
2926;;;;;0
3018;483;339;20;35;4,029
3108;318;364;112;60;1,933
3200;;;;;0
3287;;;;;0
3371;305;325;25;37;4,189
3460;286;306;34;34;5,118
3551;277;297;29;34;5,382
3638;266;286;22;33;5,879
3729;258;278;31;41;4,927
3819;245;267;26;40;5,325
3904;231;253;27;39;5,821
3998;224;248;27;40;5,800
4088;214;239;27;39;6,179
4173;208;234;30;43;5,721
4261;201;226;26;38;6,684
4352;196;225;27;39;6,538
4439;193;220;24;37;7,027
4528;191;219;23;35;7,457
4617;190;217;21;35;7,514
4702;191;216;23;36;7,333
4795;191;215;20;33;8,030
4886;192;213;20;35;7,629
4972;196;215;19;33;8,030
5060;199;216;21;35;7,543
5155;200;217;18;32;8,219
5241;;;;;0
5337;210;225;18;38;6,711
5430;212;226;20;36;7,056
5525;213;231;21;38;6,553
5611;217;236;25;38;6,421
5703;219;242;24;37;6,432
5796;222;248;21;34;6,824
5890;222;257;23;40;5,575
5978;224;266;24;39;5,487
6065;221;275;27;42;4,881
6154;221;278;28;44;4,591
6237;218;287;27;40;4,825
6325;217;297;25;42;4,357
6412;212;301;29;41;4,366
6502;209;312;30;36;4,667
6591;206;317;30;40;4,075
6679;200;326;34;40;3,850
6777;197;334;35;40;3,650
6870;194;339;42;45;3,133
6961;191;346;41;46;2,913
7050;190;351;39;45;2,867
7138;190;358;38;44;2,773
7234;189;361;36;44;2,705
7324;189;364;39;45;2,578
7410;191;367;41;47;2,404
7499;195;369;40;45;2,467
7592;199;368;40;43;2,605
7679;202;368;39;43;2,605
7768;212;369;40;44;2,523
7860;219;367;41;43;2,628
7959;222;366;42;44;2,591
8044;293;362;156;67;1,761
8140;292;363;151;60;1,950
8226;296;361;145;67;1,776
8318;;;;;0
8406;264;349;46;44;2,977
8500;270;349;47;51;2,569
8588;;;;;0
8677;288;327;44;44;3,477
8762;295;320;47;46;3,478
8852;302;313;42;44;3,795
8939;312;301;40;44;4,068
9031;316;291;44;45;4,200
9123;318;283;39;44;4,477
9209;321;272;39;47;4,426
9307;322;261;39;48;4,562
9402;322;254;39;48;4,708
9491;321;243;39;48;4,938
9579;319;234;38;48;5,125
9668;314;223;32;45;5,711
9755;309;218;33;51;5,137
9840;301;209;35;51;5,314
9931;292;201;38;59;4,729
10021;287;198;31;56;5,036
10107;278;196;24;54;5,259
10200;266;192;25;51;5,647
10292;260;189;28;56;5,196
10381;247;190;25;57;5,088
