temps_ms;cx;cy;amplada;alcada
253;;;;
535;;;;
683;250;324;182;167
834;;;;
952;;;;
1139;;;;
1356;;;;
1502;;;;
1619;;;;
1733;;;;
1838;;;;
1941;;;;
2045;;;;
2143;;;;
2242;;;;
2350;;;;
2544;;;;
2663;;;;
2763;;;;
2863;;;;
2963;;;;
3067;;;;
3167;;;;
3266;;;;
3369;;;;
3461;;;;
3559;;;;
3657;;;;
3755;;;;
3856;;;;
3951;;;;
4077;;;;
4170;;;;
4261;522;189;78;179
4356;;;;
4458;277;326;165;178
4559;;;;
4652;;;;
4750;;;;
4844;;;;
4945;;;;
5037;;;;
5133;;;;
5232;;;;
5325;275;325;155;173
5418;;;;
5541;;;;
5632;;;;
5727;;;;
5819;;;;
5919;271;326;154;174
6011;268;319;157;169
6115;;;;
6219;;;;
6316;259;314;182;192
6417;;;;
6524;;;;
6626;;;;
6721;;;;
6819;;;;
6921;;;;
7103;;;;
7198;;;;
7299;;;;
7396;;;;
7499;;;;
7597;;;;
7696;;;;
7796;;;;
7896;;;;
7995;;;;
8093;;;;
8191;;;;
8290;;;;
8385;;;;
8486;;;;
8648;;;;
8743;;;;
8841;;;;
8941;;;;
9046;;;;
9144;;;;
9242;;;;
9344;;;;
9441;;;;
9545;;;;
9644;;;;
9742;;;;
9844;;;;
9945;;;;
10039;;;;
10189;;;;
10282;;;;
10381;;;;
10476;;;;
10572;;;;
10669;;;;
10758;;;;
10857;;;;
10955;126;294;93;152
11058;127;294;94;152
11154;;;;
11255;126;293;92;150
11350;125;292;91;149
11448;;;;
11541;125;293;91;150
11732;126;294;92;152
11823;127;292;94;151
11921;;;;
12015;;;;
12109;313;458;32;36
12206;308;455;36;42
12310;296;446;32;54
12404;286;438;33;56
12496;271;412;29;77
12594;261;408;29;62
12689;244;404;36;58
12785;222;389;59;65
12886;217;379;36;60
12984;211;370;36;57
13080;202;357;39;67
13198;196;344;37;66
13288;191;325;33;58
13387;190;312;33;59
13485;193;297;33;61
13579;196;284;33;55
13677;205;270;34;58
13773;210;261;32;56
13869;217;243;35;59
13972;228;230;36;57
14077;238;214;33;53
14177;250;199;33;55
14274;260;188;31;54
14369;269;179;34;55
14458;278;170;33;57
14559;288;168;33;60
14688;297;164;34;62
14782;306;163;35;68
14883;311;162;34;68
14994;313;160;33;67
15094;315;161;37;70
15194;315;158;37;69
15292;314;159;35;72
15390;310;158;37;74
15494;306;154;37;75
15586;301;151;39;77
15684;297;150;36;80
15784;292;147;41;84
15891;286;142;35;76
15993;282;140;35;76
16090;279;133;36;77
16227;279;126;39;85
16318;278;120;37;76
16420;281;112;41;87
16519;285;105;35;79
16622;291;95;37;74
16726;297;84;42;81
16823;304;76;38;76
16927;311;71;38;87
17017;317;62;38;89
17110;322;61;39;101
17205;328;59;42;105
17296;333;62;45;105
17394;334;65;41;100
17494;334;69;43;102
17592;334;80;41;96
17726;327;108;45;98
17828;322;127;43;104
17926;312;159;43;97
18041;302;195;46;99
18147;283;231;63;94
18245;265;266;83;91
18342;250;311;77;99
18444;240;356;82;98
18547;231;406;81;103
18649;227;421;83;106
18747;224;431;83;96
18841;221;429;83;100
18944;224;414;77;106
19044;226;395;76;103
19138;227;366;78;99
19326;232;346;80;112
19425;246;308;82;109
19522;249;309;80;109
19621;255;322;81;112
19723;263;343;78;104
19836;276;387;84;123
19938;277;419;106;115
20043;288;437;105;81
20153;292;428;122;97
20246;292;437;119;82
20346;294;435;117;87
20441;292;427;122;101
20540;297;431;111;93
20640;298;437;122;81
20740;296;431;126;91
20857;292;431;116;91
20967;293;421;122;113
21068;;;;
21168;294;427;125;102
21272;;;;
21376;;;;
21477;297;435;120;85
21577;;;;
21675;294;428;120;101
21771;;;;
21870;293;437;116;82
21959;294;436;121;87
22058;295;437;120;84
22158;293;434;120;89
22255;295;435;123;88
22415;;;;
22519;292;438;120;80
22629;293;437;118;80
22730;292;436;122;84
22841;292;439;119;78
22948;292;439;120;79
23078;291;438;125;77
23210;292;441;120;74
23327;293;437;117;81
23429;294;438;120;79
23548;295;438;120;82
23721;293;440;122;75
23876;293;437;120;84
24056;293;436;118;84
24198;293;434;120;88
24344;;;;
24470;;;;
24581;294;438;118;78
24682;293;428;121;99
24790;;;;
24906;;;;
25012;;;;
25116;;;;
25215;;;;
25321;;;;
25421;;;;
25533;295;409;128;137
25646;297;447;127;64
25766;;;;
25879;293;412;121;132
26060;293;417;120;122
26177;294;409;136;138
26288;292;419;147;118
26382;;;;
26485;;;;
26585;;;;
26682;;;;
26782;;;;
26885;;;;
26983;;;;
27075;;;;
27171;260;452;58;51
27267;;;;
27372;;;;
27474;;;;
27614;;;;
27712;;;;
27810;;;;
27910;;;;
28012;;;;
28113;;;;
28214;;;;
28307;;;;
28409;;;;
28510;;;;
28608;;;;
28712;;;;
28809;;;;
28905;;;;
29004;;;;
29122;;;;
29216;;;;
29311;;;;
29403;;;;
