temps_ms;cx;cy;amplada;alcada
240;;;;
551;;;;
694;;;;
815;;;;
925;;;;
1024;;;;
1139;;;;
1279;;;;
1414;;;;
1542;;;;
1684;;;;
1811;;;;
1913;;;;
2007;;;;
2106;;;;
2207;;;;
2379;;;;
2467;;;;
2558;;;;
2645;;;;
2738;;;;
2834;;;;
2946;;;;
3052;;;;
3153;;;;
3255;;;;
3353;;;;
3453;;;;
3552;;;;
3649;;;;
3746;;;;
3935;;;;
4039;;;;
4141;;;;
4241;;;;
4339;;;;
4440;;;;
4536;;;;
4629;;;;
4723;;;;
4815;;;;
4911;;;;
5005;;;;
5106;;;;
5204;;;;
5305;;;;
5438;;;;
5532;;;;
5627;;;;
5727;;;;
5836;;;;
5935;;;;
6035;;;;
6136;;;;
6230;;;;
6322;;;;
6409;;;;
6504;;;;
6597;;;;
6692;;;;
6777;;;;
6912;;;;
7004;;;;
7095;;;;
7192;;;;
7282;;;;
7381;;;;
7481;;;;
7574;;;;
7671;;;;
7768;;;;
7863;;;;
7955;;;;
8043;228;274;128;126
8137;221;320;130;207
8235;;;;
8362;;;;
8457;;;;
8555;;;;
8652;;;;
8748;;;;
8839;168;294;144;162
8933;173;294;113;168
9029;;;;
9129;;;;
9223;;;;
9315;150;288;121;142
9420;153;289;109;144
9518;;;;
9615;;;;
9713;;;;
9853;;;;
9951;;;;
10052;;;;
10153;;;;
10250;;;;
10342;127;282;94;132
10443;130;284;101;137
10537;131;284;102;140
10633;;;;
10727;;;;
10821;;;;
10909;;;;
11003;;;;
11098;;;;
11196;;;;
11335;;;;
11431;;;;
11531;;;;
11627;;;;
11725;;;;
11820;;;;
11916;;;;
12011;;;;
12111;;;;
12208;;;;
12308;;;;
12404;;;;
12504;;;;
12602;;;;
12690;;;;
12819;;;;
12911;;;;
13010;;;;
13102;318;341;19;31
13199;316;337;19;35
13294;313;327;20;33
13389;311;323;18;35
13475;309;319;13;29
13573;304;314;21;31
13667;303;313;21;29
13762;;;;
13856;301;313;17;30
13942;300;315;17;30
14037;302;315;23;33
14142;;;;
14272;301;317;18;33
14366;302;316;20;31
14462;305;315;23;31
14556;307;315;18;31
14647;308;315;22;30
14748;309;316;20;32
14846;309;318;17;31
14942;309;325;19;33
15037;310;327;19;33
15139;310;331;19;36
15233;311;330;22;34
15330;310;328;19;35
15427;310;326;17;33
15528;310;321;18;34
15623;311;316;20;33
15742;311;309;20;33
15836;312;304;18;31
15935;310;295;19;31
16026;312;288;20;31
16123;310;280;21;33
16210;310;273;22;32
16309;311;271;20;30
16400;310;264;19;32
16493;310;260;19;30
16590;309;257;17;32
16683;308;253;22;34
16780;308;252;20;30
16881;309;250;27;31
16974;308;250;26;31
17065;307;252;25;34
17190;307;253;24;32
17287;304;258;22;33
17380;305;263;20;32
17477;304;267;19;35
17571;303;272;24;33
17664;302;280;23;37
17758;303;287;22;33
17846;304;298;20;34
17943;304;306;22;34
18039;303;309;21;33
18139;303;316;22;34
18237;305;324;21;34
18333;304;327;23;37
18427;306;332;22;36
18526;307;333;21;38
18675;306;333;21;38
18772;308;330;23;38
18883;309;328;21;37
18987;310;324;20;37
19079;312;319;24;38
19172;310;311;24;36
19268;309;307;22;36
19365;309;298;23;37
19464;308;290;29;35
19558;307;280;29;39
19646;307;271;30;36
19742;304;265;23;36
19842;304;256;26;37
19938;301;249;26;37
20037;300;242;24;39
20230;297;236;23;37
20331;290;228;26;39
20426;286;227;29;39
20523;284;228;29;35
20611;284;229;30;38
20711;284;230;29;36
20798;285;233;28;43
20894;285;234;29;45
20989;286;235;28;42
21085;286;235;27;41
21183;285;234;27;42
21290;288;233;26;39
21388;287;232;25;39
21485;288;228;28;36
21583;289;228;28;36
21777;286;228;32;36
21873;285;238;30;45
21969;283;247;33;39
22066;281;256;27;44
22162;281;261;24;44
22261;279;266;28;43
22352;277;267;29;43
22443;275;269;31;39
22544;276;267;31;45
22639;275;267;32;42
22734;273;262;40;49
22834;272;259;39;42
22934;271;252;41;47
23029;272;247;40;40
23125;273;237;39;45
23311;274;231;38;49
23408;277;209;33;48
23504;280;196;34;49
23602;280;185;34;51
23700;281;172;35;47
23795;280;162;35;51
23885;279;153;34;48
23975;278;146;35;45
24074;278;138;36;59
24171;276;133;35;54
24274;275;131;36;53
24375;270;131;37;52
24472;268;129;35;55
24569;268;132;36;57
24668;264;139;37;56
24851;263;148;36;49
24947;259;164;40;55
25046;262;174;36;54
25144;261;191;36;54
25240;260;207;37;54
25334;261;223;37;49
25422;263;239;38;54
25512;263;253;40;52
25610;264;260;39;55
25706;266;270;39;56
25800;268;281;41;54
25898;271;288;44;53
25992;271;296;44;56
26088;273;303;42;56
26178;275;307;38;58
26301;275;308;40;57
26393;277;315;43;62
26490;277;317;40;65
26584;278;319;39;62
26678;276;318;41;63
26778;271;318;45;59
26871;271;319;44;64
26963;268;319;40;60
27057;262;316;39;63
27153;256;314;41;62
27250;253;311;43;64
27351;248;308;45;59
27444;244;307;43;62
27537;237;303;51;57
27641;236;303;49;58
27788;235;298;53;62
27882;242;291;51;60
27978;249;287;54;59
28072;255;284;42;60
28175;267;278;30;57
28275;276;272;32;55
28368;285;264;30;58
28463;296;256;32;51
28562;303;247;29;53
28663;310;238;33;55
28758;316;229;36;55
28849;319;219;33;56
28949;320;214;32;61
29052;318;208;34;60
29148;309;201;34;65
29270;299;192;35;71
29369;277;174;35;75
29462;251;162;51;74
29560;219;141;70;78
29660;186;123;85;77
29755;144;104;109;84
29845;125;98;90;98
29943;112;77;65;76
30039;106;69;52;77
30146;101;59;42;94
30250;;;;
30348;;;;
30449;;;;
30545;;;;
30644;;;;
30764;93;154;27;68
30861;103;167;47;69
30959;111;176;56;63
31059;119;180;80;63
31161;135;177;90;72
31256;148;171;93;68
31346;180;168;84;65
31451;200;168;72;66
31549;225;165;56;64
31650;249;164;41;70
31750;270;168;42;75
31863;292;179;44;84
31964;302;185;44;72
32062;314;207;51;85
32164;317;221;58;89
32355;312;237;61;91
32458;295;271;60;99
32556;267;322;62;111
32650;237;394;58;119
32746;223;427;65;97
32846;231;430;63;96
32943;247;427;46;103
33046;260;427;55;101
33144;257;428;59;105
33239;255;428;59;101
33340;258;429;55;105
33440;256;428;52;105
33536;261;429;55;99
33629;257;428;52;103
33726;257;428;53;99
33902;258;431;55;100
34007;260;430;56;102
34107;257;428;55;101
34209;260;429;52;102
34312;259;433;53;94
34415;261;428;54;99
34508;257;439;48;75
34608;260;429;57;100
34709;256;448;45;55
34809;257;433;53;92
34907;257;445;47;63
35008;256;448;45;58
35105;257;442;50;69
35202;257;437;55;87
35295;257;438;57;84
35452;258;438;56;83
35582;257;438;53;81
35697;256;444;45;65
35803;256;437;53;86
35914;257;442;46;70
36036;258;437;52;85
36193;256;449;49;54
36316;252;440;67;72
36439;258;440;51;80
36565;257;441;51;78
36701;256;444;49;72
36828;256;440;52;73
36937;256;443;49;67
37035;258;445;47;66
37136;;;;
37268;;;;
37369;;;;
37468;255;446;41;57
37575;;;;
37670;;;;
37772;;;;
37886;;;;
37989;;;;
38108;;;;
38212;;;;
38308;;;;
38413;;;;
38511;;;;
38608;;;;
38707;;;;
38868;;;;
38966;;;;
39073;;;;
39174;;;;
39274;;;;
