temps_ms;throttle;yaw;pitch;trim;estat;active_cam
8145;65;64;64;63;1;1
8186;65;64;64;63;1;1
8231;67;64;64;63;1;1
8273;67;64;64;63;1;1
8313;68;64;64;63;1;1
8355;68;64;64;63;1;1
8398;68;64;64;63;1;1
8441;68;64;64;63;1;1
8486;68;64;64;63;1;1
8530;66;64;64;63;1;1
8574;67;64;64;63;1;1
8616;67;64;64;63;1;1
8658;67;64;64;63;1;1
8702;66;64;64;63;1;1
8750;66;64;64;63;1;1
8791;66;64;64;63;1;1
8835;66;64;64;63;1;1
8877;68;64;64;63;1;1
8922;68;64;64;63;1;1
8964;68;64;64;63;1;1
9008;68;64;64;63;1;1
9048;68;64;64;63;1;1
9092;68;64;64;63;1;1
9133;68;64;64;63;1;1
9176;68;64;64;63;1;1
9221;68;64;64;63;1;1
9266;68;64;64;63;1;1
9311;68;64;64;63;1;1
9357;69;84;64;63;1;1
9401;69;84;64;63;1;1
9447;69;84;64;63;1;1
9490;69;84;64;63;1;1
9530;69;84;64;63;1;1
9572;70;64;64;63;1;1
9613;70;64;64;63;1;1
9657;70;64;64;63;1;1
9701;70;64;64;63;1;1
9744;71;64;64;63;1;1
9786;71;64;64;63;1;1
9832;71;64;64;63;1;1
9876;71;84;64;63;1;1
9921;71;84;64;63;1;1
9966;71;84;64;63;1;1
10013;72;84;64;63;1;1
10055;72;64;64;63;1;1
10099;72;64;64;63;1;1
10144;71;64;64;63;1;1
10187;71;64;64;63;1;1
10231;72;64;64;63;1;1
10273;72;64;64;63;1;1
10315;72;64;64;63;1;1
10360;72;64;64;63;1;1
10401;72;84;64;63;1;1
10442;72;84;64;63;1;1
10483;72;84;64;63;1;1
10530;72;84;64;63;1;1
10575;72;64;64;63;1;1
10615;72;64;64;63;1;1
10655;73;64;64;63;1;1
10700;73;64;64;63;1;1
10742;72;64;64;63;1;1
10789;72;64;64;63;1;1
10829;72;64;64;63;1;1
10872;72;64;64;63;1;1
10917;72;84;64;63;1;1
10959;72;84;64;63;1;1
11000;72;84;64;63;1;1
11041;72;84;64;63;1;1
11086;72;64;64;63;1;1
11128;72;64;64;63;1;1
11169;72;64;64;63;1;1
11212;73;64;64;63;1;1
11257;73;64;64;63;1;1
11300;72;64;64;63;1;1
11344;72;64;64;63;1;1
11387;73;84;64;63;1;1
11432;73;84;64;63;1;1
11478;73;84;64;63;1;1
11521;72;84;64;63;1;1
11568;72;84;64;63;1;1
11611;73;64;64;63;1;1
11652;73;64;64;63;1;1
11698;72;64;64;63;1;1
11743;72;64;64;63;1;1
11784;72;64;64;63;1;1
11828;72;64;64;63;1;1
11872;72;64;64;63;1;1
11918;72;84;64;63;1;1
11960;72;84;64;63;1;1
12004;72;64;64;63;1;1
12050;72;64;64;63;1;1
12091;72;64;64;63;1;1
12137;72;64;64;63;1;1
12180;72;64;64;63;1;1
12225;72;64;64;63;1;1
12272;72;64;64;63;1;1
12316;72;64;64;63;1;1
12357;72;64;64;63;1;1
12398;72;64;64;63;1;1
12440;71;64;64;63;1;1
12480;71;64;64;63;1;1
12525;71;64;64;63;1;1
12565;71;64;64;63;1;1
12609;70;64;64;63;1;1
12651;70;64;64;63;1;1
12692;70;64;64;63;1;1
12734;72;64;64;63;1;1
12778;72;64;64;63;1;1
12818;70;64;64;63;1;1
12863;70;64;64;63;1;1
12907;70;64;64;63;1;1
12948;70;64;64;63;1;1
12988;69;64;64;63;1;1
13030;69;64;64;63;1;1
13073;70;64;64;63;1;1
13117;70;64;64;63;1;1
13157;70;64;64;63;1;1
13200;70;64;64;63;1;1
13243;70;44;64;63;1;1
13284;70;44;64;63;1;1
13328;70;44;64;63;1;1
13373;70;44;64;63;1;1
13418;70;44;64;63;1;1
13467;70;64;64;63;1;1
13509;70;64;64;63;1;1
13552;70;64;64;63;1;1
13597;70;64;64;63;1;1
13642;70;64;64;63;1;1
13687;70;64;64;63;1;1
13730;71;64;64;63;1;1
13772;71;44;64;63;1;1
13814;72;44;64;63;1;1
13856;72;44;64;63;1;1
13901;72;44;64;63;1;1
13944;72;44;64;63;1;1
13986;73;64;64;63;1;1
14028;73;64;64;63;1;1
14070;73;64;64;63;1;1
14112;73;64;64;63;1;1
14155;73;64;64;63;1;1
14196;73;64;64;63;1;1
14239;75;64;64;63;1;1
14281;75;44;64;63;1;1
14322;75;44;64;63;1;1
14364;75;44;64;63;1;1
14404;75;44;64;63;1;1
14446;76;44;64;63;1;1
14490;76;64;64;63;1;1
14533;76;64;64;63;1;1
14579;76;64;64;63;1;1
14623;76;64;64;63;1;1
14667;76;64;64;63;1;1
14708;77;64;64;63;1;1
14750;77;64;64;63;1;1
14795;76;44;64;63;1;1
14840;76;44;64;63;1;1
14881;77;44;64;63;1;1
14924;77;44;64;63;1;1
14966;77;44;64;63;1;1
15013;77;64;64;63;1;1
15053;77;64;64;63;1;1
15094;77;64;64;63;1;1
15139;77;64;64;63;1;1
15183;77;64;64;63;1;1
15229;77;64;64;63;1;1
15272;77;64;64;63;1;1
15316;77;44;64;63;1;1
15358;77;44;64;63;1;1
15401;77;44;64;63;1;1
15442;77;44;64;63;1;1
15485;77;44;64;63;1;1
15531;77;64;64;63;1;1
15575;77;64;64;63;1;1
15618;77;64;64;63;1;1
15662;77;64;64;63;1;1
15702;77;64;64;63;1;1
15744;77;64;64;63;1;1
15785;79;64;64;63;1;1
15829;79;44;64;63;1;1
15870;79;44;64;63;1;1
15912;79;44;64;63;1;1
15956;79;44;64;63;1;1
15998;79;44;64;63;1;1
16039;79;64;64;63;1;1
16079;79;64;64;63;1;1
16121;79;64;64;63;1;1
16162;79;64;64;63;1;1
16205;79;64;64;63;1;1
16256;78;64;64;63;2;1
16297;60;64;64;63;2;1
16340;60;44;64;63;2;1
16382;60;44;64;63;2;1
16423;59;44;64;63;2;1
16466;59;44;64;63;2;1
16510;59;44;64;63;2;1
16551;70;64;64;63;3;1
16596;70;64;64;63;3;1
16638;70;64;64;63;3;1
16682;70;64;64;63;3;1
16726;70;64;64;63;3;1
16770;70;64;64;63;3;1
16817;70;64;64;63;3;1
16863;70;84;64;63;3;1
16905;70;84;64;63;3;1
16949;70;84;64;63;3;1
16989;70;84;64;63;3;1
17033;70;84;64;63;3;1
17076;70;64;64;63;3;1
17177;70;64;64;63;4;1
17220;0;64;64;63;4;1
17263;0;64;64;63;4;1
17305;0;64;64;63;4;1
17346;0;64;64;63;4;1
17390;0;64;64;63;4;1
17436;0;64;64;63;4;1
17481;0;64;64;63;4;1
17525;0;64;64;63;4;1
17565;0;64;64;63;4;1
17606;0;64;64;63;4;1
17650;0;64;64;63;4;1
17691;0;64;64;63;4;1
17735;0;64;64;63;4;1
17776;0;64;64;63;4;1
17817;0;64;64;63;4;1
17862;0;64;64;63;4;1
17908;0;64;64;63;4;1
17950;0;64;64;63;4;1
17996;0;64;64;63;4;1
18041;0;64;64;63;4;1
18085;0;64;64;63;4;1
18128;0;64;64;63;4;1
18173;0;64;64;63;4;1
18218;0;64;64;63;4;1
18266;0;64;64;63;4;1
18309;0;64;64;63;4;1
18351;0;64;64;63;4;1
18396;0;64;64;63;4;1
18438;0;64;64;63;4;1
18481;0;64;64;63;4;1
18525;0;64;64;63;4;1
18567;0;64;64;63;4;1
18611;0;64;64;63;4;1
18653;0;64;64;63;4;1
18696;0;64;64;63;4;1
18736;0;64;64;63;4;1
18778;0;64;64;63;4;1
18820;0;64;64;63;4;1
18860;0;64;64;63;4;1
18901;0;64;64;63;4;1
18944;0;64;64;63;4;1
18991;0;64;64;63;4;1
19036;0;64;64;63;4;1
19081;0;64;64;63;4;1
19123;0;64;64;63;4;1
19168;0;64;64;63;4;1
19211;0;64;64;63;4;1
19257;0;64;64;63;4;1
19302;0;64;64;63;4;1
19342;0;64;64;63;4;1
19387;0;64;64;63;4;1
