temps_ms;cx;cy;amplada;alcada;ratio
1620;331;420;61;118;0,508
1851;332;418;64;119;0,521
1985;332;419;64;117;0,521
2095;331;421;65;120;0,492
2212;333;421;69;113;0,522
2315;331;420;60;116;0,517
2420;329;421;59;111;0,532
2512;330;420;56;113;0,531
2603;329;422;58;112;0,518
2699;329;423;58;107;0,533
2797;327;422;59;110;0,527
2889;327;422;60;112;0,518
2981;326;421;60;111;0,532
3070;323;423;61;111;0,514
3161;323;421;64;117;0,504
3253;320;419;65;115;0,530
3345;319;414;64;125;0,528
3434;321;405;78;143;0,524
3528;320;389;75;164;0,555
3628;321;366;77;176;0,648
3728;321;324;66;169;0,923
3825;338;310;132;245;0,694
3921;325;210;75;163;1,656
4006;336;173;74;187;1,642
4104;333;124;69;123;2,894
4199;372;74;125;148;2,743
4295;377;47;122;93;4,656
4384;357;30;80;58;7,759
4469;;;;;0
4561;;;;;0
4656;;;;;0
4740;;;;;0
4829;;;;;0
4922;;;;;0
5008;;;;;0
5098;;;;;0
5185;;;;;0
5273;402;32;48;65;6,892
5363;420;49;67;99;4,354
5456;433;93;64;91;4,253
5544;448;153;60;58;5,638
5634;458;178;58;90;3,356
5725;468;231;62;84;2,964
5821;478;271;68;107;1,953
5911;491;327;31;82;1,866
6006;495;363;37;76;1,539
6096;;;;;0
6190;;;;;0
6278;;;;;0
6369;;;;;0
6463;;;;;0
6552;;;;;0
6640;;;;;0
6729;;;;;0
6819;;;;;0
6904;;;;;0
6992;;;;;0
7086;;;;;0
7177;;;;;0
7270;;;;;0
7361;;;;;0
7456;;;;;0
7542;;;;;0
7635;385;427;36;57;0,930
7726;374;402;40;63;1,238
7823;367;374;39;61;1,738
7917;375;350;61;75;1,733
8010;358;327;32;67;2,284
8101;348;303;41;51;3,471
8203;339;276;42;49;4,163
8297;;;;;0
8389;331;237;37;52;4,673
8478;;;;;0
8573;;;;;0
8662;;;;;0
8755;328;158;66;52;6,192
8843;326;146;65;63;5,302
8938;325;135;49;58;5,948
9031;325;121;47;52;6,904
9126;325;113;44;49;7,490
9221;325;109;42;42;8,833
9309;324;104;41;43;8,744
9404;325;102;40;43;8,791
9498;326;102;42;46;8,217
9590;326;102;37;46;8,217
9676;328;104;32;50;7,520
9770;329;107;29;47;7,936
9861;331;113;33;45;8,156
9961;333;120;36;51;7,059
10056;335;130;31;52;6,731
10141;338;139;26;48;7,104
10238;340;147;31;47;7,085
10328;346;160;36;50;6,400
10418;;;;;0
10503;;;;;0
10594;358;194;35;47;6,085
10693;;;;;0
10783;369;237;34;46;5,283
10871;371;239;31;39;6,179
10973;372;246;28;38;6,158
11065;373;258;34;55;4,036
11161;372;265;31;72;2,986
11249;376;291;29;41;4,610
11344;378;302;35;41;4,341
11440;380;309;37;42;4,071
11538;382;320;35;38;4,211
11628;380;325;39;41;3,780
11722;382;333;38;38;3,868
11820;378;336;35;44;3,273
11920;377;340;40;53;2,642
12019;374;344;44;45;3,022
12112;369;347;40;44;3,023
12205;362;346;37;39;3,436
12296;357;346;34;39;3,436
12389;352;346;31;40;3,350
12474;350;345;36;42;3,214
12567;339;338;28;42;3,381
12656;334;335;25;40;3,625
12745;332;329;34;46;3,283
12840;323;323;27;45;3,489
12933;;;;;0
13034;;;;;0
13126;;;;;0
13218;;;;;0
13309;;;;;0
13409;;;;;0
13501;;;;;0
13599;291;269;43;50;4,220
13686;289;262;37;55;3,964
13771;284;257;32;51;4,373
13865;281;253;32;53;4,283
13958;280;249;35;43;5,372
14055;278;246;30;39;6,000
14141;;;;;0
14235;;;;;0
14325;277;236;39;43;5,674
14417;277;235;37;45;5,444
14505;;;;;0
14601;;;;;0
14691;;;;;0
14784;;;;;0
14867;;;;;0
14962;;;;;0
15052;;;;;0
15137;;;;;0
15230;;;;;0
15320;;;;;0
15408;;;;;0
15500;;;;;0
15590;;;;;0
15680;;;;;0
15765;;;;;0
15854;;;;;0
15941;;;;;0
16036;;;;;0
16127;;;;;0
16218;376;240;20;48;5,000
16304;;;;;0
16393;;;;;0
16487;;;;;0
16572;379;245;23;36;6,528
16666;380;245;25;42;5,595
16759;382;250;26;40;5,750
16861;381;246;28;55;4,255
16960;375;246;31;63;3,714
17054;376;257;30;52;4,288
17139;;;;;0
17233;;;;;0
17327;370;258;30;59;3,763
17422;;;;;0
17508;;;;;0
17599;;;;;0
17693;;;;;0
17788;;;;;0
17876;;;;;0
17966;;;;;0
18056;;;;;0
18139;;;;;0
18229;;;;;0
18325;;;;;0
18414;336;260;27;41;5,366
18496;336;258;31;45;4,933
18591;335;257;30;45;4,956
18684;338;256;31;46;4,870
18769;;;;;0
18862;;;;;0
18957;;;;;0
19050;;;;;0
19134;;;;;0
19225;;;;;0
19311;;;;;0
19397;;;;;0
19485;;;;;0
19570;;;;;0
19663;;;;;0
19758;;;;;0
19850;;;;;0
19939;;;;;0
20032;;;;;0
20123;;;;;0
20214;;;;;0
20302;;;;;0
20399;;;;;0
20488;;;;;0
20568;;;;;0
20660;;;;;0
20751;;;;;0
20838;;;;;0
20928;;;;;0
21018;;;;;0
21099;;;;;0
21190;;;;;0
21285;;;;;0
21371;;;;;0
21463;;;;;0
21555;;;;;0
21638;;;;;0
21727;;;;;0
21820;;;;;0
21908;;;;;0
22004;;;;;0
22094;;;;;0
22184;;;;;0
22273;;;;;0
22361;;;;;0
22458;;;;;0
22548;;;;;0
22637;;;;;0
22723;;;;;0
22814;;;;;0
22901;;;;;0
23002;;;;;0
23093;;;;;0
23186;;;;;0
23277;;;;;0
23372;;;;;0
23464;;;;;0
23557;;;;;0
23647;;;;;0
23737;;;;;0
23829;;;;;0
23917;;;;;0
24005;;;;;0
24100;;;;;0
24195;;;;;0
24289;;;;;0
24378;;;;;0
24469;;;;;0
24556;;;;;0
24650;;;;;0
24739;;;;;0
24825;;;;;0
