temps_ms;cx;cy;amplada;alcada;ratio
283;;;;;0
467;;;;;0
559;;;;;0
653;;;;;0
740;;;;;0
828;;;;;0
913;;;;;0
1000;;;;;0
1093;;;;;0
1189;;;;;0
1287;;;;;0
1372;;;;;0
1462;;;;;0
1552;;;;;0
1632;;;;;0
1721;;;;;0
1801;355;366;22;38;3,000
1890;356;367;24;40;2,825
1979;;;;;0
2063;;;;;0
2151;;;;;0
2236;;;;;0
2320;;;;;0
2402;;;;;0
2496;;;;;0
2583;;;;;0
2663;;;;;0
2758;;;;;0
2846;;;;;0
2929;;;;;0
3018;;;;;0
3099;;;;;0
3182;;;;;0
3266;;;;;0
3353;;;;;0
3437;;;;;0
3524;;;;;0
3611;;;;;0
3694;379;321;20;28;5,679
3782;;;;;0
3863;363;320;24;32;5,000
3949;352;319;27;34;4,735
4030;346;321;26;36;4,417
4117;332;323;23;34;4,618
4200;324;324;25;34;4,588
4287;;;;;0
4369;;;;;0
4460;292;328;23;32;4,750
4547;;;;;0
4632;273;333;27;35;4,200
4722;265;338;28;36;3,944
4807;259;340;23;35;4,000
4885;255;343;25;43;3,186
4964;248;347;24;37;3,595
5045;243;349;25;36;3,639
5126;241;354;23;36;3,500
5204;238;356;24;37;3,351
5287;237;357;24;39;3,154
5368;235;359;24;38;3,184
5453;235;362;24;38;3,105
5534;235;365;24;39;2,949
5619;236;365;22;40;2,875
5697;235;365;25;39;2,949
5785;237;366;22;39;2,923
5862;237;366;24;40;2,850
5949;239;367;20;39;2,897
6031;238;368;22;39;2,872
6117;240;367;21;38;2,974
6200;240;366;24;39;2,923
6289;240;366;23;38;3,000
6377;240;366;24;40;2,850
6458;240;365;22;39;2,949
6546;238;364;21;38;3,053
6625;236;362;21;35;3,371
6712;232;359;23;38;3,184
6801;231;358;21;37;3,297
6889;228;355;20;34;3,676
6978;225;354;20;36;3,500
7062;;;;;0
7150;;;;;0
7235;206;350;24;36;3,611
7327;196;343;26;41;3,341
7408;193;342;24;40;3,450
