temps_ms;cx;cy;amplada;alcada;ratio
1329;316;406;131;143;0,517
1500;318;406;130;146;0,507
1626;318;409;130;138;0,514
1725;347;410;81;138;0,507
1817;346;406;82;141;0,525
1910;349;407;81;144;0,507
2001;349;406;85;142;0,521
2090;350;407;89;140;0,521
2178;351;405;91;143;0,524
2270;353;405;94;142;0,528
2363;354;404;97;144;0,528
2454;356;402;99;147;0,531
2541;354;400;94;152;0,526
2636;353;398;98;151;0,543
2736;352;388;99;145;0,634
2828;342;379;79;133;0,759
2925;341;380;84;118;0,847
3011;334;380;82;118;0,847
3106;317;376;75;105;0,990
3201;298;381;66;102;0,971
3293;276;381;55;102;0,971
3386;263;376;51;101;1,030
3481;263;370;52;99;1,111
3578;260;355;44;82;1,524
3672;263;341;40;77;1,805
3766;271;328;42;75;2,027
3856;280;312;39;65;2,585
3941;290;278;41;98;2,061
4032;298;245;59;149;1,577
4124;;;;;0
4209;;;;;0
4302;;;;;0
4402;;;;;0
4488;361;238;42;40;6,050
4574;376;226;38;47;5,404
4661;382;219;38;52;5,019
4752;396;217;39;58;4,534
4838;;;;;0
4936;409;192;30;43;6,698
5027;426;186;45;35;8,400
5114;436;187;47;48;6,104
5204;446;184;45;43;6,884
5290;447;183;45;50;5,940
5381;454;186;52;52;5,654
5469;457;212;59;95;2,821
5552;458;215;65;86;3,081
5638;465;218;64;77;3,403
5726;463;223;70;65;3,954
5817;461;238;72;57;4,246
5916;445;243;41;63;3,762
6008;441;255;37;66;3,409
6101;438;279;47;54;3,722
6191;440;289;74;53;3,604
6279;418;302;40;50;3,560
6368;;;;;0
6461;402;313;30;50;3,340
6540;397;320;50;50;3,200
6628;380;320;33;49;3,265
6718;389;321;62;50;3,180
6806;372;318;53;53;3,057
6905;378;319;66;56;2,875
6992;370;313;70;61;2,738
7083;365;309;65;59;2,898
7176;343;304;70;57;3,088
7269;;;;;0
7360;342;299;53;47;3,851
7444;;;;;0
7541;331;286;24;42;4,619
7634;344;282;60;48;4,125
7727;341;277;58;43;4,721
7815;;;;;0
7909;;;;;0
8005;319;215;127;138;1,920
8094;335;250;70;52;4,423
8190;321;240;45;39;6,154
8277;320;233;49;43;5,744
8372;311;225;38;48;5,312
8460;312;219;41;49;5,327
8555;305;210;54;102;2,647
8641;296;215;61;105;2,524
8739;295;202;56;89;3,124
8837;;;;;0
8932;296;218;78;133;1,970
9029;291;177;68;56;5,411
9128;290;215;84;137;1,934
9219;287;208;97;133;2,045
9305;;;;;0
9396;247;159;33;41;7,829
9487;236;158;32;43;7,488
9572;230;157;33;43;7,512
9668;222;157;43;45;7,178
9765;223;154;69;56;5,821
9854;220;154;62;58;5,621
9941;218;151;62;65;5,062
10041;214;151;52;65;5,062
10135;213;154;50;65;5,015
10227;212;164;47;47;6,723
10319;211;154;49;73;4,466
10403;216;155;49;76;4,276
10499;217;175;40;40;7,625
10591;217;157;48;80;4,037
10677;223;179;34;40;7,525
10771;226;182;34;39;7,641
10864;233;188;30;43;6,791
10955;234;193;30;38;7,553
11041;238;193;30;40;7,175
11134;245;193;28;40;7,175
11226;;;;;0
11311;;;;;0
11400;;;;;0
11487;;;;;0
11572;;;;;0
11659;;;;;0
11744;;;;;0
11837;;;;;0
11930;;;;;0
12018;;;;;0
12103;;;;;0
12192;295;203;64;105;2,638
12275;;;;;0
12376;;;;;0
12468;;;;;0
12560;;;;;0
12649;;;;;0
12741;298;216;69;119;2,218
12834;305;250;31;47;4,894
12926;;;;;0
13015;;;;;0
13112;;;;;0
13202;;;;;0
13288;300;234;75;163;1,509
13374;;;;;0
13467;;;;;0
13561;;;;;0
13655;;;;;0
13744;;;;;0
13832;;;;;0
13924;;;;;0
14007;;;;;0
14099;;;;;0
14189;;;;;0
14278;;;;;0
14363;;;;;0
14458;;;;;0
14542;;;;;0
14633;;;;;0
14728;;;;;0
14814;;;;;0
14896;;;;;0
14988;;;;;0
15072;;;;;0
15161;;;;;0
15251;;;;;0
15344;;;;;0
15436;;;;;0
15528;;;;;0
15624;;;;;0
15711;;;;;0
15805;;;;;0
15901;;;;;0
16001;;;;;0
16094;;;;;0
16186;;;;;0
16272;;;;;0
16369;;;;;0
16459;;;;;0
16539;;;;;0
16634;;;;;0
16724;;;;;0
16808;;;;;0
16903;;;;;0
16998;;;;;0
17097;;;;;0
17192;;;;;0
17274;;;;;0
17363;;;;;0
17453;;;;;0
17542;;;;;0
17635;;;;;0
17728;;;;;0
17823;;;;;0
17915;;;;;0
18009;;;;;0
18098;;;;;0
18190;;;;;0
18277;;;;;0
18372;;;;;0
18462;;;;;0
18554;;;;;0
18641;;;;;0
18739;;;;;0
18834;;;;;0
18928;;;;;0
19021;;;;;0
19110;;;;;0
19205;;;;;0
19297;;;;;0
19388;;;;;0
19475;;;;;0
19568;;;;;0
19658;;;;;0
19743;;;;;0
19838;;;;;0
19930;;;;;0
20027;;;;;0
20114;;;;;0
20199;;;;;0
20289;;;;;0
20386;;;;;0
20477;;;;;0
20565;;;;;0
20658;;;;;0
20744;;;;;0
20834;;;;;0
20923;;;;;0
21008;;;;;0
21100;;;;;0
21191;;;;;0
21275;;;;;0
21368;;;;;0
21459;;;;;0
21550;;;;;0
21649;;;;;0
21741;;;;;0
21829;;;;;0
21921;;;;;0
22012;;;;;0
22101;;;;;0
22192;;;;;0
22277;;;;;0
22371;;;;;0
22463;;;;;0
22553;;;;;0
