temps_ms;throttle;yaw;pitch;trim;estat;active_cam
61;36;64;64;63;0;0
102;36;64;64;63;0;0
144;37;64;64;63;0;0
260;39;64;64;63;0;0
307;40;64;64;63;0;0
354;41;64;64;63;0;0
399;42;64;64;63;0;0
442;42;64;64;63;0;0
488;43;64;64;63;0;0
533;44;64;64;63;0;0
575;45;64;64;63;0;0
617;46;64;64;63;0;0
659;46;64;64;63;0;0
705;47;64;64;63;0;0
745;48;64;64;63;0;0
789;49;64;64;63;0;0
835;49;64;64;63;0;0
880;50;64;64;63;0;0
921;51;64;64;63;0;0
965;52;64;64;63;0;0
1008;53;64;64;63;0;0
1055;53;64;64;63;0;0
1098;54;64;64;63;0;0
1143;55;64;64;63;0;0
1190;56;64;64;63;0;0
1233;57;64;64;63;0;0
1276;57;64;64;63;0;0
1320;58;64;64;63;0;0
1362;59;64;64;63;0;0
1423;60;64;64;63;1;0
1464;80;64;64;63;1;0
1506;80;64;64;63;1;0
1548;80;64;64;63;1;0
1592;80;64;64;63;1;0
1632;80;64;64;63;1;0
1676;80;64;64;63;1;0
1718;80;64;64;63;1;0
1760;80;64;64;63;1;0
1805;80;64;64;63;1;0
1850;80;64;64;63;1;0
1894;80;64;64;63;1;0
1934;79;64;64;63;1;0
1981;79;64;64;63;1;0
2022;78;64;64;63;1;0
2066;78;64;64;63;1;0
2111;77;64;64;63;1;0
2155;77;64;64;63;1;0
2200;75;44;64;63;1;0
2243;75;44;64;63;1;0
2286;75;44;64;63;1;0
2331;73;44;64;63;1;0
2372;73;44;64;63;1;0
2417;70;64;64;63;1;0
2464;70;64;64;63;1;0
2509;62;64;64;63;1;0
2554;62;64;64;63;1;0
2598;62;64;64;63;1;0
2643;62;64;64;63;1;0
2686;62;64;64;63;1;0
2731;62;44;64;63;1;0
2775;62;44;64;63;1;0
2818;62;44;64;63;1;0
2862;62;44;64;63;1;0
2904;62;44;64;63;1;0
2948;62;64;64;63;1;0
2992;62;64;64;63;1;0
3036;62;64;64;63;1;0
3080;62;64;64;63;1;0
3125;62;64;64;63;1;0
3166;62;64;64;63;1;0
3209;62;64;64;63;1;0
3250;62;44;64;63;1;0
3291;62;44;64;63;1;0
3336;62;44;64;63;1;0
3380;62;44;64;63;1;0
3421;62;44;64;63;1;0
3466;62;64;64;63;1;0
3512;62;64;64;63;1;0
3552;62;64;64;63;1;0
3592;62;64;64;63;1;0
3636;62;64;64;63;1;0
3678;62;64;64;63;1;0
3721;62;64;64;63;1;0
3766;62;44;64;63;1;0
3810;62;44;64;63;1;0
3854;62;44;64;63;1;0
3900;62;44;64;63;1;0
3946;62;64;64;63;1;0
3989;62;64;64;63;1;0
4030;62;64;64;63;1;0
4072;62;64;64;63;1;0
4116;62;64;64;63;1;0
4159;62;64;64;63;1;0
4200;62;64;64;63;1;0
4243;54;64;64;63;1;1
4283;58;84;64;63;1;1
4326;58;84;64;63;1;1
4366;59;84;64;63;1;1
4412;59;84;64;63;1;1
4455;58;64;64;63;1;1
4500;58;64;64;63;1;1
4543;59;64;64;63;1;1
4584;59;64;64;63;1;1
4625;59;64;64;63;1;1
4669;59;64;64;63;1;1
4711;61;64;64;63;1;1
4754;61;64;64;63;1;1
4794;61;84;64;63;1;1
4839;60;84;64;63;1;1
4883;60;84;64;63;1;1
4925;61;84;64;63;1;1
4970;61;64;64;63;1;1
5012;61;64;64;63;1;1
5055;61;64;64;63;1;1
5096;69;64;64;63;1;1
5139;69;64;64;63;1;1
5184;68;64;64;63;1;1
5230;68;64;64;63;1;1
5275;59;84;64;63;1;1
5319;59;84;64;63;1;1
5362;61;84;64;63;1;1
5404;61;84;64;63;1;1
5447;61;84;64;63;1;1
5489;61;64;64;63;1;1
5530;61;64;64;63;1;1
5576;61;64;64;63;1;1
5616;61;64;64;63;1;1
5662;61;64;64;63;1;1
5706;61;64;64;63;1;1
5751;64;64;64;63;1;1
5793;64;84;64;63;1;1
5838;64;84;64;63;1;1
5880;64;84;64;63;1;1
5925;62;84;64;63;1;1
5966;62;84;64;63;1;1
6007;64;64;64;63;1;1
6052;64;64;64;63;1;1
6094;66;64;64;63;1;1
6134;66;64;64;63;1;1
6176;66;64;64;63;1;1
6220;66;64;64;63;1;1
6262;67;64;64;63;1;1
6307;67;84;64;63;1;1
6347;67;84;64;63;1;1
6393;66;84;64;63;1;1
6437;66;84;64;63;1;1
6482;66;84;64;63;1;1
6530;66;64;64;63;1;1
6575;69;64;64;63;1;1
6616;69;64;64;63;1;1
6657;69;64;64;63;1;1
6699;69;64;64;63;1;1
6742;70;64;64;63;1;1
6783;70;64;64;63;1;1
6824;69;84;64;63;1;1
6868;69;84;64;63;1;1
6911;69;84;64;63;1;1
6953;71;84;64;63;1;1
6997;71;84;64;63;1;1
7039;71;64;64;63;1;1
7082;71;64;64;63;1;1
7127;71;64;64;63;1;1
7170;71;64;64;63;1;1
7215;70;64;64;63;1;1
7259;70;64;64;63;1;1
7304;72;64;64;63;1;1
7346;72;84;64;63;1;1
7387;72;84;64;63;1;1
7433;72;84;64;63;1;1
7474;72;84;64;63;1;1
7518;72;84;64;63;1;1
7563;72;64;64;63;1;1
7608;72;64;64;63;1;1
7651;72;64;64;63;1;1
7694;72;64;64;63;1;1
7738;72;64;64;63;1;1
7785;72;64;64;63;1;1
7826;72;64;64;63;1;1
7869;72;84;64;63;1;1
7910;72;84;64;63;1;1
7953;72;84;64;63;1;1
7997;72;84;64;63;1;1
8038;72;84;64;63;1;1
8084;72;64;64;63;1;1
8126;72;64;64;63;1;1
8167;72;64;64;63;1;1
8210;72;64;64;63;1;1
8255;72;64;64;63;1;1
8297;72;64;64;63;1;1
8338;72;64;64;63;1;1
8379;72;84;64;63;1;1
8422;72;84;64;63;1;1
8463;72;84;64;63;1;1
8506;72;84;64;63;1;1
8549;72;64;64;63;1;1
8592;72;64;64;63;1;1
8637;72;64;64;63;1;1
8683;72;64;64;63;1;1
8730;72;64;64;63;1;1
8773;72;64;64;63;1;1
8815;72;64;64;63;1;1
8859;72;84;64;63;1;1
8905;72;64;64;63;1;1
8948;72;64;64;63;1;1
8991;72;64;64;63;1;1
9036;67;64;64;63;1;1
9080;67;64;64;63;1;1
9124;68;64;64;63;1;1
9168;68;64;64;63;1;1
9209;79;64;64;63;1;1
9253;79;64;64;63;1;1
9297;67;64;64;63;1;1
9340;67;64;64;63;1;1
9384;67;64;64;63;1;1
9426;67;64;64;63;1;1
9467;67;64;64;63;1;1
9512;67;64;64;63;1;1
9556;68;64;64;63;1;1
9599;68;64;64;63;1;1
9642;68;64;64;63;1;1
9687;66;64;64;63;1;1
9729;66;64;64;63;1;1
9770;66;64;64;63;1;1
9811;66;64;64;63;1;1
9853;66;64;64;63;1;1
9895;66;64;64;63;1;1
9938;65;64;64;63;1;1
9981;65;64;64;63;1;1
10027;64;64;64;63;1;1
10071;64;64;64;63;1;1
10116;64;84;64;63;1;1
10157;64;64;64;63;1;1
10203;65;64;64;63;1;1
10247;65;64;64;63;1;1
10290;64;64;64;63;1;1
10331;64;64;64;63;1;1
10374;64;64;64;63;1;1
10418;64;64;64;63;1;1
10459;64;64;64;63;1;1
10501;63;64;64;63;1;1
10546;63;64;64;63;1;1
10588;62;64;64;63;1;1
10630;62;64;64;63;1;1
10673;64;64;64;63;1;1
10718;64;64;64;63;1;1
10763;63;64;64;63;1;1
10804;63;64;64;63;1;1
10845;64;64;64;63;1;1
10887;64;64;64;63;1;1
10928;64;64;64;63;1;1
10974;64;64;64;63;1;1
11017;65;64;64;63;1;1
11063;65;64;64;63;1;1
11106;64;64;64;63;1;1
11152;64;64;64;63;1;1
11195;64;64;64;63;1;1
11237;66;64;64;63;1;1
11280;66;64;64;63;1;1
11323;65;64;64;63;1;1
11366;65;64;64;63;1;1
11407;66;64;64;63;1;1
11451;66;64;64;63;1;1
11498;66;64;64;63;1;1
11541;66;64;64;63;1;1
11586;67;64;64;63;1;1
11630;67;64;64;63;1;1
11672;67;64;64;63;1;1
11714;67;64;64;63;1;1
11758;67;64;64;63;1;1
11802;69;64;64;63;1;1
11846;69;64;64;63;1;1
11889;68;64;64;63;1;1
11931;68;64;64;63;1;1
11976;68;64;64;63;1;1
