temps_ms;throttle;yaw;pitch;trim;estat
55;21;64;64;63;0
96;22;64;64;63;0
137;23;64;64;63;0
177;24;64;64;63;0
217;25;64;64;63;0
257;26;64;64;63;0
297;27;64;64;63;0
416;30;64;64;63;0
456;31;64;64;63;0
498;32;64;64;63;0
546;33;64;64;63;0
587;34;64;64;63;0
628;35;64;64;63;0
669;36;64;64;63;0
709;37;64;64;63;0
755;38;64;64;63;0
800;39;64;64;63;0
842;40;64;64;63;0
888;41;64;64;63;0
929;42;64;64;63;0
970;43;64;64;63;0
1011;44;64;64;63;0
1056;45;64;64;63;0
1097;46;64;64;63;0
1139;47;64;64;63;0
1181;48;64;64;63;0
1222;49;64;64;63;0
1263;50;64;64;63;0
1306;51;64;64;63;0
1346;52;64;64;63;0
1387;53;64;64;63;0
1431;54;64;64;63;0
1478;56;64;64;63;0
1522;57;64;64;63;0
1563;58;64;64;63;0
1609;59;64;64;63;0
1649;60;64;64;63;0
1693;61;64;64;63;0
1737;62;64;64;63;0
1781;63;64;64;63;0
1826;64;64;64;63;0
1867;65;64;64;63;0
1909;66;64;64;63;0
1950;67;64;64;63;0
1997;68;64;64;63;0
2039;69;64;64;63;0
2079;70;64;64;63;0
2124;71;64;64;63;0
2165;72;64;64;63;0
2205;73;64;64;63;0
2248;74;64;64;63;0
2292;76;64;64;63;0
2333;77;64;64;63;0
2376;78;64;64;63;0
2416;79;64;64;63;0
2457;80;64;64;63;0
2501;81;64;64;63;0
2545;81;64;64;63;0
2590;81;64;64;63;0
2633;81;64;64;63;0
2677;81;64;64;63;0
2717;81;64;64;63;0
2762;81;64;64;63;0
2803;81;64;64;63;0
2844;81;64;64;63;0
2886;81;64;64;63;0
2931;81;64;64;63;0
2974;81;64;64;63;0
3015;81;64;64;63;0
3059;81;64;64;63;0
3101;81;64;64;63;0
3145;81;64;64;63;0
3187;81;64;64;63;0
3231;81;64;64;63;0
3272;81;64;64;63;0
3315;81;64;64;63;0
3355;81;64;64;63;0
3399;81;64;64;63;0
3442;81;64;64;63;0
3487;81;64;64;63;0
3527;81;64;64;63;0
3572;81;64;64;63;0
3618;81;64;64;63;0
3659;81;64;64;63;0
3700;81;64;64;63;0
3740;81;64;64;63;0
3784;81;64;64;63;0
3830;81;64;64;63;0
3872;81;64;64;63;0
3912;81;64;64;63;0
3956;81;64;64;63;0
3998;81;64;64;63;0
4042;81;64;64;63;0
4084;81;64;64;63;0
4138;81;84;64;63;0
4180;81;84;64;63;0
4224;81;84;64;63;0
4267;81;84;64;63;0
4310;81;84;64;63;0
4352;81;64;64;63;0
4395;81;64;64;63;0
4440;81;64;64;63;0
4482;81;64;64;63;0
4526;81;64;64;63;0
4569;81;64;64;63;0
4613;81;64;64;63;0
4655;81;84;64;63;0
4699;81;84;64;63;0
4739;81;84;64;63;0
4779;81;84;64;63;0
4825;81;84;64;63;0
4866;81;64;64;63;0
4910;81;64;64;63;0
4956;81;64;64;63;0
4997;81;64;64;63;0
5041;81;64;64;63;0
5081;81;64;64;63;0
5125;81;64;64;63;0
5167;81;84;64;63;0
5207;81;84;64;63;0
5253;81;84;64;63;0
5298;81;84;64;63;0
5341;78;84;64;63;1
5383;78;64;64;63;1
5429;78;64;64;63;1
5470;78;64;64;63;1
5513;77;64;64;63;1
5559;77;64;64;63;1
5604;76;64;64;63;1
5649;76;64;64;63;1
5716;76;84;64;63;1
5757;76;84;64;63;1
5801;76;84;64;63;1
5844;76;84;64;63;1
5885;76;64;64;63;1
5927;76;64;64;63;1
5971;78;64;64;63;1
6013;78;64;64;63;1
6054;76;64;64;63;1
6094;76;64;64;63;1
6140;75;64;64;63;1
6238;75;84;64;63;1
6284;74;84;64;63;1
6325;74;84;64;63;1
6368;74;64;64;63;1
6410;74;64;64;63;1
6452;74;64;64;63;1
6496;75;64;64;63;1
6540;75;64;64;63;1
6585;75;64;64;63;1
6627;75;64;64;63;1
6675;75;84;64;63;1
6719;75;64;64;63;1
6760;75;64;64;63;1
6805;75;64;64;63;1
6849;76;64;64;63;1
6892;76;64;64;63;1
6935;76;64;64;63;1
6976;76;64;64;63;1
7048;76;84;64;63;1
7089;76;64;64;63;1
7130;76;64;64;63;1
7170;76;64;64;63;1
7215;76;64;64;63;1
7256;76;64;64;63;1
7301;76;64;64;63;1
7346;76;64;64;63;1
7446;77;84;64;63;1
7488;77;64;64;63;1
7529;77;64;64;63;1
7571;77;64;64;63;1
7611;77;64;64;63;1
7651;79;64;64;63;1
7696;79;64;64;63;1
7736;79;64;64;63;1
7836;79;84;64;63;1
7882;78;64;64;63;1
7926;79;64;64;63;1
7967;79;64;64;63;1
8013;79;64;64;63;1
8059;79;64;64;63;1
8103;79;64;64;63;1
8166;79;84;64;63;1
8207;79;64;64;63;1
8252;79;64;64;63;1
8297;79;64;64;63;1
8337;79;64;64;63;1
8379;79;64;64;63;1
8419;79;64;64;63;1
8461;80;64;64;63;1
8505;80;64;64;63;1
8547;81;64;64;63;1
8587;81;64;64;63;1
8628;81;64;64;63;1
8673;80;64;64;63;1
