temps_ms;cx;cy;amplada;alcada;ratio
167;;;;;0
347;;;;;0
462;;;;;0
561;;;;;0
660;;;;;0
750;;;;;0
847;;;;;0
946;;;;;0
1038;;;;;0
1132;;;;;0
1222;;;;;0
1306;;;;;0
1397;;;;;0
1487;;;;;0
1576;;;;;0
1672;;;;;0
1761;;;;;0
1848;323;350;30;39;3,333
1945;325;348;30;44;3,000
2045;324;344;21;51;2,667
2138;328;326;18;30;5,133
2231;329;318;16;31;5,226
2326;329;312;18;33;5,091
2412;330;303;16;31;5,710
2502;330;295;15;29;6,379
2596;328;286;17;30;6,467
2689;329;279;16;31;6,484
2777;329;275;16;30;6,833
2870;328;266;17;32;6,688
2963;327;260;15;30;7,333
3061;325;253;17;29;7,828
3155;323;251;17;30;7,633
3248;321;248;16;29;8,000
3343;319;248;17;29;8,000
3439;316;250;17;30;7,667
3528;313;252;18;33;6,909
3621;311;256;16;29;7,724
3709;307;263;17;32;6,781
3803;303;270;17;30;7,000
3896;297;279;17;32;6,281
3995;;;;;0
4096;;;;;0
4190;;;;;0
4277;;;;;0
4389;;;;;0
4480;;;;;0
4581;;;;;0
4676;;;;;0
4769;273;404;21;36;2,111
4860;271;420;25;37;1,622
4952;270;434;21;36;1,278
5047;271;447;25;41;0,805
5142;269;458;31;39;0,564
5241;272;464;31;28;0,571
5339;;;;;0
5442;;;;;0
5538;;;;;0
5635;274;462;33;31;0,581
5728;273;456;33;37;0,649
5814;273;443;28;42;0,881
5903;273;434;32;38;1,211
5990;271;420;26;38;1,579
6076;268;407;22;41;1,780
6170;265;393;26;52;1,673
6286;;;;;0
6383;;;;;0
6473;246;352;21;38;3,368
6573;236;335;25;46;3,152
6675;228;321;25;42;3,786
6777;217;304;25;41;4,293
6878;205;289;23;37;5,162
6971;198;275;21;40;5,125
7061;184;260;29;43;5,116
7161;;;;;0
7251;;;;;0
7344;;;;;0
7439;;;;;0
7535;;;;;0
7639;140;212;33;41;6,537
7735;136;208;35;41;6,634
7832;136;205;34;40;6,875
7932;137;204;32;40;6,900
8031;140;203;34;42;6,595
8119;145;203;36;41;6,756
8209;151;206;38;38;7,211
8296;155;206;34;38;7,211
8393;162;225;42;68;3,750
8486;163;229;49;69;3,638
8586;;;;;0
8683;190;223;30;39;6,590
8773;201;231;27;39;6,385
8868;202;235;41;41;5,976
8968;212;239;43;38;6,342
9058;220;243;51;39;6,077
9154;227;246;47;42;5,571
9246;233;249;49;42;5,500
9342;241;254;52;43;5,256
9442;245;259;52;41;5,390
9546;248;266;53;42;5,095
9651;252;272;50;42;4,952
9742;253;279;55;47;4,277
9846;253;284;53;46;4,261
9949;254;291;55;45;4,200
10044;253;297;58;48;3,812
10136;250;302;59;47;3,787
10230;248;310;60;46;3,696
10326;245;314;58;50;3,320
10411;243;318;56;50;3,240
10502;241;324;57;50;3,120
10593;241;329;59;50;3,020
10682;241;330;54;51;2,941
10784;244;335;47;49;2,959
10876;248;335;44;45;3,222
10971;244;338;57;49;2,898
11067;246;341;60;50;2,780
11160;251;342;58;50;2,760
11245;267;341;32;47;2,957
11335;270;341;27;48;2,896
11429;274;340;34;49;2,857
11523;285;347;30;52;2,558
11614;;;;;0
11706;294;340;33;53;2,642
11801;301;342;66;65;2,123
11894;312;333;40;56;2,625
11981;314;323;37;46;3,413
12070;323;316;36;44;3,727
12160;327;310;45;47;3,617
12249;330;302;54;48;3,708
12340;334;297;64;50;3,660
12435;340;288;58;50;3,840
12531;348;278;62;52;3,885
12625;351;273;58;52;3,981
12714;351;266;60;51;4,196
12808;352;258;61;50;4,440
12903;351;246;61;55;4,255
12994;349;240;61;57;4,211
13082;341;232;55;56;4,429
13176;337;228;57;56;4,500
13271;327;220;56;56;4,643
13364;316;215;50;57;4,649
13458;301;208;48;59;4,610
13548;291;206;43;59;4,644
13642;273;205;39;62;4,435
13733;256;205;42;68;4,044
13823;238;205;41;68;4,044
13915;226;206;41;69;3,971
14008;210;206;42;71;3,859
14102;193;216;44;68;3,882
14191;179;220;52;69;3,768
14273;171;226;47;63;4,032
14366;167;234;44;64;3,844
14456;163;239;40;63;3,825
14541;161;246;43;66;3,545
14639;162;251;44;65;3,523
14735;167;259;41;61;3,623
14827;171;266;46;63;3,397
14915;174;274;48;64;3,219
15010;177;278;57;58;3,483
15107;183;283;68;69;2,855
15199;193;288;74;65;2,954
15292;207;293;81;66;2,833
15379;220;297;80;68;2,691
15466;231;298;78;62;2,935
15560;245;300;88;66;2,727
15644;260;300;91;62;2,903
15737;270;299;97;70;2,586
15832;288;299;100;64;2,828
15931;296;295;104;62;2,984
16025;315;292;107;61;3,082
16116;332;283;107;67;2,940
16208;354;278;102;69;2,928
16308;362;272;109;76;2,737
16405;372;265;114;78;2,756
16503;384;261;118;76;2,882
16594;396;255;123;81;2,778
16687;410;250;120;87;2,644
16780;414;248;121;87;2,667
16873;421;245;121;88;2,670
16966;427;241;133;97;2,464
17062;430;234;134;105;2,343
17156;431;231;132;105;2,371
17247;430;226;128;106;2,396
17340;423;218;139;115;2,278
17434;411;214;140;120;2,217
17530;379;204;144;149;1,852
17632;369;194;144;142;2,014
17723;342;175;128;144;2,118
17813;302;151;118;160;2,056
17906;272;131;119;162;2,154
17996;226;110;113;164;2,256
18093;178;88;110;172;2,279
18183;133;76;106;150;2,693
18271;118;77;76;154;2,617
