temps_ms;cx;cy;amplada;alcada
178;;;;
437;;;;
532;;;;
632;523;170;34;56
735;;;;
833;;;;
926;;;;
1028;;;;
1123;;;;
1222;;;;
1330;;;;
1424;;;;
1522;;;;
1621;;;;
1719;;;;
1820;;;;
2003;;;;
2103;;;;
2211;;;;
2348;;;;
2460;;;;
2623;;;;
2767;;;;
2912;;;;
3058;;;;
3209;;;;
3352;;;;
3466;;;;
3570;;;;
3673;;;;
3774;;;;
3915;;;;
4012;;;;
4114;;;;
4213;;;;
4314;;;;
4410;;;;
4508;;;;
4603;;;;
4705;;;;
4802;;;;
4903;;;;
5002;;;;
5102;;;;
5197;;;;
5290;;;;
5423;;;;
5523;;;;
5615;;;;
5720;;;;
5821;;;;
5922;;;;
6018;;;;
6117;;;;
6212;;;;
6308;;;;
6394;;;;
6499;;;;
6593;;;;
6691;;;;
6786;;;;
6984;;;;
7084;;;;
7180;;;;
7280;;;;
7379;;;;
7481;;;;
7580;;;;
7679;;;;
7774;;;;
7863;;;;
7963;;;;
8062;;;;
8165;;;;
8265;;;;
8371;;;;
8573;;;;
8675;;;;
8768;;;;
8865;;;;
8961;;;;
9068;;;;
9167;;;;
9266;;;;
9361;;;;
9456;;;;
9558;;;;
9656;;;;
9758;;;;
9856;;;;
9948;;;;
10107;126;291;92;138
10203;;;;
10297;;;;
10394;;;;
10497;;;;
10593;;;;
10696;;;;
10790;;;;
10889;;;;
10987;;;;
11077;;;;
11176;296;461;28;31
11266;294;454;26;41
11366;292;456;27;39
11461;290;456;29;38
11590;286;454;31;38
11698;282;453;28;41
11798;276;448;32;43
11891;272;445;26;45
11995;268;446;24;39
12093;260;435;27;49
12195;254;430;30;46
12294;248;413;29;60
12390;240;409;33;56
12491;234;404;27;50
12593;229;396;26;44
12696;224;386;26;50
12799;217;377;30;48
12903;212;364;31;54
12995;210;360;31;54
13147;208;348;31;58
13251;206;327;26;51
13349;204;317;25;50
13446;202;310;26;48
13542;201;302;27;44
13637;196;292;29;49
13736;195;285;32;51
13834;191;272;31;47
13931;189;256;37;48
14035;189;238;35;49
14136;189;227;36;51
14233;188;212;33;45
14334;186;192;37;47
14430;186;180;32;47
14530;185;172;33;50
14697;185;162;33;54
14792;187;147;34;52
14890;186;141;32;51
14979;186;140;31;50
15079;186;135;32;55
15178;187;132;30;50
15274;186;131;31;52
15367;186;131;31;54
15462;187;130;32;55
15556;186;133;32;57
15652;180;137;35;60
15755;177;142;45;54
15855;174;149;45;54
15955;173;156;47;54
16053;172;166;46;55
16182;170;178;47;55
16286;170;196;50;56
16392;167;207;42;55
16499;166;217;39;54
16593;166;223;44;53
16690;171;225;42;55
16786;172;225;43;51
16882;174;224;44;56
16982;179;219;45;55
17075;183;218;44;53
17167;188;216;45;56
17264;193;212;42;55
17364;196;213;46;58
17462;203;208;43;55
17565;207;210;47;61
17766;215;210;45;64
17868;218;211;44;61
17972;220;212;45;61
18074;222;217;49;63
18193;221;223;48;62
18290;220;232;47;63
18386;217;237;46;66
18487;215;242;46;68
18586;211;243;50;64
18686;206;243;47;64
18782;203;237;45;64
18891;202;231;44;62
18991;195;228;47;71
19092;194;226;44;71
19188;193;224;46;68
19315;191;228;47;70
19415;192;232;45;66
19519;192;234;46;70
19614;190;238;49;71
19711;189;240;62;67
19808;190;243;69;70
19898;193;243;66;68
19994;199;239;66;68
20098;205;237;63;67
20196;211;232;59;66
20292;218;227;48;71
20395;227;219;44;71
20492;234;211;42;74
20593;238;205;43;76
20705;243;194;44;73
20873;245;186;45;74
20976;244;179;48;81
21079;239;181;45;84
21177;232;190;52;89
21278;218;204;74;93
21376;196;221;103;96
21466;183;247;101;91
21573;183;282;75;99
21673;161;316;83;100
21769;149;339;63;103
21864;158;353;73;104
21959;159;356;73;108
22058;166;350;86;105
22153;175;343;87;107
22246;186;332;85;110
22412;197;321;110;107
22524;229;319;91;119
22626;250;325;103;132
22716;243;337;135;123
22814;259;382;144;122
22914;274;427;168;104
23019;;;;
23115;;;;
23214;;;;
23317;326;437;123;81
23422;314;424;145;110
23527;319;421;134;115
23625;;;;
23730;;;;
23831;327;433;119;87
23962;303;430;163;97
24070;;;;
24183;;;;
24279;327;436;119;82
24378;326;439;121;78
24478;;;;
24575;321;425;127;103
24670;315;418;145;119
24768;327;429;120;93
24867;324;431;128;92
24966;326;434;120;85
25075;324;436;129;79
25174;323;425;127;101
25277;323;432;130;92
25381;326;431;120;91
25503;325;426;128;99
25642;324;426;123;99
25758;322;421;135;109
25875;314;423;147;110
26009;324;428;127;97
26115;326;430;123;91
26287;312;419;151;118
26399;324;428;130;98
26563;322;421;129;112
26703;324;425;128;102
26831;323;429;123;94
26940;319;415;139;121
27045;322;416;130;120
27147;325;429;123;96
27259;323;414;131;126
27386;320;410;139;134
27494;318;413;144;126
27601;320;414;138;125
27702;317;410;144;134
27802;322;412;134;129
27904;322;414;135;125
28006;321;408;138;138
28106;321;409;135;135
28206;320;410;138;136
28305;321;408;135;137
28421;319;409;141;136
28531;;;;
28628;322;409;134;135
28728;;;;
28824;318;409;142;136
28957;320;409;137;136
29050;319;410;137;136
