temps_ms;throttle;yaw;pitch;trim;estat
60;21;63;63;63;0
102;22;63;63;63;0
179;24;63;63;63;0
219;25;63;63;63;0
260;25;63;63;63;0
315;27;63;63;63;0
358;28;63;63;63;0
401;29;63;63;63;0
446;30;63;63;63;0
488;31;63;63;63;0
530;32;63;63;63;0
577;33;63;63;63;0
621;34;63;63;63;0
661;35;63;63;63;0
705;36;63;63;63;0
747;37;63;63;63;0
788;37;63;63;63;0
832;38;63;63;63;0
875;39;63;63;63;0
919;40;63;63;63;0
960;41;63;63;63;0
1007;42;63;63;63;0
1048;43;63;63;63;0
1089;44;63;63;63;0
1132;45;63;63;63;0
1173;46;63;63;63;0
1214;47;63;63;63;0
1257;48;63;63;63;0
1298;49;63;63;63;0
1339;50;63;63;63;0
1379;51;63;63;63;0
1421;52;63;63;63;0
1462;53;63;63;63;0
1502;54;63;63;63;0
1548;55;63;63;63;0
1592;56;63;63;63;0
1639;57;63;63;63;0
1682;58;63;63;63;0
1726;59;63;63;63;0
1771;60;63;63;63;0
1816;61;63;63;63;0
1857;62;63;63;63;0
1899;63;63;63;63;0
1941;64;63;63;63;0
1982;65;63;63;63;0
2022;66;63;63;63;0
2067;67;63;63;63;0
2108;67;63;63;63;0
2154;68;63;63;63;0
2196;69;63;63;63;0
2238;70;63;63;63;0
2284;70;63;63;63;0
2326;70;63;63;63;0
2368;70;63;63;63;0
2414;70;63;63;63;0
2455;70;63;63;63;0
2500;70;63;63;63;0
2541;70;63;63;63;0
2586;70;63;63;63;0
2631;70;63;63;63;0
2672;70;63;63;63;0
2712;70;63;63;63;0
2754;70;63;63;63;0
2795;70;63;63;63;0
2837;70;63;63;63;0
2877;70;63;63;63;0
2919;70;63;63;63;0
2962;70;63;63;63;0
3006;70;63;63;63;0
3048;70;83;63;63;0
3092;70;83;63;63;0
3134;70;83;63;63;0
3180;70;83;63;63;0
3221;70;83;63;63;0
3263;70;83;63;63;0
3304;70;63;63;63;0
3347;70;63;63;63;0
3389;70;63;63;63;0
3430;70;63;63;63;0
3472;70;63;63;63;0
3516;70;63;63;63;0
3558;70;63;63;63;0
3606;70;63;63;63;0
3691;70;83;63;63;0
3734;70;83;63;63;0
3774;70;83;63;63;0
3818;70;83;63;63;0
3861;70;83;63;63;0
3902;70;83;63;63;0
3944;70;83;63;63;0
3985;70;83;63;63;0
4029;70;83;63;63;0
4071;70;83;63;63;0
4112;70;63;63;63;0
4152;70;63;63;63;0
4193;70;63;63;63;0
4233;70;63;63;63;0
4275;70;63;63;63;0
4318;70;63;63;63;0
4360;70;63;63;63;0
4405;70;63;63;63;0
4445;70;83;63;63;0
4485;70;83;63;63;0
4527;70;83;63;63;0
4571;70;83;63;63;0
4615;70;83;63;63;0
4657;70;83;63;63;0
4697;70;83;63;63;0
4738;70;83;63;63;0
4783;70;83;63;63;0
4874;70;83;63;63;1
4914;68;63;63;63;1
4955;68;63;63;63;1
4996;68;63;63;63;1
5038;68;63;63;63;1
5083;67;63;63;63;1
5124;67;63;63;63;1
5169;68;63;63;63;1
5211;68;63;63;63;1
5253;67;63;63;63;1
5299;67;63;63;63;1
5344;67;63;63;63;1
5386;67;63;63;63;1
5426;67;63;63;63;1
5472;67;63;63;63;1
5517;67;63;63;63;1
5562;67;63;63;63;1
5602;67;63;63;63;1
5643;67;63;63;63;1
5685;67;63;63;63;1
5728;67;63;63;63;1
5771;67;63;63;63;1
5814;67;63;63;63;1
