temps_ms;throttle;yaw;pitch;trim;estat
96;23;63;63;63;0
137;24;63;63;63;0
178;25;63;63;63;0
220;26;63;63;63;0
280;27;63;63;63;0
334;29;63;63;63;0
377;30;63;63;63;0
419;31;63;63;63;0
464;32;63;63;63;0
509;33;63;63;63;0
555;34;63;63;63;0
596;35;63;63;63;0
644;36;63;63;63;0
686;37;63;63;63;0
729;38;63;63;63;0
772;39;63;63;63;0
816;40;63;63;63;0
861;41;63;63;63;0
905;42;63;63;63;0
946;43;63;63;63;0
989;44;63;63;63;0
1032;45;63;63;63;0
1072;46;63;63;63;0
1116;47;63;63;63;0
1161;48;63;63;63;0
1204;49;63;63;63;0
1244;50;63;63;63;0
1286;51;63;63;63;0
1328;52;63;63;63;0
1369;53;63;63;63;0
1412;54;63;63;63;0
1456;55;63;63;63;0
1498;56;63;63;63;0
1539;57;63;63;63;0
1580;58;63;63;63;0
1623;59;63;63;63;0
1666;60;63;63;63;0
1708;61;63;63;63;0
1755;62;63;63;63;0
1799;63;63;63;63;0
1840;64;63;63;63;0
1881;65;63;63;63;0
1922;66;63;63;63;0
1964;67;63;63;63;0
2005;67;63;63;63;0
2047;68;63;63;63;0
2090;69;63;63;63;0
2132;70;63;63;63;0
2174;71;63;63;63;0
2216;71;63;63;63;0
2259;71;63;63;63;0
2299;71;63;63;63;0
2343;71;63;63;63;0
2384;71;63;63;63;0
2427;71;63;63;63;0
2468;71;63;63;63;0
2511;71;63;63;63;0
2557;71;63;63;63;0
2597;71;63;63;63;0
2643;71;63;63;63;0
2687;71;63;63;63;0
2729;71;63;63;63;0
2771;71;63;63;63;0
2814;71;63;63;63;0
2854;71;63;63;63;0
2900;71;63;63;63;0
2942;71;63;63;63;0
2983;71;63;63;63;0
3024;71;63;63;63;0
3069;71;63;63;63;0
3115;71;63;63;63;0
3158;71;63;63;63;0
3202;71;63;63;63;0
3246;71;63;63;63;0
3286;71;63;63;63;0
3326;71;63;63;63;0
3368;71;63;63;63;0
3408;71;63;63;63;0
3449;71;63;63;63;0
3493;71;63;63;63;0
3534;71;63;63;63;0
3578;71;63;63;63;0
3619;71;63;63;63;0
3673;71;63;63;63;1
3713;67;63;63;63;1
3759;65;63;63;63;1
3799;65;63;63;63;1
3843;65;63;63;63;1
3886;65;63;63;63;1
3931;65;63;63;63;1
3973;65;63;63;63;1
4018;63;63;63;63;1
4061;63;63;63;63;1
4105;64;63;63;63;1
4146;64;63;63;63;1
4187;63;63;63;63;1
4228;63;63;63;63;1
4268;63;63;63;63;1
4314;60;63;63;63;1
4356;60;63;63;63;1
4399;62;63;63;63;1
4439;62;63;63;63;1
4481;62;63;63;63;1
4522;62;63;63;63;1
4565;60;63;63;63;1
4607;60;63;63;63;1
4650;60;63;63;63;1
4692;60;63;63;63;1
4736;60;63;63;63;1
4776;60;63;63;63;1
4821;60;63;63;63;1
4862;60;63;63;63;1
4907;60;63;63;63;1
4949;60;63;63;63;1
4994;60;63;63;63;1
5038;60;63;63;63;1
5081;60;63;63;63;1
5123;60;63;63;63;1
5166;60;63;63;63;1
5206;60;63;63;63;1
5252;60;63;63;63;1
5297;60;63;63;63;1
5338;60;63;63;63;1
5381;60;63;63;63;1
5422;60;63;63;63;1
5462;60;63;63;63;1
5505;60;63;63;63;1
5545;60;63;63;63;1
5591;60;63;63;63;1
5637;60;63;63;63;1
5677;62;63;63;63;1
5717;62;63;63;63;2
5759;62;63;63;63;2
5801;62;63;63;63;2
5841;61;63;63;63;2
5883;61;63;63;63;2
5928;61;63;63;63;2
5973;60;63;63;63;2
6018;60;63;63;63;2
6058;59;63;63;63;2
6105;59;63;63;63;2
6145;59;63;63;63;2
6191;58;63;63;63;2
6237;58;63;63;63;2
6282;58;63;63;63;2
6324;58;63;63;63;2
6366;58;63;63;63;2
6407;58;63;63;63;2
6448;58;63;63;63;2
6490;58;63;63;63;2
6531;58;63;63;63;2
6586;58;83;63;63;2
6626;58;83;63;63;2
6667;58;83;63;63;2
6709;58;83;63;63;2
6750;58;83;63;63;2
6790;58;63;63;63;2
6831;58;63;63;63;2
6877;58;63;63;63;2
6923;58;63;63;63;2
6965;58;63;63;63;2
7005;58;63;63;63;2
7046;58;63;63;63;2
7103;58;83;63;63;2
7149;58;83;63;63;2
7190;58;83;63;63;2
7231;58;83;63;63;2
7274;58;83;63;63;2
7319;58;63;63;63;2
7364;58;63;63;63;2
7405;58;63;63;63;2
7447;58;63;63;63;2
7487;58;63;63;63;2
7528;58;63;63;63;2
7573;58;63;63;63;2
7623;58;83;63;63;2
7666;58;83;63;63;2
7711;58;83;63;63;2
7752;58;83;63;63;2
7794;58;63;63;63;2
7835;58;63;63;63;2
7877;58;63;63;63;2
7919;58;63;63;63;2
7964;58;63;63;63;2
8005;58;63;63;63;2
8049;58;63;63;63;2
8093;58;63;63;63;2
8144;58;83;63;63;2
8188;70;83;63;63;3
8228;70;83;63;63;3
8269;70;83;63;63;3
8314;70;63;63;63;3
8355;70;63;63;63;3
8397;70;63;63;63;3
8441;70;63;63;63;3
8487;70;63;63;63;3
8531;70;63;63;63;3
8575;70;63;63;63;3
8617;0;63;63;63;4
8658;0;63;63;63;4
8702;0;63;63;63;4
8746;0;63;63;63;4
8791;0;63;63;63;4
8835;0;63;63;63;4
8882;0;63;63;63;4
8926;0;63;63;63;4
8969;0;63;63;63;4
9010;0;63;63;63;4
9052;0;63;63;63;4
9099;0;63;63;63;4
9142;0;63;63;63;4
9183;0;63;63;63;4
9225;0;63;63;63;4
9269;0;63;63;63;4
9309;0;63;63;63;4
9350;0;63;63;63;4
9437;0;63;63;63;4
9478;0;63;63;63;4
9523;0;63;63;63;4
9564;0;63;63;63;4
9605;0;63;63;63;4
9650;0;63;63;63;4
9690;0;63;63;63;4
9732;0;63;63;63;4
9831;0;63;63;63;4
9872;0;63;63;63;4
9913;0;63;63;63;4
9957;0;63;63;63;4
9997;0;63;63;63;4
10040;0;63;63;63;4
10085;0;63;63;63;4
10127;0;63;63;63;4
10227;0;63;63;63;4
10269;0;63;63;63;4
10313;0;63;63;63;4
10355;0;63;63;63;4
10395;0;63;63;63;4
10440;0;63;63;63;4
10485;0;63;63;63;4
10526;0;63;63;63;4
10616;0;63;63;63;4
10660;0;63;63;63;4
10705;0;63;63;63;4
10749;0;63;63;63;4
10791;0;63;63;63;4
10833;0;63;63;63;4
10874;0;63;63;63;4
10916;0;63;63;63;4
11013;0;63;63;63;4
11056;0;63;63;63;4
11098;0;63;63;63;4
11138;0;63;63;63;4
11184;0;63;63;63;4
11228;0;63;63;63;4
11271;0;63;63;63;4
11315;0;63;63;63;4
11405;0;63;63;63;4
11450;0;63;63;63;4
11494;0;63;63;63;4
11538;0;63;63;63;4
11584;0;63;63;63;4
11626;0;63;63;63;4
11671;0;63;63;63;4
