temps_ms;throttle;yaw;pitch;trim;estat
63;21;63;63;63;0
103;22;63;63;63;0
144;23;63;63;63;0
245;25;63;63;63;0
292;26;63;63;63;0
350;27;63;63;63;0
393;28;63;63;63;0
434;29;63;63;63;0
478;30;63;63;63;0
524;31;63;63;63;0
575;32;63;63;63;0
617;33;63;63;63;0
658;34;63;63;63;0
701;35;63;63;63;0
746;36;63;63;63;0
791;37;63;63;63;0
838;38;63;63;63;0
881;39;63;63;63;0
927;40;63;63;63;0
967;41;63;63;63;0
1010;42;63;63;63;0
1050;43;63;63;63;0
1095;44;63;63;63;0
1140;45;63;63;63;0
1186;46;63;63;63;0
1231;47;63;63;63;0
1277;48;63;63;63;0
1318;49;63;63;63;0
1359;49;63;63;63;0
1406;50;63;63;63;0
1446;51;63;63;63;0
1490;52;63;63;63;0
1532;53;63;63;63;0
1573;54;63;63;63;0
1619;55;63;63;63;0
1662;56;63;63;63;0
1705;57;63;63;63;0
1747;58;63;63;63;0
1796;59;63;63;63;0
1837;60;63;63;63;0
1879;61;63;63;63;0
1920;62;63;63;63;0
1961;63;63;63;63;0
2003;64;63;63;63;0
2045;65;63;63;63;0
2093;66;63;63;63;0
2138;67;63;63;63;0
2182;68;63;63;63;0
2227;69;63;63;63;0
2273;70;63;63;63;0
2315;70;63;63;63;0
2356;71;63;63;63;0
2396;72;63;63;63;0
2439;73;63;63;63;0
2482;74;63;63;63;0
2527;75;63;63;63;0
2573;75;63;63;63;0
2617;75;62;63;63;0
2660;75;62;63;63;0
2707;75;62;63;63;0
2750;75;62;63;63;0
2790;75;62;63;63;0
2834;75;62;63;63;0
2874;75;62;63;63;0
2917;75;62;63;63;0
2957;75;62;63;63;0
3001;75;62;63;63;0
3044;75;62;63;63;0
3088;75;62;63;63;0
3131;75;62;63;63;0
3176;75;62;63;63;0
3220;75;62;63;63;0
3261;75;62;63;63;0
3304;75;63;63;63;0
3350;75;63;63;63;0
3393;75;63;63;63;0
3433;75;63;63;63;0
3477;75;64;63;63;0
3517;75;64;63;63;0
3561;75;65;63;63;0
3602;75;65;63;63;0
3646;75;65;63;63;0
3691;75;65;63;63;0
3733;75;65;63;63;0
3779;75;66;63;63;0
3822;75;66;63;63;0
3867;67;67;63;63;1
3912;66;68;63;63;1
3957;66;68;63;63;1
4000;62;69;63;63;1
4045;62;69;63;63;1
4087;62;69;63;63;1
4127;60;70;63;63;1
4172;60;70;63;63;1
4212;58;71;63;63;1
4255;58;71;63;63;1
4298;59;73;63;63;1
4342;59;73;63;63;1
4446;56;74;63;63;2
4491;60;74;63;63;2
4533;58;75;63;63;2
4578;57;75;63;63;2
4622;55;78;63;63;2
4665;54;78;63;63;2
4711;52;79;63;63;2
4756;51;79;63;63;2
4799;50;80;63;63;2
4840;50;80;63;63;2
4882;50;81;63;63;2
4926;50;81;63;63;2
4970;50;82;63;63;2
5014;50;82;63;63;2
5060;50;82;63;63;2
5103;50;82;63;63;2
5144;50;82;63;63;2
5188;50;83;63;63;2
5228;50;83;63;63;2
5272;50;83;63;63;2
5319;50;83;63;63;2
5362;50;84;63;63;2
5409;50;84;63;63;2
