temps_ms;throttle;yaw;pitch;trim;estat;active_cam
64;36;64;64;63;0;0
105;36;64;64;63;0;0
146;37;64;64;63;0;0
188;38;64;64;63;0;0
261;39;64;64;63;0;0
307;40;64;64;63;0;0
358;41;64;64;63;0;0
398;42;64;64;63;0;0
444;42;64;64;63;0;0
487;43;64;64;63;0;0
527;44;64;64;63;0;0
571;45;64;64;63;0;0
616;46;64;64;63;0;0
659;46;64;64;63;0;0
700;47;64;64;63;0;0
743;48;64;64;63;0;0
783;49;64;64;63;0;0
828;49;64;64;63;0;0
868;50;64;64;63;0;0
914;51;64;64;63;0;0
957;52;64;64;63;0;0
1002;52;64;64;63;0;0
1042;53;64;64;63;0;0
1085;54;64;64;63;0;0
1128;55;64;64;63;0;0
1174;55;64;64;63;0;0
1217;56;64;64;63;0;0
1260;57;64;64;63;0;0
1300;58;64;64;63;0;0
1344;59;64;64;63;0;0
1389;59;64;64;63;0;0
1476;60;64;64;63;1;0
1518;79;64;64;63;1;0
1560;79;64;64;63;1;0
1602;79;64;64;63;1;0
1649;79;64;64;63;1;0
1694;79;64;64;63;1;0
1736;79;64;64;63;1;0
1778;79;64;64;63;1;0
1818;79;64;64;63;1;0
1860;79;64;64;63;1;0
1902;78;64;64;63;1;0
1947;78;64;64;63;1;0
1990;78;64;64;63;1;0
2034;78;64;64;63;1;0
2077;78;64;64;63;1;0
2122;78;64;64;63;1;0
2165;78;64;64;63;1;0
2209;77;64;64;63;1;0
2249;77;64;64;63;1;0
2293;76;64;64;63;1;0
2335;76;64;64;63;1;0
2382;75;64;64;63;1;0
2428;75;64;64;63;1;0
2476;71;64;64;63;1;0
2519;71;64;64;63;1;0
2565;70;64;64;63;1;0
2609;70;64;64;63;1;0
2650;70;64;64;63;1;0
2694;70;64;64;63;1;0
2738;64;64;64;63;1;0
2778;64;64;64;63;1;0
2820;63;64;64;63;1;0
2862;63;64;64;63;1;0
2906;61;64;64;63;1;0
2950;61;64;64;63;1;0
2991;61;64;64;63;1;0
3034;54;64;64;63;1;0
3080;54;64;64;63;1;0
3123;54;64;64;63;1;0
3168;54;64;64;63;1;0
3210;54;64;64;63;1;0
3254;54;64;64;63;1;0
3298;54;64;64;63;1;0
3341;54;64;64;63;1;0
3385;54;64;64;63;1;0
3430;54;64;64;63;1;0
3473;54;64;64;63;1;0
3517;54;64;64;63;1;0
3561;54;64;64;63;1;0
3603;54;64;64;63;1;0
3647;54;64;64;63;1;0
3691;54;64;64;63;1;0
3734;54;64;64;63;1;0
3774;54;64;64;63;1;0
3819;54;64;64;63;1;0
3862;54;64;64;63;1;0
3907;54;64;64;63;1;0
3952;54;64;64;63;1;0
3994;54;64;64;63;1;0
4039;54;64;64;63;1;0
4083;54;64;64;63;1;0
4127;54;64;64;63;1;0
4173;54;64;64;63;1;0
4218;54;64;64;63;1;0
4275;59;84;64;63;1;1
4317;59;84;64;63;1;1
4362;58;84;64;63;1;1
4405;58;84;64;63;1;1
4446;57;84;64;63;1;1
4489;57;64;64;63;1;1
4534;61;64;64;63;1;1
4581;61;64;64;63;1;1
4622;60;64;64;63;1;1
4664;60;64;64;63;1;1
4707;60;64;64;63;1;1
4751;60;64;64;63;1;1
4795;60;84;64;63;1;1
4837;60;84;64;63;1;1
4881;60;84;64;63;1;1
4922;60;84;64;63;1;1
4963;60;84;64;63;1;1
5008;61;64;64;63;1;1
5052;61;64;64;63;1;1
5094;62;64;64;63;1;1
5138;62;64;64;63;1;1
5181;63;64;64;63;1;1
5229;63;64;64;63;1;1
5274;66;64;64;63;1;1
5318;66;84;64;63;1;1
5363;66;84;64;63;1;1
5406;66;84;64;63;1;1
5449;66;84;64;63;1;1
5495;66;84;64;63;1;1
5538;66;64;64;63;1;1
5582;66;64;64;63;1;1
5627;69;64;64;63;1;1
5668;69;64;64;63;1;1
5709;68;64;64;63;1;1
5749;68;64;64;63;1;1
5791;69;64;64;63;1;1
5835;69;84;64;63;1;1
5878;69;84;64;63;1;1
5919;69;84;64;63;1;1
5961;69;84;64;63;1;1
6006;69;84;64;63;1;1
6051;71;64;64;63;1;1
6094;71;64;64;63;1;1
6139;71;64;64;63;1;1
6182;71;64;64;63;1;1
6225;71;64;64;63;1;1
6266;71;64;64;63;1;1
6311;71;64;64;63;1;1
6353;71;84;64;63;1;1
6398;71;84;64;63;1;1
6442;71;84;64;63;1;1
6486;71;84;64;63;1;1
6531;70;64;64;63;1;1
6573;69;64;64;63;1;1
6617;69;64;64;63;1;1
6660;69;64;64;63;1;1
6704;69;64;64;63;1;1
6751;69;64;64;63;1;1
6793;68;64;64;63;1;1
6836;68;84;64;63;1;1
6879;69;64;64;63;1;1
6921;69;64;64;63;1;1
6966;68;64;64;63;1;1
7008;68;64;64;63;1;1
7052;69;64;64;63;1;1
7098;69;64;64;63;1;1
7142;67;64;64;63;1;1
7185;67;64;64;63;1;1
7229;67;64;64;63;1;1
7275;67;64;64;63;1;1
7316;66;64;64;63;1;1
7362;66;64;64;63;1;1
7406;66;64;64;63;1;1
7451;66;64;64;63;1;1
7499;65;64;64;63;1;1
7543;65;64;64;63;1;1
7584;65;64;64;63;1;1
7628;65;64;64;63;1;1
7672;65;64;64;63;1;1
7716;65;64;64;63;1;1
7760;64;64;64;63;1;1
7803;64;44;64;63;1;1
7844;63;44;64;63;1;1
7888;63;44;64;63;1;1
7930;64;44;64;63;1;1
7973;64;44;64;63;1;1
8017;64;64;64;63;1;1
8059;65;64;64;63;1;1
8104;65;64;64;63;1;1
8150;64;64;64;63;1;1
8196;64;64;64;63;1;1
8241;64;64;64;63;1;1
8285;64;64;64;63;1;1
8332;62;44;64;63;1;1
8376;62;44;64;63;1;1
8428;63;44;64;63;1;1
8469;63;44;64;63;1;1
8511;63;64;64;63;1;1
8556;63;64;64;63;1;1
8596;63;64;64;63;1;1
8638;63;64;64;63;1;1
8681;64;64;64;63;1;1
8727;64;64;64;63;1;1
8769;65;64;64;63;1;1
8815;65;44;64;63;1;1
8856;64;44;64;63;1;1
8900;64;44;64;63;1;1
8942;63;44;64;63;1;1
8985;63;44;64;63;1;1
9028;63;64;64;63;1;1
9074;63;64;64;63;1;1
9118;64;64;64;63;1;1
9158;64;64;64;63;1;1
9203;64;64;64;63;1;1
9247;64;64;64;63;1;1
9289;64;64;64;63;1;1
9333;64;44;64;63;1;1
9378;64;44;64;63;1;1
9418;64;44;64;63;1;1
9459;64;44;64;63;1;1
9502;64;44;64;63;1;1
9548;64;64;64;63;1;1
9592;64;64;64;63;1;1
9633;64;64;64;63;1;1
9674;64;64;64;63;1;1
9720;64;64;64;63;1;1
9761;64;64;64;63;1;1
9804;64;64;64;63;1;1
9848;65;44;64;63;1;1
9893;65;44;64;63;1;1
9935;65;44;64;63;1;1
9976;65;44;64;63;1;1
10020;66;44;64;63;1;1
10067;66;64;64;63;1;1
10110;66;64;64;63;1;1
10154;66;64;64;63;1;1
10197;65;64;64;63;1;1
10239;65;64;64;63;1;1
10283;65;64;64;63;1;1
10325;65;64;64;63;1;1
10370;65;44;64;63;1;1
10413;67;44;64;63;1;1
10457;67;44;64;63;1;1
10502;66;44;64;63;1;1
10542;66;44;64;63;1;1
10584;66;64;64;63;1;1
10628;66;64;64;63;1;1
10669;67;64;64;63;1;1
10716;67;64;64;63;1;1
10757;67;64;64;63;1;1
10800;67;64;64;63;1;1
10844;68;64;64;63;1;1
10888;68;84;64;63;1;1
10932;68;84;64;63;1;1
10973;67;84;64;63;1;1
11018;67;84;64;63;1;1
11061;67;84;64;63;1;1
11105;67;64;64;63;1;1
11152;68;64;64;63;1;1
11195;68;64;64;63;1;1
11238;68;64;64;63;1;1
11280;68;64;64;63;1;1
11320;67;64;64;63;1;1
11365;67;64;64;63;1;1
