temps_ms;cx;cy;amplada;alcada;ratio
232;;;;;0
412;;;;;0
508;;;;;0
609;;;;;0
713;;;;;0
814;;;;;0
912;;;;;0
1008;;;;;0
1103;;;;;0
1188;;;;;0
1288;;;;;0
1381;;;;;0
1473;;;;;0
1569;;;;;0
1655;;;;;0
1747;;;;;0
1834;;;;;0
1925;;;;;0
2024;;;;;0
2118;313;359;21;39;3,103
2215;;;;;0
2305;;;;;0
2390;;;;;0
2486;;;;;0
2583;;;;;0
2685;;;;;0
2781;;;;;0
2874;;;;;0
2963;;;;;0
3049;;;;;0
3135;272;325;19;37;4,189
3223;265;318;19;39;4,154
3314;258;312;21;40;4,200
3408;247;301;20;39;4,590
3503;241;293;20;38;4,921
3586;228;280;20;40;5,000
3683;222;274;18;36;5,722
3772;212;265;19;38;5,658
3854;205;256;20;38;5,895
3943;201;254;16;36;6,278
4042;193;244;22;35;6,743
4132;188;242;20;39;6,103
4217;183;237;22;38;6,395
4310;181;235;23;41;5,976
4402;179;233;22;37;6,676
4491;177;233;21;36;6,861
4593;179;235;22;37;6,622
4690;178;237;19;35;6,943
4782;180;240;21;37;6,486
4868;182;245;23;31;7,581
4967;184;250;29;39;5,897
5058;187;258;31;38;5,842
5150;190;261;29;37;5,919
5244;192;270;27;36;5,833
5337;198;279;30;37;5,432
5428;199;287;35;41;4,707
5521;199;293;33;35;5,343
5614;203;300;37;44;4,091
5705;209;314;32;38;4,368
5800;208;318;35;45;3,600
5901;209;322;33;44;3,591
5995;208;334;34;43;3,395
6088;206;340;42;48;2,917
6184;205;344;36;44;3,091
6282;202;351;37;40;3,225
6383;201;357;39;43;2,860
6473;200;360;39;45;2,667
6569;200;366;40;44;2,591
6663;200;369;39;46;2,413
6755;200;371;40;44;2,477
6851;200;374;39;43;2,465
6947;202;374;39;45;2,356
7041;204;376;39;44;2,364
7134;208;375;34;41;2,561
7223;214;375;39;46;2,283
7315;216;374;40;46;2,304
7403;222;372;44;48;2,250
7495;228;369;40;45;2,467
7595;234;368;31;44;2,545
7686;240;365;39;45;2,556
7780;250;362;42;47;2,511
7874;256;357;41;48;2,562
7966;267;352;30;53;2,415
8053;272;348;39;48;2,750
8148;278;344;42;55;2,473
8242;282;337;45;49;2,918
8336;285;328;50;48;3,167
8417;290;321;42;47;3,383
8510;291;317;47;49;3,327
8603;299;309;37;47;3,638
8687;302;304;39;48;3,667
8781;302;297;43;48;3,812
8874;306;287;42;50;3,860
8970;304;283;44;50;3,940
9057;307;276;37;49;4,163
9155;305;271;36;51;4,098
9242;301;267;36;49;4,347
9338;296;262;37;54;4,037
9421;291;258;37;54;4,111
9517;287;254;35;53;4,264
9618;284;251;28;54;4,241
9708;278;249;28;54;4,278
9799;270;247;27;55;4,236
9890;264;245;27;56;4,196
9983;258;243;28;60;3,950
10075;251;244;31;62;3,806
10163;242;244;28;57;4,140
10253;234;245;29;58;4,052
10343;229;248;32;58;4,000
10442;221;250;30;57;4,035
10535;213;250;30;59;3,898
10622;206;253;34;68;3,338
10720;202;255;29;63;3,571
10814;194;259;30;60;3,683
10912;188;263;33;61;3,557
11004;181;266;34;65;3,292
11090;179;269;34;67;3,149
11181;175;273;35;68;3,044
11271;170;277;35;66;3,076
11364;168;277;34;65;3,123
11457;167;280;34;64;3,125
11552;166;282;36;64;3,094
11646;165;282;36;62;3,194
11734;164;283;38;67;2,940
11818;165;284;38;66;2,970
11916;164;284;39;69;2,841
12014;166;284;38;69;2,841
12104;165;283;42;68;2,897
12195;165;283;49;72;2,736
12301;165;283;47;72;2,736
12396;169;280;46;73;2,740
12487;166;275;52;81;2,531
12582;165;274;56;80;2,575
12680;166;268;48;77;2,753
12773;161;265;62;80;2,688
12866;159;261;58;87;2,517
12954;155;258;57;89;2,494
13051;152;256;56;94;2,383
13144;137;249;79;89;2,596
13240;125;244;89;89;2,652
13334;121;241;83;90;2,656
13421;119;235;78;93;2,634
13515;113;220;67;124;2,097
13607;110;223;61;118;2,178
13698;109;221;58;117;2,214
13784;108;220;56;125;2,080
13876;107;214;55;111;2,396
13967;108;204;56;120;2,300
14062;109;204;58;117;2,359
14155;107;197;55;120;2,358
14256;109;198;59;123;2,293
14347;110;193;61;110;2,609
14443;116;188;73;120;2,433
14543;124;182;84;117;2,547
14635;136;175;96;116;2,629
14724;148;169;101;116;2,681
14816;164;153;106;119;2,748
14912;178;136;116;129;2,667
15015;196;123;119;151;2,364
15105;213;100;133;152;2,500
15208;230;83;144;165;2,406
15304;238;84;154;166;2,386
15393;258;52;177;103;4,155
