TEMPS;THROTTLE;YAW;PITCH;TRIM
14707;88;62;63;63
14758;88;62;63;63
14809;88;63;63;63
14859;89;62;63;63
14911;89;63;63;63
14962;89;63;63;63
15013;89;62;63;63
15063;90;62;63;63
15113;90;62;63;63
15163;90;62;63;63
15213;90;62;63;63
15264;91;62;63;63
15315;91;63;63;63
15365;91;63;63;63
15415;91;62;63;63
15465;92;63;63;63
15516;92;62;63;63
15567;92;62;63;63
15619;92;62;63;63
15669;93;62;63;63
15719;93;62;63;63
15769;93;63;63;63
15819;93;63;63;63
15869;92;63;63;63
15920;86;62;63;63
15969;80;62;63;63
16019;79;62;63;63
16070;78;62;63;63
16119;78;62;63;63
16169;77;62;63;63
16219;77;63;63;63
16269;76;63;63;63
16319;76;62;63;63
16370;75;62;63;63
16420;75;62;63;63
16470;74;62;63;63
16519;74;62;63;63
16569;73;62;63;63
16619;73;63;63;63
16670;72;63;63;63
16719;72;63;63;63
16769;71;62;63;63
16819;71;62;63;63
16869;71;62;63;63
16920;72;62;63;63
16969;78;62;63;63
17020;81;63;63;63
17069;81;63;63;63
17119;82;63;63;63
17169;82;62;63;63
17219;82;62;63;63
17270;83;62;63;63
17320;83;62;63;63
17370;83;62;63;63
17421;83;63;63;63
17471;84;63;63;63
17522;84;63;63;63
17573;84;62;63;63
17624;84;62;63;63
17674;84;62;63;63
17724;84;62;63;63
17777;81;63;63;63
17829;69;62;63;63
17880;56;62;63;63
17929;54;62;63;63
17979;54;63;63;63
18030;53;62;63;63
18081;54;62;63;63
18131;64;62;63;63
18184;78;62;63;63
18233;88;62;63;63
18283;89;63;63;63
18333;89;63;63;63
18383;89;62;63;63
18433;90;62;63;63
18484;90;62;63;63
18535;90;62;63;63
18585;90;62;63;63
18635;90;62;63;63
18686;90;63;63;63
18735;91;63;63;63
18786;91;62;63;63
18836;91;63;63;63
18885;91;62;63;63
18935;91;62;63;63
18986;91;65;63;63
19037;92;80;61;63
19088;92;104;61;63
19137;92;104;61;63
19187;92;62;62;63
19238;93;63;62;63
19287;93;63;62;63
19337;93;63;62;63
19388;93;63;62;63
19438;93;63;62;63
19489;93;63;62;63
19539;94;63;62;63
19589;94;61;62;63
19640;94;53;63;63
19690;94;26;63;63
19740;94;25;63;63
19789;94;61;63;63
19839;92;61;63;63
19890;85;61;63;63
19941;79;61;63;63
19992;78;61;63;63
20042;77;61;63;63
20091;77;61;63;63
20144;76;61;63;63
20196;76;61;63;63
20249;75;61;63;63
20300;75;61;63;63
20350;74;61;63;63
20400;74;61;63;63
20450;73;61;63;63
20501;73;61;63;63
20551;72;61;63;63
20601;72;61;63;63
20652;71;61;63;63
20703;71;61;63;63
20752;70;61;63;63
20803;70;61;63;63
20853;69;61;63;63
20903;69;61;63;63
20953;68;61;63;63
21004;68;61;63;63
21056;67;61;63;63
21106;67;61;63;63
21155;66;61;63;63
21206;66;61;63;63
21258;65;61;63;63
21308;65;61;63;63
21357;66;61;63;63
21411;69;61;63;63
21462;75;61;63;63
21512;81;61;63;63
21562;83;61;63;63
21612;83;61;63;63
21662;83;61;63;63
21713;84;61;63;63
21764;84;61;63;63
21814;84;61;63;63
21866;84;61;63;63
21916;84;61;63;63
21966;84;61;63;63
22015;84;61;63;63
22066;84;61;63;63
22116;85;61;63;63
22166;85;61;63;63
22216;85;61;63;63
22265;85;61;63;63
22316;85;61;63;63
22367;85;61;63;63
22417;85;61;63;63
22467;85;61;63;63
22517;86;61;63;63
22567;86;61;63;63
22618;86;61;63;63
22669;86;61;63;63
22719;86;61;63;63
22769;86;61;63;63
22820;86;61;63;63
22870;86;61;63;63
22922;87;61;63;63
22972;87;61;63;63
23022;87;61;63;63
23073;87;61;63;63
23124;87;61;63;63
23174;87;61;63;63
23226;87;61;63;63
23276;88;61;63;63
23328;88;61;63;63
23378;88;61;63;63
23428;88;61;63;63
23480;88;61;63;63
23532;88;61;63;63
23584;88;61;63;63
23638;88;61;63;63
23687;89;61;63;63
23740;89;61;63;63
23792;89;65;63;63
23842;89;77;60;63
23892;89;97;60;63
23945;89;100;60;63
23996;89;65;59;63
24049;89;63;62;63
24100;90;63;62;63
24149;90;63;62;63
24200;90;63;61;63
24249;90;63;61;63
24300;90;63;61;63
24352;90;61;63;63
24402;90;24;61;63
24454;90;12;57;63
24506;91;12;57;63
24556;91;12;57;63
24610;91;12;57;63
24659;91;12;57;63
24709;91;51;59;63
24763;91;61;62;63
24814;91;61;62;63
24863;91;61;62;63
24913;92;61;62;63
24964;90;61;62;63
25014;83;61;62;63
25064;74;61;62;63
25116;71;61;62;63
25166;71;61;62;63
25216;70;61;62;63
25269;70;61;62;63
25320;74;61;62;63
25370;87;62;62;63
25420;97;62;62;63
25470;98;61;62;63
25522;98;61;62;63
25572;98;62;62;63
25622;99;73;62;63
25672;99;114;75;63
25722;99;114;75;63
25772;99;114;75;63
25824;100;114;75;63
25875;100;114;75;63
25926;100;114;75;63
25976;100;114;75;63
26030;101;114;75;63
26080;101;104;67;63
26132;101;63;61;63
26182;101;63;61;63
26232;101;63;61;63
26282;100;63;61;63
26332;96;63;61;63
26382;85;63;61;63
26434;68;63;61;63
26484;59;63;61;63
26536;59;63;61;63
26585;58;63;61;63
26636;58;63;61;63
26687;58;63;61;63
26738;58;63;61;63
26790;59;63;61;63
26842;70;63;61;63
26896;85;63;61;63
26946;98;63;61;63
26996;100;63;61;63
27046;100;63;61;63
27096;100;63;61;63
27146;101;63;61;63
27196;101;63;62;63
27246;101;63;61;63
27296;101;63;61;63
27346;102;63;61;63
27396;102;63;61;63
27446;102;63;61;63
27496;97;63;61;63
27546;82;63;61;63
27596;68;63;61;63
27646;68;51;64;63
27697;68;12;61;63
27746;68;12;61;63
27796;68;12;61;63
27848;68;12;61;63
27898;67;12;61;63
27948;67;12;61;63
28000;67;12;61;63
28052;67;42;61;63
28102;66;62;61;63
28154;67;62;61;63
28204;70;62;61;63
28254;76;62;61;63
28304;77;62;61;63
28356;77;62;61;63
28406;77;62;61;63
28456;77;62;61;63
28506;77;62;61;63
28556;77;62;61;63
28609;77;62;61;63
28662;77;62;61;63
28714;76;62;61;63
28763;70;62;61;63
28814;53;62;61;63
28864;38;62;61;63
28916;23;62;61;63
28968;23;62;61;63
29020;23;62;62;63
29072;23;62;61;63
29122;22;62;61;63
29172;22;62;61;63
29224;22;62;61;63
29274;21;62;61;63
29324;21;62;61;63
29374;21;62;61;63
29426;21;62;61;63
29476;16;62;61;63
29526;0;62;61;63
29576;0;62;61;63
29626;0;62;61;63
29676;0;62;61;63
29730;0;62;61;63
29780;0;62;61;63
29830;0;62;61;63
29880;0;62;61;63
29930;0;62;61;63
29980;0;62;61;63
30031;0;62;61;63
30082;0;62;61;63
30135;0;62;61;63
30186;0;62;61;63
30236;0;62;61;63
30286;0;62;61;63
30336;0;62;61;63
30386;0;62;61;63
30438;0;62;61;63
30488;1;62;61;63
30538;0;62;61;63
30588;0;62;61;63
30638;0;62;61;63
30689;0;62;61;63
30740;0;62;61;63
30790;0;62;61;63
30840;0;62;61;63
30890;0;62;61;63
30940;0;62;61;63
30996;0;62;61;63
31046;0;62;61;63
31096;0;62;61;63
31146;0;62;61;63
31196;0;62;61;63
31248;0;62;61;63
31298;0;62;61;63
31348;0;62;61;63
31399;0;62;61;63
31448;0;62;61;63
31498;0;62;61;63
31548;0;62;61;63
31600;0;62;61;63
31650;0;62;62;63
31700;0;62;61;63
31750;0;62;61;63
31803;0;62;61;63
31858;0;62;61;63
31908;0;62;61;63
31958;0;62;61;63
32008;0;62;62;63
