temps_ms;cx;cy;amplada;alcada
1586;;;;
1894;;;;
2026;357;428;139;99
2151;;;;
2274;358;429;141;97
2422;;;;
2594;;;;
2767;363;430;155;100
2910;;;;
3036;366;429;154;98
3157;363;428;149;97
3264;361;430;148;98
3369;362;429;146;99
3475;361;426;145;101
3576;361;430;147;98
3671;352;427;135;98
3860;357;430;138;97
3960;;;;
4058;;;;
4154;353;427;139;98
4258;349;427;131;98
4383;361;429;144;97
4496;;;;
4597;362;430;151;98
4703;328;428;83;96
4804;357;430;141;98
4908;359;429;144;97
5008;360;429;145;97
5100;360;430;145;97
5187;360;429;146;97
5293;359;428;142;101
5423;360;429;147;100
5522;361;429;147;97
5621;355;429;136;99
5728;359;429;144;99
5836;357;429;140;98
5931;357;429;143;97
6034;360;429;149;97
6132;359;426;143;101
6235;358;429;141;97
6330;350;431;120;98
6428;;;;
6525;;;;
6620;;;;
6712;;;;
6814;;;;
6945;;;;
7051;;;;
7168;;;;
7272;386;234;96;90
7378;354;430;130;96
7478;362;428;148;98
7578;364;430;152;99
7679;365;431;156;98
7779;367;429;156;97
7879;364;430;153;97
7983;354;430;132;95
8083;355;433;134;90
8182;356;432;138;91
8278;;;;
8379;359;432;145;94
8512;353;432;133;91
8617;284;270;69;167
8714;353;431;129;93
8819;353;430;131;95
8923;352;431;128;94
9022;350;432;127;93
9115;347;428;128;102
9210;347;425;136;107
9312;318;408;196;141
9414;344;425;132;108
9512;344;422;142;114
9610;349;430;123;97
9709;349;431;123;93
9807;;;;
9904;350;432;124;92
10026;351;430;124;93
10122;349;431;123;91
10218;352;433;128;90
10312;351;431;127;92
10410;349;431;121;91
10505;349;430;119;94
10606;350;431;122;92
10704;349;431;120;91
10802;349;431;121;92
10892;350;431;122;91
10989;350;432;122;90
11081;350;431;119;94
11179;350;432;119;94
11281;350;434;122;85
11379;352;430;128;93
11509;350;431;123;93
11608;351;433;126;88
11703;352;433;126;90
11792;351;431;125;91
11888;350;431;122;92
11983;277;431;167;89
12078;275;426;179;100
12182;319;431;57;90
12280;319;430;61;92
12378;321;429;59;92
12482;319;429;54;95
12573;320;431;52;92
12672;318;430;53;91
12770;319;429;52;92
12870;319;431;52;90
12993;319;432;53;90
13092;317;429;59;93
13190;318;432;54;86
13290;318;431;54;89
13393;316;431;55;89
13495;316;430;55;93
13590;315;430;57;94
13688;316;428;56;97
13784;314;428;51;102
13884;315;425;53;106
13981;316;422;60;116
14077;316;409;60;134
14174;326;388;78;158
14273;330;365;69;192
14369;339;320;73;167
14552;346;263;72;156
14652;376;201;94;148
14746;;;;
14843;406;134;88;108
14947;415;118;82;110
15044;423;113;83;110
15148;432;107;83;118
15245;438;111;81;116
15338;443;116;85;109
15443;438;125;73;113
15536;443;131;85;102
15625;438;138;87;106
15722;432;137;85;105
15821;425;137;84;106
15922;417;133;77;106
16054;410;131;80;98
16151;394;141;72;97
16248;385;158;68;93
16346;382;184;79;102
16447;372;203;63;88
16542;366;222;70;107
16640;366;223;61;107
16745;365;223;60;102
16844;362;202;57;81
16940;357;193;65;83
17036;355;174;58;81
17134;353;152;53;77
17224;353;135;54;72
17321;349;111;52;76
17420;344;84;55;85
17620;343;66;56;94
17722;343;43;51;73
17817;342;34;53;69
17912;344;31;53;62
18009;344;30;52;60
18104;344;28;51;56
18199;346;26;50;53
18292;348;28;48;56
18388;350;30;47;61
18485;350;35;47;65
18583;351;43;45;66
18681;351;45;49;77
18784;349;63;48;81
18882;349;83;46;65
18980;349;106;42;63
19111;348;136;42;61
19207;342;162;53;58
19311;344;189;42;45
19408;346;205;45;61
19507;342;231;39;49
19607;;;;
19702;339;252;34;55
19795;335;256;35;55
19892;334;262;36;53
19993;330;263;27;47
20096;327;264;29;50
20197;327;263;36;51
20296;325;256;28;53
20392;323;253;34;44
20496;;;;
20667;317;235;26;46
20770;317;217;32;54
20874;317;203;31;51
20970;;;;
21069;;;;
21161;320;173;41;52
21265;324;162;35;53
21365;328;149;28;43
21457;330;142;31;45
21558;335;137;35;43
21653;338;134;34;45
21752;341;132;34;45
21848;341;132;31;45
21951;343;135;32;46
22050;344;139;34;46
22201;345;143;34;47
22304;344;146;34;44
22407;340;151;29;42
22508;340;153;33;44
22612;338;153;31;43
22710;337;155;30;42
22810;334;154;29;40
22912;334;156;34;41
23001;;;;
23092;;;;
23190;328;177;37;51
23288;;;;
23384;;;;
23483;;;;
23589;;;;
23744;;;;
23843;;;;
23940;;;;
24036;;;;
24129;;;;
24222;;;;
24326;337;207;35;53
24428;337;209;38;39
24520;;;;
24619;;;;
24715;;;;
24813;;;;
24912;;;;
25013;323;168;32;44
25115;324;158;28;30
25290;322;152;23;31
25388;322;143;24;33
25485;323;141;31;34
25584;325;139;34;37
25681;326;141;29;33
25778;324;142;21;33
25875;;;;
25972;327;152;21;30
26064;;;;
26163;327;169;24;36
26260;;;;
26361;;;;
26458;;;;
26553;;;;
26649;;;;
26832;;;;
26932;;;;
27031;;;;
27125;;;;
27227;;;;
27323;;;;
27423;;;;
27519;;;;
27613;;;;
27711;;;;
27807;;;;
27909;;;;
28014;;;;
28115;291;258;58;109
28212;;;;
