temps_ms;cx;cy;amplada;alcada;ratio
329;;;;;0
523;;;;;0
627;;;;;0
725;;;;;0
821;;;;;0
916;;;;;0
1011;;;;;0
1102;;;;;0
1191;;;;;0
1276;;;;;0
1370;;;;;0
1461;;;;;0
1549;;;;;0
1642;;;;;0
1737;;;;;0
1821;;;;;0
1907;;;;;0
1999;;;;;0
2091;;;;;0
2181;289;371;38;44;2,477
2273;;;;;0
2363;;;;;0
2451;;;;;0
2545;;;;;0
2634;272;369;24;35;3,171
2721;;;;;0
2805;;;;;0
2909;250;351;20;29;4,448
3001;243;344;23;33;4,121
3091;238;338;34;36;3,944
3176;233;336;23;33;4,364
3263;228;328;30;36;4,222
3348;226;323;22;35;4,486
3440;221;317;23;35;4,657
3534;219;313;27;33;5,061
3625;216;308;26;36;4,778
3713;213;303;27;34;5,206
3799;213;296;28;37;4,973
3887;212;292;29;33;5,697
3974;213;286;30;35;5,543
4066;213;282;36;34;5,824
4158;215;277;36;37;5,486
4242;219;271;30;34;6,147
4337;221;269;34;35;6,029
4430;226;262;32;32;6,812
4517;230;258;37;35;6,343
4606;233;254;38;32;7,062
4698;239;250;39;33;6,970
4796;245;245;39;33;7,121
4889;251;241;40;31;7,710
4980;257;238;36;32;7,562
5075;266;230;36;32;7,812
5162;274;227;38;33;7,667
5246;280;225;39;34;7,500
5341;285;221;38;31;8,355
5434;298;217;32;33;7,970
5527;300;218;39;35;7,486
5611;305;219;40;34;7,676
5704;311;219;40;34;7,676
5802;315;225;43;36;7,083
5888;320;226;42;35;7,257
5976;323;230;43;34;7,353
6071;325;234;44;34;7,235
6162;325;239;42;34;7,088
6248;325;247;41;36;6,472
6338;324;250;41;33;6,970
6431;322;259;41;36;6,139
6525;322;269;40;38;5,553
6617;320;275;35;36;5,694
6707;316;283;39;35;5,629
6803;314;294;42;37;5,027
6894;309;305;35;36;4,861
6981;307;316;32;36;4,556
7070;305;323;31;39;4,026
7164;302;332;24;39;3,795
7251;299;353;29;65;1,954
7349;292;362;42;58;2,034
7436;287;367;31;50;2,260
7525;289;366;34;48;2,375
7606;;;;;0
7697;;;;;0
7784;285;386;25;48;1,958
7878;;;;;0
7969;281;389;26;47;1,936
8057;284;394;27;50;1,720
8143;282;394;30;52;1,654
8231;285;394;30;51;1,686
8320;285;392;29;50;1,760
8412;;;;;0
8510;286;391;36;50;1,780
8602;288;391;32;42;2,119
8698;;;;;0
8785;289;380;37;41;2,439
8870;;;;;0
8965;290;369;43;50;2,220
9055;288;369;40;44;2,523
9143;287;362;39;53;2,226
9233;288;361;37;67;1,776
9327;286;343;36;45;3,044
9419;287;333;36;44;3,341
9509;284;324;37;45;3,467
9601;280;313;41;45;3,711
9694;277;303;37;48;3,688
9783;272;292;44;47;4,000
9871;266;287;40;44;4,386
9959;261;274;39;47;4,383
10045;256;268;43;42;5,048
10132;249;259;44;44;5,023
10222;245;247;46;44;5,295
10306;237;240;47;49;4,898
10394;232;235;50;43;5,698
10477;227;230;47;47;5,319
10568;225;224;44;43;5,953
10660;217;222;46;44;5,864
10746;212;218;50;46;5,696
10832;209;215;51;45;5,889
10924;208;213;53;45;5,933
11008;207;215;51;46;5,761
11098;208;215;52;45;5,889
11192;209;216;55;47;5,617
11277;208;221;53;43;6,023
11371;212;223;54;43;5,977
11461;220;225;47;44;5,795
11547;225;232;50;46;5,391
11638;229;235;57;46;5,326
11738;234;240;57;49;4,898
11828;244;246;52;44;5,318
11913;254;251;56;47;4,872
12007;259;254;53;49;4,612
12107;267;259;54;47;4,702
12202;280;268;55;47;4,511
12296;286;270;56;48;4,375
12382;293;276;57;49;4,163
12476;300;280;58;47;4,255
12575;308;284;58;52;3,769
12667;312;291;64;51;3,706
12762;314;294;67;53;3,509
12856;321;295;60;53;3,491
12951;323;298;63;53;3,434
13046;325;304;62;55;3,200
13144;327;306;59;52;3,346
13239;329;306;53;54;3,222
13332;329;309;54;56;3,054
13422;328;310;56;54;3,148
13507;328;308;56;58;2,966
13597;329;308;55;56;3,071
13684;328;309;50;55;3,109
13776;328;305;46;55;3,182
13865;324;305;45;56;3,125
13956;324;300;42;61;2,951
14043;322;299;45;63;2,873
14136;318;296;45;57;3,228
14231;316;290;34;60;3,167
14323;310;285;33;58;3,362
14413;310;284;34;57;3,439
14508;306;280;28;61;3,279
14600;298;275;35;60;3,417
14692;292;272;28;59;3,525
14778;284;266;33;62;3,452
14873;279;264;36;62;3,484
14971;272;258;35;56;3,964
15061;268;253;29;58;3,914
15147;259;247;41;63;3,698
15240;255;244;33;65;3,631
15335;249;241;32;65;3,677
15425;242;237;33;71;3,423
15509;234;234;33;66;3,727
15598;231;229;32;72;3,486
15695;225;225;31;66;3,864
15780;220;224;33;74;3,459
15869;217;218;32;69;3,797
15964;212;213;36;69;3,870
16051;209;207;35;75;3,640
16134;209;202;36;77;3,610
16227;206;198;42;79;3,570
16316;205;195;39;74;3,851
16409;205;194;41;73;3,918
16507;205;190;41;81;3,580
16597;205;186;42;76;3,868
16678;204;181;47;83;3,602
16772;203;181;55;78;3,833
16864;205;175;55;76;4,013
16963;207;171;56;79;3,911
17048;206;166;55;78;4,026
17139;205;160;61;77;4,156
17229;201;154;68;82;3,976
17320;196;148;73;84;3,952
17416;192;143;73;88;3,830
17509;186;135;75;96;3,594
17595;177;133;73;94;3,691
17682;154;142;75;92;3,674
17777;152;148;72;82;4,049
17867;128;157;78;105;3,076
17960;112;187;66;127;2,307
18045;106;201;52;140;1,993
18139;;;;;0
18235;;;;;0
18324;;;;;0
18409;;;;;0
18500;;;;;0
18591;;;;;0
18675;;;;;0
18769;;;;;0
18861;208;377;101;166;0,620
18953;262;392;110;171;0,515
19044;331;408;134;139;0,518
19141;349;460;39;35;0,571
19236;;;;;0
19330;456;455;38;43;0,581
19420;;;;;0
19509;;;;;0
19602;;;;;0
19697;;;;;0
19785;;;;;0
19869;113;306;66;180;0,967
19965;111;303;62;177;1,000
20060;111;305;65;183;0,956
20147;;;;;0
20236;;;;;0
20326;;;;;0
20413;;;;;0
20507;;;;;0
20598;457;453;47;46;0,587
20687;460;453;49;48;0,562
20774;490;406;136;142;0,521
20872;;;;;0
