temps_ms;cx;cy;amplada;alcada;ratio
340;;;;;0
537;;;;;0
635;;;;;0
735;;;;;0
837;334;367;25;34;3,324
934;334;367;20;35;3,229
1028;334;367;23;35;3,229
1119;334;367;23;39;2,897
1213;334;368;25;39;2,872
1310;335;368;26;40;2,800
1401;334;367;22;37;3,054
1486;332;366;21;37;3,081
1580;334;366;22;33;3,455
1674;335;366;22;34;3,353
1755;333;366;27;37;3,081
1845;333;366;27;37;3,081
1939;334;365;27;35;3,286
2022;334;366;28;35;3,257
2117;332;367;34;40;2,825
2206;;;;;0
2293;;;;;0
2385;;;;;0
2478;;;;;0
2569;;;;;0
2656;;;;;0
2748;;;;;0
2843;288;323;17;34;4,618
2935;;;;;0
3019;;;;;0
3112;;;;;0
3205;274;287;18;29;6,655
3294;;;;;0
3385;269;272;23;33;6,303
3481;268;265;23;30;7,167
3573;267;260;20;31;7,097
3658;265;253;24;32;7,094
3749;265;251;23;31;7,387
3836;265;248;23;31;7,484
3918;265;247;19;30;7,767
4008;267;244;26;30;7,867
4093;269;246;26;28;8,357
4188;270;248;25;28;8,286
4277;272;250;31;32;7,188
4374;274;252;32;32;7,125
4467;275;259;33;31;7,129
4553;276;262;34;32;6,812
4641;277;271;33;32;6,531
4731;283;279;33;33;6,091
4818;;;;;0
4910;286;293;40;33;5,667
5009;;;;;0
5097;;;;;0
5188;;;;;0
5280;;;;;0
5383;298;335;34;34;4,265
5472;305;339;25;33;4,273
5558;;;;;0
5647;301;358;30;54;2,259
5740;305;366;39;59;1,932
5830;;;;;0
5920;;;;;0
6011;;;;;0
6109;;;;;0
6198;;;;;0
6293;331;358;23;40;3,050
6386;332;354;25;47;2,681
6485;333;343;21;35;3,914
6585;334;338;29;37;3,838
6682;339;324;33;35;4,457
6780;342;315;32;35;4,714
6873;349;304;30;34;5,176
6964;352;294;34;34;5,471
7064;354;286;30;33;5,879
7165;360;278;32;33;6,121
7273;362;270;32;34;6,176
7371;366;257;29;41;5,439
7467;372;245;30;39;6,026
7563;374;240;23;33;7,273
7663;377;228;28;43;5,860
7760;376;222;31;43;6,000
7862;378;214;30;45;5,911
7956;378;204;33;46;6,000
8058;378;201;28;44;6,341
8152;375;193;30;45;6,378
8249;373;188;28;43;6,791
8345;370;184;27;40;7,400
8432;366;181;25;44;6,795
8521;363;176;28;40;7,600
8615;360;172;28;43;7,163
8716;353;172;30;44;7,000
8809;348;170;32;43;7,209
8910;344;171;30;46;6,717
9009;338;171;33;43;7,186
9102;334;173;32;43;7,140
9188;329;177;27;45;6,733
9280;325;179;25;42;7,167
9372;321;184;27;46;6,435
9460;318;190;26;44;6,591
9553;317;193;29;43;6,674
9646;312;198;26;43;6,558
9746;309;205;30;43;6,395
9847;308;213;28;42;6,357
9941;307;221;30;41;6,317
10031;306;227;31;42;6,024
10126;306;234;29;43;5,721
10227;306;239;31;40;6,025
10318;307;248;29;42;5,524
10416;309;255;28;43;5,233
10510;309;259;31;43;5,140
10604;312;267;28;42;5,071
10686;313;270;31;41;5,122
10782;313;277;35;44;4,614
10877;316;280;29;44;4,545
10974;317;284;27;47;4,170
11060;319;289;32;44;4,341
11153;317;289;33;44;4,341
11245;317;291;32;44;4,295
11347;315;291;32;44;4,295
11443;309;291;31;46;4,109
11535;307;291;31;46;4,109
11622;301;289;27;47;4,064
11719;295;287;26;50;3,860
11813;286;285;26;50;3,900
11904;276;282;25;50;3,960
11993;268;281;25;48;4,146
12086;257;278;27;50;4,040
12182;244;274;32;56;3,679
12274;232;271;30;53;3,943
12363;223;269;28;50;4,220
12456;209;266;29;49;4,367
12552;198;261;30;53;4,132
12643;186;259;35;56;3,946
12738;177;256;35;53;4,226
12824;173;254;36;57;3,965
12915;167;251;37;54;4,241
13009;166;245;33;49;4,796
13098;163;244;42;50;4,720
13183;162;238;45;51;4,745
13277;165;236;46;47;5,191
13373;169;233;48;51;4,843
13457;174;230;48;54;4,630
13546;180;229;47;52;4,827
13631;187;226;53;51;4,980
13724;196;224;53;48;5,333
13817;201;221;57;54;4,796
13912;212;215;53;47;5,638
14006;221;212;55;46;5,826
14092;235;206;60;51;5,373
14183;247;203;44;49;5,653
14278;248;200;66;51;5,490
14370;258;196;69;54;5,259
14460;269;193;69;54;5,315
14555;276;190;72;61;4,754
14648;285;187;76;55;5,327
14737;291;183;73;55;5,400
14829;298;181;76;52;5,750
14924;304;180;77;54;5,556
15024;307;177;82;55;5,509
15115;315;174;82;55;5,564
15208;318;173;79;55;5,582
15292;320;173;77;56;5,482
15385;325;172;75;53;5,811
15477;326;170;73;57;5,439
15570;328;172;76;55;5,600
15652;329;171;76;55;5,618
15748;330;174;75;58;5,276
15842;331;178;74;62;4,871
15930;332;178;69;61;4,951
16023;332;182;69;59;5,051
16118;331;186;68;61;4,820
16208;331;190;64;62;4,677
16295;334;194;61;58;4,931
16395;336;196;56;60;4,733
16489;336;201;57;64;4,359
16579;337;205;56;64;4,297
16673;335;212;57;67;4,000
16760;336;215;52;68;3,897
16854;336;217;48;71;3,704
16952;336;223;45;71;3,620
17048;334;226;45;73;3,479
17142;332;226;44;72;3,528
17238;326;229;46;71;3,535
17326;321;227;45;72;3,514
17420;316;227;46;73;3,466
17512;311;227;46;78;3,244
17606;303;220;43;83;3,133
17694;293;217;43;96;2,740
17789;289;212;50;108;2,481
17881;279;214;45;100;2,660
17976;269;211;46;91;2,956
18069;258;205;46;93;2,957
18160;245;197;52;98;2,888
18256;238;193;55;98;2,929
18350;229;178;56;104;2,904
18443;218;168;53;96;3,250
18540;205;152;63;96;3,417
18635;192;139;72;112;3,045
18720;185;128;80;111;3,171
18817;177;116;76;119;3,059
18922;172;98;80;115;3,322
19019;166;81;84;114;3,500
19114;161;70;97;139;2,950
19206;155;62;108;118;3,542
19296;151;70;113;126;3,254
19390;145;73;118;143;2,846
19491;139;81;121;158;2,525
19583;141;88;124;158;2,481
19680;137;108;117;158;2,354
19767;130;129;100;167;2,102
19856;118;151;77;208;1,582
19948;;;;;0
20043;;;;;0
20142;;;;;0
20230;;;;;0
20325;;;;;0
20412;;;;;0
20505;;;;;0
20594;;;;;0
20687;;;;;0
20776;;;;;0
20865;;;;;0
20956;;;;;0
21051;;;;;0
21143;;;;;0
21236;;;;;0
21329;;;;;0
21422;;;;;0
21516;;;;;0
21611;;;;;0
21705;;;;;0
21796;;;;;0
21887;;;;;0
21978;;;;;0
22073;;;;;0
22160;;;;;0
22253;;;;;0
22349;;;;;0
22443;;;;;0
22539;;;;;0
22628;;;;;0
22721;;;;;0
22815;;;;;0
22915;;;;;0
23017;;;;;0
23121;;;;;0
23217;;;;;0
23313;;;;;0
23407;;;;;0
23496;;;;;0
23591;;;;;0
23683;;;;;0
23777;;;;;0
23869;;;;;0
23958;;;;;0
