temps_ms;throttle;yaw;pitch;trim;estat
62;21;64;64;63;0
103;22;64;64;63;0
194;25;64;64;63;0
234;26;64;64;63;0
274;27;64;64;63;0
318;28;64;64;63;0
378;29;64;64;63;0
420;31;64;64;63;0
463;32;64;64;63;0
504;33;64;64;63;0
548;34;64;64;63;0
598;35;64;64;63;0
648;37;64;64;63;0
696;38;64;64;63;0
742;39;64;64;63;0
788;40;64;64;63;0
829;41;64;64;63;0
874;43;64;64;63;0
917;44;64;64;63;0
959;45;64;64;63;0
1003;46;64;64;63;0
1047;47;64;64;63;0
1091;48;64;64;63;0
1133;49;64;64;63;0
1176;51;64;64;63;0
1217;52;64;64;63;0
1257;53;64;64;63;0
1298;54;64;64;63;0
1338;55;64;64;63;0
1381;56;64;64;63;0
1424;57;64;64;63;0
1469;58;64;64;63;0
1513;59;64;64;63;0
1559;61;64;64;63;0
1604;62;64;64;63;0
1647;63;64;64;63;0
1690;64;64;64;63;0
1733;65;64;64;63;0
1773;66;64;64;63;0
1813;67;64;64;63;0
1856;68;64;64;63;0
1899;70;64;64;63;0
1944;71;64;64;63;0
1988;72;64;64;63;0
2031;73;64;64;63;0
2075;74;64;64;63;0
2123;76;64;64;63;0
2165;77;64;64;63;0
2205;78;64;64;63;0
2247;78;64;64;63;0
2291;78;64;64;63;0
2335;78;64;64;63;0
2378;78;64;64;63;0
2419;78;64;64;63;0
2462;78;64;64;63;0
2507;78;64;64;63;0
2551;78;64;64;63;0
2596;78;64;64;63;0
2641;78;64;64;63;0
2685;78;64;64;63;0
2726;78;64;64;63;0
2770;78;64;64;63;0
2813;78;64;64;63;0
2857;78;64;64;63;0
2899;78;64;64;63;0
2944;78;64;64;63;0
2987;78;64;64;63;0
3031;78;64;64;63;0
3075;78;64;64;63;0
3118;78;64;64;63;0
3164;78;64;64;63;0
3209;78;64;64;63;0
3252;78;64;64;63;0
3297;78;64;64;63;0
3340;78;64;64;63;0
3386;78;64;64;63;0
3429;78;64;64;63;0
3474;78;64;64;63;0
3520;78;64;64;63;0
3565;78;64;64;63;0
3609;78;64;64;63;0
3652;78;64;64;63;0
3694;78;64;64;63;0
3735;78;64;64;63;0
3778;78;64;64;63;0
3822;78;64;64;63;0
3863;78;64;64;63;0
3907;78;64;64;63;0
3948;78;64;64;63;0
3992;78;64;64;63;0
4036;78;64;64;63;0
4079;78;64;64;63;0
4124;78;64;64;63;0
4168;78;64;64;63;0
4212;78;64;64;63;0
4256;78;64;64;63;0
4336;78;64;64;63;1
4379;74;64;64;63;1
4424;74;64;64;63;1
4465;74;64;64;63;1
4507;74;64;64;63;1
4552;73;64;64;63;1
4596;73;64;64;63;1
4638;74;64;64;63;1
4682;74;64;64;63;1
4729;72;84;64;63;1
4774;72;84;64;63;1
4819;72;84;64;63;1
4863;72;84;64;63;1
4906;72;64;64;63;1
4951;72;64;64;63;1
4995;70;64;64;63;1
5038;70;64;64;63;1
5083;71;64;64;63;1
5125;71;64;64;63;1
5167;68;64;64;63;1
5209;68;64;64;63;1
5250;68;84;64;63;1
5294;70;84;64;63;1
5341;69;84;64;63;1
5385;69;84;64;63;1
5426;70;64;64;63;1
5472;70;64;64;63;1
5517;71;64;64;63;1
5562;71;64;64;63;1
5604;67;64;64;63;1
5648;67;64;64;63;1
5691;68;64;64;63;1
5765;68;84;64;63;1
5809;69;84;64;63;1
5850;69;84;64;63;1
5894;69;84;64;63;1
5935;69;64;64;63;1
5978;69;64;64;63;1
6022;69;64;64;63;1
6062;69;64;64;63;1
6105;69;64;64;63;1
6149;67;64;64;63;1
6194;67;64;64;63;1
6239;69;64;64;63;1
6286;69;84;64;63;1
6332;68;84;64;63;1
6377;68;84;64;63;1
6424;69;84;64;63;1
6469;69;64;64;63;1
6517;69;64;64;63;1
6558;69;64;64;63;1
6604;68;64;64;63;1
6644;68;64;64;63;1
6685;70;64;64;63;1
6730;70;64;64;63;1
6808;70;84;64;63;1
6849;69;84;64;63;1
6894;69;84;64;63;1
6936;71;84;64;63;1
6981;71;64;64;63;1
7026;71;64;64;63;1
7069;71;64;64;63;1
7112;71;64;64;63;1
7157;71;64;64;63;1
7198;71;64;64;63;1
7243;71;64;64;63;1
7315;71;84;64;63;1
7360;73;64;64;63;1
7405;73;64;64;63;1
7447;73;64;64;63;1
7490;73;64;64;63;1
7533;73;64;64;63;1
7578;73;64;64;63;1
7618;73;64;64;63;1
7689;73;84;64;63;1
7731;73;64;64;63;1
7774;73;64;64;63;1
7814;74;64;64;63;1
7856;74;64;64;63;1
7898;75;64;64;63;1
7942;75;64;64;63;1
7986;75;64;64;63;1
8082;75;84;64;63;1
8128;75;64;64;63;1
8169;75;64;64;63;1
8216;75;64;64;63;1
8261;74;64;64;63;1
8307;74;64;64;63;1
8353;75;64;64;63;1
8480;75;84;64;63;1
8521;75;64;64;63;1
8566;75;64;64;63;1
8609;76;64;64;63;1
8653;76;64;64;63;1
8694;75;64;64;63;1
8737;75;64;64;63;1
8779;75;64;64;63;1
8856;76;44;64;63;1
8899;76;44;64;63;1
8943;76;44;64;63;1
8983;76;44;64;63;1
9027;76;64;64;63;1
9072;76;64;64;63;1
9118;76;64;64;63;1
9161;76;64;64;63;1
9203;76;64;64;63;1
9249;77;64;64;63;1
9291;77;64;64;63;1
9375;77;44;64;63;1
9416;76;44;64;63;1
9461;76;44;64;63;1
9507;76;64;64;63;1
9549;76;64;64;63;1
9591;76;64;64;63;1
9633;77;64;64;63;1
9673;77;64;64;63;1
9715;76;64;64;63;1
9759;76;64;64;63;1
9803;77;64;64;63;1
9895;77;44;64;63;1
9936;76;44;64;63;1
9983;76;44;64;63;1
10027;76;64;64;63;1
10074;75;64;64;63;1
10119;75;64;64;63;1
10163;75;64;64;63;1
10204;75;64;64;63;1
10248;75;64;64;63;1
10291;75;64;64;63;1
10349;75;44;64;63;1
10392;75;44;64;63;1
10434;75;44;64;63;1
10476;75;44;64;63;1
10520;75;44;64;63;1
10564;75;64;64;63;1
10605;74;64;64;63;1
10645;74;64;64;63;1
10687;75;64;64;63;1
10733;75;64;64;63;1
10773;75;64;64;63;1
10817;75;64;64;63;1
10873;75;44;64;63;1
10914;76;44;64;63;1
10957;76;64;64;63;1
11001;76;64;64;63;1
11044;76;64;64;63;1
11088;76;64;64;63;1
11128;76;64;64;63;1
11173;76;64;64;63;1
11268;77;64;64;63;2
11310;68;64;64;63;2
11353;68;64;64;63;2
11409;67;84;64;63;2
11454;67;84;64;63;2
11498;67;84;64;63;2
11540;66;84;64;63;2
11581;66;64;64;63;2
11625;66;64;64;63;2
11667;65;64;64;63;2
11709;65;64;64;63;2
11754;65;64;64;63;2
11799;64;64;64;63;2
11842;64;64;64;63;2
11885;64;64;64;63;2
11929;64;84;64;63;2
11974;64;84;64;63;2
12016;64;84;64;63;2
12058;64;84;64;63;2
12102;64;64;64;63;2
12146;64;64;64;63;2
12189;64;64;64;63;2
12233;64;64;64;63;2
12277;64;64;64;63;2
12324;64;64;64;63;2
12366;64;64;64;63;2
12433;64;84;64;63;2
12473;64;84;64;63;2
12518;64;84;64;63;2
12560;64;84;64;63;2
12602;77;84;64;63;3
12645;77;64;64;63;3
12687;77;64;64;63;3
12730;77;64;64;63;3
12774;77;64;64;63;3
12816;77;64;64;63;3
12858;77;64;64;63;3
12900;77;64;64;63;3
12982;77;84;64;63;3
13022;77;84;64;63;3
13065;77;84;64;63;3
13109;77;84;64;63;3
13165;77;64;64;63;4
13209;0;64;64;63;4
13257;0;64;64;63;4
13301;0;64;64;63;4
13344;0;64;64;63;4
13389;0;64;64;63;4
13454;0;64;64;63;4
13498;0;64;64;63;4
13542;0;64;64;63;4
13585;0;64;64;63;4
13629;0;64;64;63;4
13671;0;64;64;63;4
13716;0;64;64;63;4
13760;0;64;64;63;4
13803;0;64;64;63;4
13846;0;64;64;63;4
13892;0;64;64;63;4
13961;0;64;64;63;4
14004;0;64;64;63;4
14047;0;64;64;63;4
14090;0;64;64;63;4
14131;0;64;64;63;4
14174;0;64;64;63;4
14215;0;64;64;63;4
14259;0;64;64;63;4
14360;0;64;64;63;4
14406;0;64;64;63;4
14446;0;64;64;63;4
14493;0;64;64;63;4
14538;0;64;64;63;4
14581;0;64;64;63;4
14625;0;64;64;63;4
14666;0;64;64;63;4
14738;0;64;64;63;4
14780;0;64;64;63;4
14824;0;64;64;63;4
14867;0;64;64;63;4
14908;0;64;64;63;4
14952;0;64;64;63;4
14993;0;64;64;63;4
15034;0;64;64;63;4
15133;0;64;64;63;4
15175;0;64;64;63;4
15222;0;64;64;63;4
15266;0;64;64;63;4
15310;0;64;64;63;4
15353;0;64;64;63;4
15398;0;64;64;63;4
15439;0;64;64;63;4
15525;0;64;64;63;4
15568;0;64;64;63;4
15611;0;64;64;63;4
15652;0;64;64;63;4
15693;0;64;64;63;4
15736;0;64;64;63;4
15781;0;64;64;63;4
15823;0;64;64;63;4
15904;0;64;64;63;4
15945;0;64;64;63;4
15990;0;64;64;63;4
16033;0;64;64;63;4
16079;0;64;64;63;4
16124;0;64;64;63;4
16167;0;64;64;63;4
16209;0;64;64;63;4
16296;0;64;64;63;4
16341;0;64;64;63;4
16385;0;64;64;63;4
16425;0;64;64;63;4
16469;0;64;64;63;4
16513;0;64;64;63;4
16553;0;64;64;63;4
16594;0;64;64;63;4
16678;0;64;64;63;4
16720;0;64;64;63;4
16761;0;64;64;63;4
16806;0;64;64;63;4
16849;0;64;64;63;4
16890;0;64;64;63;4
16934;0;64;64;63;4
16975;0;64;64;63;4
17076;0;64;64;63;4
