temps_ms;cx;cy;amplada;alcada;ratio
242;;;;;0
473;;;;;0
607;;;;;0
727;;;;;0
851;;;;;0
967;;;;;0
1077;;;;;0
1187;;;;;0
1284;;;;;0
1375;;;;;0
1472;;;;;0
1555;;;;;0
1649;;;;;0
1742;;;;;0
1836;;;;;0
1917;;;;;0
2009;;;;;0
2100;;;;;0
2185;;;;;0
2272;;;;;0
2354;;;;;0
2446;;;;;0
2535;311;467;33;19;0,684
2623;318;464;31;26;0,615
2715;319;459;31;37;0,568
2807;320;456;32;40;0,600
2891;323;447;32;40;0,825
2983;325;439;27;40;1,025
3070;326;430;30;40;1,250
3155;325;424;30;39;1,436
3247;327;420;28;39;1,538
3340;327;411;28;44;1,568
3432;329;402;26;42;1,857
3520;328;393;21;38;2,289
3616;326;387;23;40;2,325
3710;322;379;27;39;2,590
3802;318;371;28;39;2,795
3887;314;365;25;44;2,614
3978;313;359;23;44;2,750
4069;310;346;22;43;3,116
4158;302;338;23;41;3,463
4250;297;329;24;38;3,974
4341;292;321;24;44;3,614
4431;286;314;27;38;4,368
4515;281;303;25;39;4,538
4612;277;296;25;39;4,718
4702;272;287;25;39;4,949
4786;270;277;22;42;4,833
4873;267;271;24;38;5,500
4953;264;260;23;40;5,500
5046;260;249;24;43;5,372
5135;258;245;23;40;5,875
5219;256;235;27;43;5,698
5310;255;231;27;38;6,553
5401;255;223;30;42;6,119
5482;254;216;32;41;6,439
5574;254;212;29;45;5,956
5662;253;206;29;48;5,708
5752;252;201;29;40;6,975
5843;250;197;31;43;6,581
5932;251;195;32;46;6,196
6019;248;192;27;46;6,261
6110;248;189;28;46;6,326
6202;245;185;30;46;6,413
6285;242;183;34;43;6,907
6379;238;181;36;47;6,362
6474;235;181;35;44;6,795
6569;233;182;36;46;6,478
6654;229;183;39;48;6,188
6747;222;184;45;45;6,578
6843;222;183;48;49;6,061
6933;217;186;48;49;6,000
7014;214;189;48;47;6,191
7106;212;193;50;50;5,740
7191;210;194;49;51;5,608
7288;209;198;54;51;5,529
7382;207;202;58;50;5,560
7471;206;208;59;53;5,132
7560;209;213;58;52;5,135
7673;210;217;57;52;5,058
7776;211;220;61;51;5,098
7871;218;226;59;50;5,080
7971;223;231;60;53;4,698
8071;227;234;64;56;4,393
8162;237;237;68;58;4,190
8249;243;240;65;55;4,364
8338;250;240;71;56;4,286
8424;254;240;67;53;4,528
8519;261;241;70;56;4,268
8609;268;243;72;59;4,017
8693;273;241;74;57;4,193
8781;279;243;76;60;3,950
8871;286;239;75;56;4,304
8964;293;237;75;60;4,050
9052;298;237;76;59;4,119
9142;306;235;78;61;4,016
9236;308;234;77;63;3,905
9324;316;232;76;63;3,937
9422;322;231;71;65;3,831
9510;327;227;70;65;3,892
9597;330;224;71;65;3,938
9689;336;222;74;64;4,031
9781;340;222;77;68;3,794
9870;345;217;67;64;4,109
9957;350;213;62;70;3,814
10044;353;208;60;68;4,000
10134;356;204;63;68;4,059
10217;357;199;63;65;4,323
10304;360;192;62;65;4,431
10392;364;186;53;70;4,200
10487;366;182;50;71;4,197
10577;364;174;49;73;4,192
10666;361;169;49;72;4,319
10754;359;160;51;70;4,571
10846;355;155;49;77;4,221
10936;350;148;39;76;4,368
11024;341;144;37;83;4,048
11112;328;136;38;84;4,095
11206;320;133;39;87;3,989
11290;303;126;41;89;3,978
11383;286;122;42;98;3,653
11469;273;121;40;86;4,174
11553;254;117;45;90;4,033
11647;244;116;50;96;3,792
11741;218;111;50;103;3,583
11834;202;110;59;100;3,700
11920;182;112;49;102;3,608
12013;172;116;44;94;3,872
12104;156;123;52;94;3,798
12192;140;133;47;92;3,772
12284;128;150;52;82;4,024
12378;118;166;47;86;3,651
12473;110;179;48;82;3,671
12557;105;201;46;88;3,170
12648;103;230;46;85;2,941
12740;102;261;44;89;2,461
12824;102;285;45;88;2,216
12918;102;318;39;83;1,952
13008;103;344;43;87;1,563
13103;108;391;52;93;0,957
13191;109;431;55;92;0,533
13288;115;427;68;102;0,520
13381;;;;;0
13475;;;;;0
13567;149;446;47;64;0,531
13653;160;434;63;86;0,535
13747;172;430;62;96;0,521
13838;178;436;90;82;0,537
13924;193;438;82;77;0,545
14020;205;441;64;74;0,527
14116;202;439;55;73;0,562
14205;202;439;68;74;0,554
14287;207;438;57;75;0,560
14380;205;438;61;75;0,560
14471;206;438;62;77;0,545
14550;205;440;62;71;0,563
14644;203;441;65;72;0,542
14735;205;439;67;76;0,539
14823;203;441;63;69;0,565
14913;209;437;74;77;0,558
14998;206;440;68;71;0,563
15084;209;438;79;77;0,545
15173;206;440;68;76;0,526
15260;204;439;66;73;0,562
15347;207;438;75;81;0,519
15438;205;437;65;78;0,551
15517;205;438;67;78;0,538
15612;206;438;68;75;0,560
15692;205;438;67;76;0,553
15776;205;438;66;76;0,553
15867;204;437;67;77;0,558
15952;205;437;69;79;0,544
16043;205;438;70;76;0,553
16134;204;438;69;78;0,538
16214;205;437;66;77;0,558
16302;204;437;69;76;0,566
16390;205;438;68;76;0,553
16472;205;438;68;75;0,560
16556;205;437;68;78;0,551
16648;204;437;67;77;0,558
16736;204;437;67;77;0,558
16821;204;437;69;77;0,558
16910;204;438;65;76;0,553
17003;205;438;74;78;0,538
17083;205;438;68;76;0,553
17177;205;438;68;76;0,553
17264;204;438;71;79;0,532
