temps_ms;cx;cy;amplada;alcada;ratio
242;;;;;0
430;;;;;0
552;;;;;0
655;;;;;0
745;;;;;0
844;;;;;0
934;;;;;0
1020;;;;;0
1115;;;;;0
1204;;;;;0
1290;;;;;0
1383;;;;;0
1477;;;;;0
1563;;;;;0
1653;;;;;0
1736;;;;;0
1820;;;;;0
1914;;;;;0
2002;;;;;0
2088;;;;;0
2176;;;;;0
2272;;;;;0
2364;318;346;28;46;2,913
2486;;;;;0
2603;143;259;82;89;2,483
2696;319;305;17;33;5,303
2793;;;;;0
2888;318;281;16;30;6,633
2985;317;266;18;31;6,903
3082;316;251;17;29;7,897
3190;312;239;16;29;8,310
3292;311;228;17;29;8,690
3391;;;;;0
3487;306;200;16;35;8,000
3585;;;;;0
3686;;;;;0
3780;;;;;0
3872;289;164;17;33;9,576
3977;286;158;17;36;8,944
4089;281;152;17;35;9,371
4187;274;150;17;36;9,167
4286;266;150;17;33;10,000
4384;260;147;19;35;9,514
4492;254;150;18;34;9,706
4585;249;149;20;37;8,946
4685;242;151;17;37;8,892
4787;239;152;20;37;8,865
4888;233;157;18;35;9,229
4979;229;163;22;41;7,732
5075;225;171;24;38;8,132
5169;222;177;21;37;8,189
5270;222;182;22;39;7,641
5373;220;193;18;39;7,359
5469;216;207;27;38;7,184
5563;216;215;26;36;7,361
5660;217;223;27;37;6,946
5754;218;235;31;42;5,833
5848;220;244;28;37;6,378
5941;220;251;30;36;6,361
6026;222;259;30;39;5,667
6126;227;272;35;42;4,952
6229;229;278;32;41;4,927
6330;232;286;34;41;4,732
6436;234;293;38;42;4,452
6543;234;300;41;43;4,186
6636;237;308;43;41;4,195
6736;239;312;41;41;4,098
6827;243;313;39;45;3,711
6917;244;316;39;44;3,727
7009;245;315;44;41;4,024
7103;245;316;46;44;3,727
7198;248;316;44;44;3,727
7293;251;315;46;45;3,667
7385;252;313;47;40;4,175
7474;257;310;42;41;4,146
7565;260;305;41;43;4,070
7659;268;305;30;38;4,605
7753;266;299;44;39;4,641
7847;269;298;41;36;5,056
7938;277;294;52;37;5,027
8030;;;;;0
8121;287;284;49;34;5,765
8215;300;280;38;37;5,405
8307;303;277;48;42;4,833
8396;314;271;44;39;5,359
8488;317;269;46;37;5,703
8583;327;263;46;37;5,865
8678;333;259;47;38;5,816
8764;341;255;44;39;5,769
8845;349;251;46;36;6,361
8939;357;247;43;39;5,974
9029;362;243;38;40;5,925
9119;366;238;40;42;5,762
9217;368;235;43;43;5,698
9314;373;229;42;42;5,976
9408;376;227;39;42;6,024
9494;379;223;40;42;6,119
9589;380;220;36;43;6,047
9684;379;215;38;43;6,163
9771;376;214;37;42;6,333
9859;373;212;35;43;6,233
