temps_ms;cx;cy;amplada;alcada;ratio
267;;;;;0
507;;;;;0
632;;;;;0
744;;;;;0
867;;;;;0
964;;;;;0
1051;;;;;0
1143;;;;;0
1232;;;;;0
1319;;;;;0
1409;;;;;0
1498;;;;;0
1580;;;;;0
1675;123;420;87;119;0,504
1765;;;;;0
1848;;;;;0
1986;;;;;0
2085;;;;;0
2182;;;;;0
2277;;;;;0
2369;;;;;0
2457;;;;;0
2548;;;;;0
2641;328;457;50;39;0,590
2730;323;450;64;54;0,556
2815;322;443;59;60;0,617
2929;316;432;79;72;0,667
3022;334;410;45;52;1,346
3115;331;387;43;54;1,722
3208;319;377;71;56;1,839
3300;336;350;42;52;2,500
3474;319;322;82;62;2,548
3563;329;284;58;57;3,439
3653;324;261;86;58;3,776
3751;325;235;87;63;3,889
3843;330;213;84;62;4,306
3929;336;192;84;62;4,645
4019;342;170;82;70;4,429
4115;350;143;82;78;4,321
4207;362;115;80;67;5,448
4293;367;99;80;74;5,149
4377;381;76;85;77;5,247
4479;390;54;85;78;5,462
4572;398;38;85;74;5,973
4660;414;30;82;61;7,377
4742;424;24;78;48;9,500
4911;;;;;0
5005;;;;;0
5097;;;;;0
5184;;;;;0
5275;;;;;0
5373;;;;;0
5463;;;;;0
5554;;;;;0
5644;545;25;33;50;9,100
5736;;;;;0
5818;;;;;0
5912;;;;;0
5997;;;;;0
6080;;;;;0
6175;;;;;0
6292;;;;;0
6380;;;;;0
6473;513;394;99;154;0,558
6567;536;446;49;63;0,540
6661;534;445;48;59;0,593
6750;124;416;88;126;0,508
6841;514;445;88;63;0,556
6933;497;443;105;66;0,561
7018;487;425;113;101;0,545
7108;474;393;122;131;0,664
7204;460;378;103;120;0,850
7289;459;350;165;122;1,066
7385;394;317;101;111;1,468
7476;367;297;99;113;1,619
7571;320;287;112;120;1,608
7686;256;324;118;122;1,279
7785;240;423;196;114;0,500
7881;168;424;170;104;0,538
7980;;;;;0
8072;;;;;0
8166;226;427;142;99;0,535
8257;;;;;0
8352;228;428;140;93;0,559
8444;228;436;141;81;0,543
8534;;;;;0
8621;;;;;0
8720;;;;;0
8815;227;428;139;96;0,542
8908;225;429;134;94;0,543
9000;226;426;140;101;0,535
9121;;;;;0
9216;226;425;139;99;0,556
9317;226;420;130;108;0,556
9409;226;412;135;126;0,540
9496;227;418;136;112;0,554
