temps_ms;throttle;yaw;pitch;trim;estat;active_cam
69;36;64;63;65;0;0
110;37;64;63;65;0;0
152;37;64;63;65;0;0
194;38;64;63;65;0;0
236;39;64;63;65;0;0
292;40;64;63;65;0;0
336;41;64;63;65;0;0
380;41;64;63;65;0;0
424;42;64;63;65;0;0
472;43;64;63;65;0;0
519;44;64;63;65;0;0
563;45;64;63;65;0;0
606;45;64;63;65;0;0
651;46;64;63;65;0;0
691;47;64;63;65;0;0
740;48;64;63;65;0;0
780;49;64;63;65;0;0
825;49;64;63;65;0;0
872;50;64;63;65;0;0
913;51;64;63;65;0;0
954;52;64;63;65;0;0
995;52;64;63;65;0;0
1046;53;64;63;65;0;0
1090;54;64;63;65;0;0
1131;55;64;63;65;0;0
1173;56;64;63;65;0;0
1217;56;64;63;65;0;0
1257;57;64;63;65;0;0
1298;58;64;63;65;0;0
1344;59;64;63;65;0;0
1387;59;64;63;65;0;0
1432;60;64;63;65;0;0
1478;61;64;63;65;0;0
1576;62;64;63;65;1;0
1616;75;64;63;65;1;0
1659;75;64;63;65;1;0
1702;75;64;63;65;1;0
1748;75;64;63;65;1;0
1788;75;64;63;65;1;0
1830;75;64;63;65;1;0
1871;75;64;63;65;1;0
1912;75;64;63;65;1;0
1957;75;64;63;65;1;0
1999;75;64;63;65;1;0
2039;75;64;63;65;1;0
2082;75;64;63;65;1;0
2125;75;84;63;65;1;0
2167;75;84;63;65;1;0
2208;74;84;63;65;1;0
2249;74;84;63;65;1;0
2294;74;84;63;65;1;0
2337;74;64;63;65;1;0
2379;73;64;63;65;1;0
2420;73;64;63;65;1;0
2462;73;64;63;65;1;0
2504;72;64;63;65;1;0
2549;72;64;63;65;1;0
2590;70;64;63;65;1;0
2636;70;84;63;65;1;0
2682;70;84;63;65;1;0
2724;70;84;63;65;1;0
2765;67;84;63;65;1;0
2811;67;84;63;65;1;0
2852;67;64;63;65;1;0
2895;67;64;63;65;1;0
2936;67;64;63;65;1;0
2976;67;64;63;65;1;0
3018;67;64;63;65;1;0
3061;67;64;63;65;1;0
3101;67;64;63;65;1;0
3142;67;84;63;65;1;0
3182;67;84;63;65;1;0
3223;67;84;63;65;1;0
3268;67;84;63;65;1;0
3311;67;84;63;65;1;0
3351;67;64;63;65;1;0
3393;67;64;63;65;1;0
3434;67;64;63;65;1;0
3477;67;64;63;65;1;0
3521;67;64;63;65;1;0
3563;67;64;63;65;1;0
3608;67;64;63;65;1;0
3648;67;84;63;65;1;0
3689;67;84;63;65;1;0
3732;67;84;63;65;1;0
3773;67;84;63;65;1;0
3813;67;84;63;65;1;0
3857;67;64;63;65;1;0
3901;67;64;63;65;1;0
3941;67;64;63;65;1;0
3986;67;64;63;65;1;0
4028;67;64;63;65;1;0
4071;67;64;63;65;1;0
4116;67;64;63;65;1;0
4159;67;84;63;65;1;0
4200;67;84;63;65;1;0
4245;67;84;63;65;1;0
4291;67;84;63;65;1;0
4336;60;64;63;65;1;0
4377;63;64;63;65;1;1
4422;63;64;63;65;1;1
4463;63;64;63;65;1;1
4506;63;64;63;65;1;1
4549;61;64;63;65;1;1
4591;61;64;63;65;1;1
4635;61;84;63;65;1;1
4680;61;64;63;65;1;1
4721;62;64;63;65;1;1
4763;62;64;63;65;1;1
4804;61;64;63;65;1;1
4845;61;64;63;65;1;1
4891;61;64;63;65;1;1
4936;61;64;63;65;1;1
4976;60;64;63;65;1;1
5018;60;64;63;65;1;1
5061;60;64;63;65;1;1
5102;60;64;63;65;1;1
5142;60;64;63;65;1;1
5185;60;64;63;65;1;1
5226;60;64;63;65;1;1
5271;60;64;63;65;1;1
5312;60;64;63;65;1;1
5356;60;64;63;65;1;1
5398;60;64;63;65;1;1
5443;64;64;63;65;1;1
5483;64;64;63;65;1;1
5524;64;64;63;65;1;1
5566;64;64;63;65;1;1
5606;64;44;63;65;1;1
5648;65;44;63;65;1;1
5689;65;44;63;65;1;1
5735;65;44;63;65;1;1
5775;65;44;63;65;1;1
5820;65;64;63;65;1;1
5865;65;64;63;65;1;1
5905;67;64;63;65;1;1
5946;67;64;63;65;1;1
5991;68;64;63;65;1;1
6032;68;64;63;65;1;1
6072;68;64;63;65;1;1
6113;68;44;63;65;1;1
6158;68;44;63;65;1;1
6199;71;44;63;65;1;1
6242;71;44;63;65;1;1
6283;68;44;63;65;1;1
6325;68;64;63;65;1;1
6366;70;64;63;65;1;1
6410;70;64;63;65;1;1
6452;73;64;63;65;1;1
6498;73;64;63;65;1;1
6540;73;64;63;65;1;1
6582;73;64;63;65;1;1
6623;73;64;63;65;1;1
6664;73;44;63;65;1;1
6705;73;44;63;65;1;1
6746;73;44;63;65;1;1
6791;73;44;63;65;1;1
6833;73;64;63;65;1;1
6875;73;64;63;65;1;1
6916;73;64;63;65;1;1
6961;73;64;63;65;1;1
7002;73;64;63;65;1;1
7045;73;64;63;65;1;1
7090;73;64;63;65;1;1
7131;73;64;63;65;1;1
7173;75;44;63;65;1;1
7213;75;44;63;65;1;1
7255;75;44;63;65;1;1
7296;75;44;63;65;1;1
7337;75;44;63;65;1;1
7378;75;64;63;65;1;1
7422;75;64;63;65;1;1
7469;75;64;63;65;1;1
7513;75;64;63;65;1;1
7553;75;64;63;65;1;1
7593;75;64;63;65;1;1
7639;75;64;63;65;1;1
7680;75;64;63;65;1;1
7721;75;64;63;65;1;1
7761;75;64;63;65;1;1
7805;75;64;63;65;1;1
7850;75;64;63;65;1;1
7892;75;64;63;65;1;1
7932;75;64;63;65;1;1
7975;75;64;63;65;1;1
8016;75;64;63;65;1;1
8056;75;64;63;65;1;1
8098;75;64;63;65;1;1
8144;75;64;63;65;1;1
8185;75;64;63;65;1;1
8226;75;64;63;65;1;1
8268;75;64;63;65;1;1
8312;77;64;63;65;1;1
8353;77;64;63;65;1;1
8394;77;64;63;65;1;1
8438;77;64;63;65;1;1
8486;78;64;63;65;1;1
8527;78;64;63;65;1;1
8571;78;64;63;65;1;1
8617;78;64;63;65;1;1
8662;78;64;63;65;1;1
8704;78;64;63;65;1;1
8746;78;64;63;65;1;1
8787;78;64;63;65;1;1
8834;71;84;63;65;1;1
8876;71;84;63;65;1;1
8917;71;84;63;65;1;1
8957;71;64;63;65;1;1
8997;71;64;63;65;1;1
9038;71;64;63;65;1;1
9078;70;64;63;65;1;1
9124;70;64;63;65;1;1
9165;70;64;63;65;1;1
9210;70;64;63;65;1;1
9251;70;84;63;65;1;1
9296;69;84;63;65;1;1
9336;69;84;63;65;1;1
9377;69;84;63;65;1;1
9421;69;84;63;65;1;1
9465;67;64;63;65;1;1
9506;67;64;63;65;1;1
9548;68;64;63;65;1;1
9589;68;64;63;65;1;1
9630;69;64;63;65;1;1
9670;69;64;63;65;1;1
9712;69;64;63;65;1;1
9752;67;64;63;65;1;1
9793;67;84;63;65;1;1
9838;66;84;63;65;1;1
9878;66;84;63;65;1;1
9921;68;84;63;65;1;1
9963;68;84;63;65;1;1
10007;68;64;63;65;1;1
10049;68;64;63;65;1;1
10093;68;64;63;65;1;1
10137;68;64;63;65;1;1
10178;67;64;63;65;1;1
10219;67;64;63;65;1;1
10260;67;64;63;65;1;1
10300;68;84;63;65;1;1
10346;68;84;63;65;1;1
10389;68;84;63;65;1;1
10431;68;84;63;65;1;1
10475;68;84;63;65;1;1
10517;68;64;63;65;1;1
10563;67;64;63;65;1;1
10607;67;64;63;65;1;1
10653;68;64;63;65;1;1
10697;68;64;63;65;1;1
10738;69;64;63;65;1;1
10779;69;64;63;65;1;1
10824;69;84;63;65;1;1
10864;68;84;63;65;1;1
10904;68;84;63;65;1;1
10945;68;84;63;65;1;1
10987;68;64;63;65;1;1
11032;68;64;63;65;1;1
11075;68;64;63;65;1;1
11116;69;64;63;65;1;1
11161;69;64;63;65;1;1
11205;69;64;63;65;1;1
11247;69;64;63;65;1;1
11291;69;84;63;65;1;1
11333;69;64;63;65;1;1
11378;69;64;63;65;1;1
11418;69;64;63;65;1;1
11460;70;64;63;65;1;1
11500;70;64;63;65;1;1
11542;69;64;63;65;1;1
11583;69;64;63;65;1;1
11623;69;64;63;65;1;1
11668;70;64;63;65;1;1
11711;70;64;63;65;1;1
11752;70;64;63;65;1;1
11794;70;64;63;65;1;1
11840;71;64;63;65;1;1
11881;71;64;63;65;1;1
11921;72;64;63;65;1;1
11962;72;64;63;65;1;1
12002;72;64;63;65;1;1
12044;72;64;63;65;1;1
12087;71;64;63;65;1;1
12134;71;64;63;65;1;1
12175;72;64;63;65;1;1
12219;72;64;63;65;1;1
12260;72;64;63;65;1;1
12305;72;64;63;65;1;1
12347;72;64;63;65;1;1
12388;73;64;63;65;1;1
12429;73;64;63;65;1;1
12474;74;64;63;65;1;1
12516;74;64;63;65;1;1
12560;74;84;63;65;1;1
12603;74;64;63;65;1;1
12643;74;64;63;65;1;1
12688;74;64;63;65;1;1
12730;74;64;63;65;1;1
12775;74;64;63;65;1;1
12816;74;64;63;65;1;1
12861;75;64;63;65;1;1
12906;75;64;63;65;1;1
12951;75;64;63;65;1;1
12994;75;64;63;65;1;1
13039;74;64;63;65;1;1
13084;74;64;63;65;1;1
13129;75;64;63;65;1;1
13169;75;64;63;65;1;1
13211;75;64;63;65;1;1
13253;75;64;63;65;1;1
13297;75;64;63;65;1;1
13340;75;64;63;65;1;1
13385;75;64;63;65;1;1
13431;75;64;63;65;1;1
13475;75;64;63;65;1;1
13519;75;64;63;65;1;1
13560;74;64;63;65;1;1
13603;74;64;63;65;1;1
13648;74;64;63;65;1;1
13692;74;64;63;65;1;1
13736;74;64;63;65;1;1
13778;74;64;63;65;1;1
13823;74;64;63;65;1;1
13867;74;64;63;65;1;1
13908;75;64;63;65;1;1
13951;75;64;63;65;1;1
13991;75;64;63;65;1;1
14032;75;64;63;65;1;1
14074;75;64;63;65;1;1
14116;75;64;63;65;1;1
14162;75;64;63;65;1;1
14208;74;64;63;65;1;1
14250;74;64;63;65;1;1
14290;75;64;63;65;1;1
14334;75;64;63;65;1;1
14376;75;64;63;65;1;1
14419;75;64;63;65;1;1
14461;75;64;63;65;1;1
14501;75;64;63;65;1;1
14542;75;64;63;65;1;1
14587;75;64;63;65;1;1
14629;75;64;63;65;1;1
14674;75;64;63;65;1;1
14716;75;64;63;65;1;1
14759;74;84;63;65;1;1
14802;74;64;63;65;1;1
14843;73;64;63;65;1;1
14883;73;64;63;65;1;1
14924;73;64;63;65;1;1
14971;73;64;63;65;1;1
15013;73;64;63;65;1;1
15057;73;64;63;65;1;1
15102;73;64;63;65;1;1
15147;73;64;63;65;1;1
15189;73;64;63;65;1;1
15229;72;64;63;65;1;1
15271;72;64;63;65;1;1
15312;73;64;63;65;1;1
15354;73;64;63;65;1;1
15399;73;64;63;65;1;1
15444;73;64;63;65;1;1
15489;74;64;63;65;1;1
15531;74;64;63;65;1;1
15571;72;64;63;65;1;1
15618;72;64;63;65;1;1
15659;72;64;63;65;1;1
15704;72;84;63;65;1;1
15747;72;64;63;65;1;1
15788;60;64;63;65;2;1
15833;60;64;63;65;2;1
15878;60;64;63;65;2;1
15921;60;64;63;65;2;1
15961;59;64;63;65;2;1
16003;59;64;63;65;2;1
16044;59;64;63;65;2;1
16085;59;64;63;65;2;1
16125;58;64;63;65;2;1
16166;58;64;63;65;2;1
16207;58;64;63;65;2;1
16247;58;64;63;65;2;1
16290;57;64;63;65;2;1
16330;57;64;63;65;2;1
16376;57;64;63;65;2;1
16422;57;64;63;65;2;1
16468;57;64;63;65;2;1
16509;57;64;63;65;2;1
16549;57;64;63;65;2;1
16590;57;64;63;65;2;1
16636;57;64;63;65;2;1
16677;57;64;63;65;2;1
16721;57;64;63;65;2;1
16766;57;64;63;65;2;1
16812;57;64;63;65;2;1
16853;57;64;63;65;2;1
16893;57;64;63;65;2;1
16936;57;64;63;65;2;1
16978;57;64;63;65;2;1
17020;57;64;63;65;2;1
17063;57;64;63;65;2;1
17105;57;64;63;65;2;1
17146;57;64;63;65;2;1
17188;57;64;63;65;2;1
17232;57;64;63;65;2;1
17277;57;64;63;65;2;1
17318;0;64;63;65;4;1
17364;0;64;63;65;4;1
17405;0;64;63;65;4;1
17449;0;64;63;65;4;1
17491;0;64;63;65;4;1
17533;0;64;63;65;4;1
17575;0;64;63;65;4;1
17619;0;64;63;65;4;1
17659;0;64;63;65;4;1
17700;0;64;63;65;4;1
17746;0;64;63;65;4;1
17791;0;64;63;65;4;1
17833;0;64;63;65;4;1
17873;0;64;63;65;4;1
17919;0;64;63;65;4;1
17959;0;64;63;65;4;1
18004;0;64;63;65;4;1
18050;0;64;63;65;4;1
18094;0;64;63;65;4;1
18136;0;64;63;65;4;1
18181;0;64;63;65;4;1
18224;0;64;63;65;4;1
18269;0;64;63;65;4;1
18309;0;64;63;65;4;1
18350;0;64;63;65;4;1
18397;0;64;63;65;4;1
18437;0;64;63;65;4;1
18482;0;64;63;65;4;1
18523;0;64;63;65;4;1
18564;0;64;63;65;4;1
18607;0;64;63;65;4;1
18648;0;64;63;65;4;1
18690;0;64;63;65;4;1
18732;0;64;63;65;4;1
18777;0;64;63;65;4;1
18819;0;64;63;65;4;1
18867;0;64;63;65;4;1
18913;0;64;63;65;4;1
18957;0;64;63;65;4;1
19003;0;64;63;65;4;1
19044;0;64;63;65;4;1
19085;0;64;63;65;4;1
19129;0;64;63;65;4;1
19175;0;64;63;65;4;1
19216;0;64;63;65;4;1
19260;0;64;63;65;4;1
19302;0;64;63;65;4;1
19345;0;64;63;65;4;1
19387;0;64;63;65;4;1
19427;0;64;63;65;4;1
19472;0;64;63;65;4;1
19516;0;64;63;65;4;1
19561;0;64;63;65;4;1
19605;0;64;63;65;4;1
19649;0;64;63;65;4;1
19693;0;64;63;65;4;1
19735;0;64;63;65;4;1
19776;0;64;63;65;4;1
19820;0;64;63;65;4;1
19861;0;64;63;65;4;1
19907;0;64;63;65;4;1
19949;0;64;63;65;4;1
19996;0;64;63;65;4;1
20037;0;64;63;65;4;1
20081;0;64;63;65;4;1
20122;0;64;63;65;4;1
20167;0;64;63;65;4;1
20209;0;64;63;65;4;1
20255;0;64;63;65;4;1
20296;0;64;63;65;4;1
20337;0;64;63;65;4;1
20383;0;64;63;65;4;1
20427;0;64;63;65;4;1
20471;0;64;63;65;4;1
20516;0;64;63;65;4;1
20556;0;64;63;65;4;1
20602;0;64;63;65;4;1
20642;0;64;63;65;4;1
20686;0;64;63;65;4;1
20726;0;64;63;65;4;1
20767;0;64;63;65;4;1
20810;0;64;63;65;4;1
20853;0;64;63;65;4;1
20898;0;64;63;65;4;1
20940;0;64;63;65;4;1
20986;0;64;63;65;4;1
21028;0;64;63;65;4;1
21071;0;64;63;65;4;1
21113;0;64;63;65;4;1
21154;0;64;63;65;4;1
21199;0;64;63;65;4;1
21239;0;64;63;65;4;1
21280;0;64;63;65;4;1
21326;0;64;63;65;4;1
21368;0;64;63;65;4;1
21408;0;64;63;65;4;1
21452;0;64;63;65;4;1
21497;0;64;63;65;4;1
21542;0;64;63;65;4;1
21586;0;64;63;65;4;1
21626;0;64;63;65;4;1
21672;0;64;63;65;4;1
21714;0;64;63;65;4;1
21759;0;64;63;65;4;1
21805;0;64;63;65;4;1
21847;0;64;63;65;4;1
21892;0;64;63;65;4;1
