TEMPS;THROTTLE;YAW;PITCH;TRIM
123;0;62;63;63
173;0;62;63;63
225;0;62;63;63
275;0;62;63;63
325;0;62;63;63
375;0;62;63;63
425;0;62;63;63
475;0;62;63;63
526;0;62;63;63
577;0;62;63;63
627;0;62;62;63
677;0;62;63;63
729;0;62;63;63
779;0;62;63;63
829;0;62;63;63
879;0;62;63;63
931;0;62;63;63
984;0;62;63;63
1036;0;62;63;63
1087;0;62;63;63
1137;0;62;63;63
1187;0;62;63;63
1237;0;62;63;63
1287;0;62;63;63
1337;0;62;63;63
1388;0;62;63;63
1438;0;62;63;63
1489;0;62;63;63
1539;0;62;63;63
1590;0;62;63;63
1639;0;62;63;63
1690;0;62;63;63
1739;0;62;63;63
1789;0;62;63;63
1839;0;62;63;63
1890;0;62;63;63
1939;0;62;63;63
1989;0;62;63;63
2039;0;62;63;63
2089;0;62;63;63
2139;0;62;63;63
2189;0;62;63;63
2239;0;62;63;63
2289;0;62;63;63
2339;0;62;63;63
2389;0;62;63;63
2440;0;62;63;63
2489;0;62;63;63
2539;0;62;63;63
2589;0;62;63;63
2639;0;62;63;63
2689;0;62;63;63
2741;0;62;63;63
2791;0;62;63;63
2842;0;62;63;63
2892;0;62;63;63
2943;0;62;63;63
2993;0;62;63;63
3043;0;62;63;63
3093;0;62;63;63
3143;0;62;63;63
3195;0;62;63;63
3245;0;62;63;63
3295;0;62;63;63
3345;0;62;63;63
3395;0;62;63;63
3445;0;62;63;63
3495;0;62;63;63
3545;0;62;63;63
3595;0;62;63;63
3645;0;62;62;63
3695;0;62;63;63
3745;0;62;63;63
3795;0;62;63;63
3845;0;62;63;63
3895;0;62;63;63
3945;0;62;63;63
3995;0;62;63;63
4045;0;62;63;63
4096;0;62;63;63
4148;0;62;63;63
4197;0;62;63;63
4248;0;62;63;63
4299;0;62;63;63
4354;0;62;63;63
4405;0;62;63;63
4456;0;62;63;63
4507;0;62;63;63
4557;0;62;63;63
4608;0;62;63;63
4659;0;62;63;63
4709;0;62;63;63
4759;0;62;63;63
4812;0;62;63;63
4863;0;62;63;63
4913;0;62;63;63
4963;0;62;63;63
5014;0;62;63;63
5066;0;62;63;63
5116;0;62;63;63
5167;0;62;63;63
5217;0;62;63;63
5268;0;62;63;63
5318;0;62;63;63
5370;0;62;63;63
5420;0;62;63;63
5470;0;62;63;63
5521;0;62;63;63
5571;0;62;63;63
5621;0;62;63;63
5671;0;62;63;63
5722;1;62;63;63
5771;2;62;63;63
5821;5;62;63;63
5871;8;62;63;63
5922;12;62;63;63
5973;15;62;63;63
6023;19;62;63;63
6073;22;62;63;63
6124;25;62;63;63
6177;29;62;63;63
6227;33;62;63;63
6277;36;62;63;63
6327;40;62;63;63
6377;43;62;63;63
6428;45;62;63;63
6479;45;62;63;63
6530;45;62;63;63
6581;45;62;63;63
6632;45;62;63;63
6684;45;62;63;63
6734;45;62;63;63
6785;45;62;63;63
