temps_ms;throttle;yaw;pitch;trim;estat
66;21;63;63;63;0
106;22;63;63;63;0
147;23;63;63;63;0
189;24;63;63;63;0
251;25;63;63;63;0
294;26;63;63;63;0
340;27;63;63;63;0
382;28;63;63;63;0
427;29;63;63;63;0
469;30;63;63;63;0
509;31;63;63;63;0
550;32;63;63;63;0
593;33;63;63;63;0
638;34;63;63;63;0
678;35;63;63;63;0
722;36;63;63;63;0
763;37;63;63;63;0
805;38;63;63;63;0
850;39;63;63;63;0
893;40;63;63;63;0
935;41;63;63;63;0
976;42;63;63;63;0
1022;43;63;63;63;0
1064;44;63;63;63;0
1109;45;63;63;63;0
1152;46;63;63;63;0
1194;47;63;63;63;0
1239;48;63;63;63;0
1282;49;63;63;63;0
1326;50;63;63;63;0
1370;51;63;63;63;0
1414;52;63;63;63;0
1460;53;63;63;63;0
1502;54;63;63;63;0
1545;55;63;63;63;0
1589;56;63;63;63;0
1629;57;63;63;63;0
1673;58;63;63;63;0
1716;59;63;63;63;0
1761;60;63;63;63;0
1801;60;63;63;63;0
1843;61;63;63;63;0
1884;62;63;63;63;0
1927;63;63;63;63;0
1968;64;63;63;63;0
2008;65;63;63;63;0
2049;66;63;63;63;0
2098;67;63;63;63;0
2139;68;63;63;63;0
2181;69;63;63;63;0
2223;70;63;63;63;0
2265;70;63;63;63;0
2306;70;63;63;63;0
2349;70;63;63;63;0
2390;70;63;63;63;0
2432;70;63;63;63;0
2475;70;63;63;63;0
2517;70;63;63;63;0
2558;70;63;63;63;0
2603;70;63;63;63;0
2647;70;63;63;63;0
2689;70;63;63;63;0
2735;70;63;63;63;0
2779;70;63;63;63;0
2820;70;63;63;63;0
2863;70;63;63;63;0
2909;70;63;63;63;0
2951;70;63;63;63;0
2993;70;63;63;63;0
3035;70;63;63;63;0
3080;70;63;63;63;0
3120;70;63;63;63;0
3164;70;63;63;63;0
3209;70;63;63;63;0
3254;70;63;63;63;0
3296;70;63;63;63;0
3342;70;63;63;63;0
3385;70;63;63;63;0
3427;70;63;63;63;0
3467;70;63;63;63;0
3509;70;63;63;63;0
3554;70;63;63;63;0
3595;70;63;63;63;0
3635;70;63;63;63;0
3680;70;63;63;63;0
3720;70;63;63;63;0
3762;70;63;63;63;0
3808;70;63;63;63;0
3849;70;63;63;63;0
3895;70;63;63;63;0
3940;70;63;63;63;0
3981;70;63;63;63;0
4023;70;63;63;63;0
4069;70;88;63;63;0
4115;70;88;63;63;0
4155;70;88;63;63;0
4197;70;88;63;63;0
4238;70;88;63;63;0
4282;70;88;63;63;0
4323;70;63;63;63;0
4364;70;63;63;63;0
4405;70;63;63;63;0
4448;70;63;63;63;0
4489;70;63;63;63;0
4535;70;63;63;63;0
4575;70;63;63;63;0
4618;70;63;63;63;0
4661;70;63;63;63;0
4773;70;63;63;63;1
4816;68;88;63;63;1
4859;68;88;63;63;1
4900;68;88;63;63;1
4942;68;88;63;63;1
4982;68;88;63;63;1
5027;68;88;63;63;1
5069;66;88;63;63;1
5110;66;88;63;63;1
5155;65;88;63;63;1
5195;65;88;63;63;1
5236;65;88;63;63;1
5279;65;88;63;63;1
5325;64;63;63;63;1
5368;64;63;63;63;1
5411;64;63;63;63;1
5451;64;63;63;63;1
5493;65;63;63;63;1
5538;65;63;63;63;1
5583;63;63;63;63;1
5626;63;63;63;63;1
5670;64;63;63;63;1
5717;64;88;63;63;1
5762;64;88;63;63;1
5805;64;88;63;63;1
5850;65;88;63;63;1
5895;65;88;63;63;1
5936;64;63;63;63;1
5977;64;63;63;63;1
6019;64;63;63;63;1
6062;64;63;63;63;1
6103;64;63;63;63;1
6149;64;63;63;63;1
6189;64;63;63;63;1
6232;63;63;63;63;1
6277;63;63;63;63;1
6322;62;63;63;63;1
6368;62;63;63;63;1
6408;63;63;63;63;1
6452;63;63;63;63;1
6497;63;63;63;63;1
6540;63;63;63;63;1
6580;63;63;63;63;1
6626;63;63;63;63;1
6667;63;63;63;63;1
6710;63;63;63;63;1
6798;64;38;63;63;1
6844;65;38;63;63;1
6886;65;38;63;63;1
6926;64;38;63;63;1
6970;64;38;63;63;1
7011;65;38;63;63;1
7052;65;38;63;63;1
7096;66;38;63;63;1
7138;66;38;63;63;1
7181;66;38;63;63;1
7222;65;38;63;63;1
7263;65;63;63;63;1
7306;65;63;63;63;1
7347;65;63;63;63;1
7392;65;63;63;63;1
7433;65;63;63;63;1
7474;65;63;63;63;1
7518;65;63;63;63;1
7560;65;63;63;63;1
7603;65;63;63;63;1
7643;65;63;63;63;1
7692;66;38;63;63;1
7736;66;38;63;63;1
7777;66;38;63;63;1
7818;66;38;63;63;1
7862;67;38;63;63;1
7903;67;38;63;63;1
7947;68;38;63;63;1
7993;68;38;63;63;1
8036;67;38;63;63;1
8080;67;38;63;63;1
8120;68;38;63;63;1
8164;68;38;63;63;1
8206;68;63;63;63;1
8248;68;63;63;63;1
8289;68;63;63;63;1
8330;68;63;63;63;1
8375;68;63;63;63;1
8419;68;63;63;63;1
8460;68;63;63;63;1
8502;69;63;63;63;1
8544;69;63;63;63;1
8585;69;63;63;63;1
8630;69;63;63;63;1
8673;69;63;63;63;1
8717;69;63;63;63;1
8783;68;88;63;63;1
8829;68;88;63;63;1
8875;68;88;63;63;1
8920;68;88;63;63;1
8962;68;88;63;63;1
9004;68;63;63;63;1
9045;68;63;63;63;1
9088;68;63;63;63;1
9131;68;63;63;63;1
9173;68;63;63;63;1
9215;69;63;63;63;1
9256;69;63;63;63;1
9300;68;63;63;63;1
9344;68;63;63;63;1
9385;68;63;63;63;1
9430;68;88;63;63;1
9473;69;88;63;63;1
9513;69;88;63;63;1
9554;69;88;63;63;1
9601;68;88;63;63;1
9645;68;88;63;63;1
9687;68;88;63;63;2
9728;59;88;63;63;2
9768;58;88;63;63;2
9812;57;88;63;63;2
9854;56;63;63;63;2
9897;56;63;63;63;2
9938;56;63;63;63;2
9980;56;63;63;63;2
10023;56;63;63;63;2
10065;56;63;63;63;2
10106;56;63;63;63;2
10148;56;63;63;63;2
10195;56;63;63;63;2
10235;56;63;63;63;2
10275;56;88;63;63;2
10318;56;88;63;63;2
10358;56;88;63;63;2
10403;56;88;63;63;2
10446;56;88;63;63;2
10487;56;88;63;63;2
10529;56;88;63;63;2
10570;56;88;63;63;2
10613;56;63;63;63;2
10655;56;63;63;63;2
10695;56;63;63;63;2
10736;56;63;63;63;2
10778;56;63;63;63;2
10819;56;63;63;63;2
10903;56;63;63;63;3
10947;70;63;63;63;3
10988;70;63;63;63;3
11031;70;63;63;63;3
11075;70;63;63;63;3
11117;70;63;63;63;3
11157;70;63;63;63;3
11200;70;63;63;63;3
11246;70;63;63;63;3
11289;70;63;63;63;3
11330;70;63;63;63;3
11372;70;63;63;63;3
11417;70;63;63;63;3
11462;70;63;63;63;3
11507;70;63;63;63;3
11551;0;63;63;63;4
11594;0;63;63;63;4
11638;0;63;63;63;4
11683;0;63;63;63;4
11726;0;63;63;63;4
11767;0;63;63;63;4
11807;0;63;63;63;4
11848;0;63;63;63;4
11893;0;63;63;63;4
11937;0;63;63;63;4
11982;0;63;63;63;4
12024;0;63;63;63;4
12067;0;63;63;63;4
12111;0;63;63;63;4
12153;0;63;63;63;4
12196;0;63;63;63;4
12241;0;63;63;63;4
12282;0;63;63;63;4
12324;0;63;63;63;4
12365;0;63;63;63;4
12409;0;63;63;63;4
12451;0;63;63;63;4
12491;0;63;63;63;4
12533;0;63;63;63;4
12576;0;63;63;63;4
12621;0;63;63;63;4
12663;0;63;63;63;4
12704;0;63;63;63;4
12745;0;63;63;63;4
12790;0;63;63;63;4
12831;0;63;63;63;4
12873;0;63;63;63;4
12917;0;63;63;63;4
12957;0;63;63;63;4
13002;0;63;63;63;4
13047;0;63;63;63;4
13090;0;63;63;63;4
13134;0;63;63;63;4
13179;0;63;63;63;4
13219;0;63;63;63;4
13265;0;63;63;63;4
13306;0;63;63;63;4
13352;0;63;63;63;4
13394;0;63;63;63;4
13434;0;63;63;63;4
13478;0;63;63;63;4
13518;0;63;63;63;4
13563;0;63;63;63;4
13608;0;63;63;63;4
13650;0;63;63;63;4
13693;0;63;63;63;4
13736;0;63;63;63;4
13777;0;63;63;63;4
13818;0;63;63;63;4
13859;0;63;63;63;4
13904;0;63;63;63;4
13944;0;63;63;63;4
13990;0;63;63;63;4
