TEMPS;THROTTLE;YAW;PITCH;TRIM
111;0;64;61;63
161;0;63;61;63
211;0;63;61;63
261;0;63;61;63
311;0;63;61;63
364;0;63;61;63
415;0;63;61;63
466;0;64;61;63
517;0;63;61;63
567;0;63;61;63
617;0;63;61;63
667;0;63;61;63
717;0;63;61;63
767;0;63;62;63
817;0;63;61;63
867;0;64;61;63
917;0;63;61;63
967;0;63;61;63
1017;0;63;61;63
1067;0;63;62;63
1117;0;63;61;63
1167;0;63;61;63
1217;0;63;62;63
1267;0;64;61;63
1319;0;63;61;63
1369;0;63;61;63
1419;0;63;61;63
1469;0;63;61;63
1519;0;63;61;63
1569;0;63;61;63
1619;0;63;62;63
1669;0;63;61;63
1719;0;63;61;63
1769;0;64;61;63
1819;0;63;61;63
1869;0;63;62;63
1919;0;63;61;63
1969;0;63;61;63
2019;0;63;61;63
2071;0;63;61;63
2122;0;63;62;63
2173;0;63;61;63
2223;0;63;61;63
2273;0;63;61;63
2323;0;63;61;63
2373;0;63;62;63
2423;0;63;61;63
2475;0;63;61;63
2525;0;63;61;63
2575;0;63;61;63
2625;0;63;61;63
2675;0;63;61;63
2726;0;63;61;63
2775;0;63;61;63
2825;0;63;61;63
2875;0;63;62;63
2926;0;63;61;63
2976;0;63;61;63
3027;0;63;61;63
3077;0;63;61;63
3128;0;63;61;63
3177;0;63;61;63
3228;0;63;61;63
3279;0;63;62;63
3329;0;63;61;63
3379;0;63;61;63
3429;0;64;61;63
3479;0;63;61;63
3530;0;63;61;63
3581;0;63;61;63
3631;0;63;62;63
3683;0;63;61;63
3733;0;63;61;63
3783;0;64;61;63
3834;0;63;61;63
3885;0;63;61;63
3935;0;63;61;63
3985;0;63;61;63
4035;0;63;61;63
4085;0;63;61;63
4135;0;63;61;63
4185;0;64;61;63
4235;0;63;61;63
4288;0;63;61;63
4339;0;63;61;63
4389;0;63;61;63
4439;0;63;61;63
4489;0;63;62;63
4539;0;63;61;63
4589;0;63;61;63
4639;0;63;61;63
4689;0;63;61;63
4739;0;63;61;63
4791;0;63;61;63
4843;0;63;61;63
4894;0;63;61;63
4944;0;63;61;63
4995;0;63;61;63
5045;0;64;61;63
5095;0;63;62;63
5146;0;63;61;63
5197;0;64;61;63
5247;0;63;61;63
5298;0;63;61;63
5348;0;63;61;63
5399;0;63;61;63
5449;0;63;61;63
5499;0;63;61;63
5549;0;63;61;63
5599;0;63;61;63
5652;0;63;61;63
5703;0;63;61;63
5753;0;63;61;63
5804;0;63;61;63
5857;0;63;61;63
5908;0;63;61;63
5958;0;63;61;63
6008;0;63;61;63
6058;0;63;61;63
6109;0;63;61;63
6159;1;63;61;63
6209;3;64;61;63
6259;7;63;61;63
6309;11;63;61;63
6359;15;63;61;63
6409;19;63;61;63
6460;23;63;61;63
6511;28;63;61;63
6561;32;64;61;63
6611;36;63;61;63
6661;40;63;61;63
6711;44;63;61;63
6761;48;63;61;63
6812;49;63;61;63
6863;49;63;61;63
6913;49;63;62;63
6963;50;64;61;63
7013;50;64;61;63
7063;50;63;61;63
7113;50;63;61;63
7164;50;63;61;63
7216;51;63;61;63
7266;51;63;61;63
7316;51;63;61;63
7366;51;63;62;63
7417;51;64;61;63
7467;51;63;61;63
7517;52;63;61;63
7567;52;63;61;63
7619;52;63;61;63
7669;53;63;61;63
7723;53;63;61;63
7776;54;63;61;63
7826;54;64;61;63
7877;54;55;63;63
7927;54;12;58;63
7977;55;12;58;63
8027;55;43;58;63
8078;55;60;61;63
8132;56;61;61;63
8181;56;61;61;63
8232;57;61;61;63
8281;62;61;61;63
8332;67;61;61;63
8384;68;61;61;63
8434;68;61;61;63
8485;68;61;61;63
8535;68;61;61;63
8585;68;61;61;63
8635;69;61;61;63
8685;69;61;61;63
8735;69;61;61;63
8785;69;61;61;63
8835;69;61;61;63
8885;69;61;61;63
8935;69;61;61;63
8986;69;61;61;63
9035;70;61;61;63
9085;70;61;61;63
9136;70;61;61;63
9187;70;61;61;63
