temps_ms;cx;cy;amplada;alcada
1533;318;410;237;136
1762;319;389;239;175
1877;324;391;246;169
1996;317;392;247;171
2098;317;391;233;173
2206;413;318;37;51
2308;318;395;233;165
2416;331;392;244;168
2533;329;401;250;151
2634;322;390;248;173
2737;289;411;167;132
2833;321;390;242;173
2936;326;388;249;178
3039;323;389;251;173
3145;323;391;250;172
3240;322;390;245;176
3377;323;390;247;176
3479;329;412;72;135
3578;326;388;250;177
3679;329;411;73;138
3777;324;391;249;172
3874;324;391;252;174
3969;329;413;71;135
4067;328;413;71;134
4167;329;413;71;133
4267;327;387;251;178
4367;328;388;250;176
4466;323;390;244;174
4565;323;390;249;173
4661;326;397;251;159
4759;329;387;250;180
4963;303;409;204;136
5078;299;410;194;134
5207;305;410;197;131
5324;285;411;175;134
5437;322;394;247;168
5537;324;406;239;144
5640;318;406;238;139
5742;318;397;239;159
5844;313;411;222;131
5945;321;407;241;140
6042;321;409;242;138
6136;317;395;234;166
6233;322;393;245;169
6344;319;393;242;169
6472;313;392;219;171
6634;;;;
6736;;;;
6837;;;;
6937;;;;
7034;;;;
7127;338;414;266;125
7225;294;411;146;134
7323;287;413;159;130
7430;300;412;136;130
7531;325;382;241;191
7635;296;406;174;143
7739;293;376;180;204
7833;286;405;167;144
7939;306;376;209;202
8037;287;411;174;134
8172;302;410;206;136
8272;323;375;246;206
8373;322;376;235;203
8472;321;375;234;207
8573;326;414;81;124
8669;309;376;200;204
8815;296;412;146;131
8947;369;313;43;65
9053;329;412;88;131
9164;367;314;41;68
9276;368;315;40;68
9448;292;375;181;208
9596;297;374;172;207
9734;292;376;179;206
9870;293;374;171;209
10083;291;376;180;206
10210;291;377;169;201
10330;290;377;178;202
10445;307;410;135;131
10562;291;374;167;205
10671;348;308;40;71
10774;;;;
10885;;;;
11001;;;;
11101;;;;
11204;;;;
11311;;;;
11425;;;;
11528;311;378;216;199
11631;313;377;198;199
11765;294;414;153;123
11870;322;385;233;185
11979;315;378;219;200
12091;311;379;215;198
12194;302;378;175;197
12291;306;376;195;201
12391;305;378;193;199
12493;310;376;209;204
12599;316;379;227;198
12706;306;379;203;195
12807;329;415;68;122
12915;328;412;69;128
13028;288;414;173;125
13137;312;395;223;163
13237;318;391;232;171
13373;317;395;222;163
13484;317;395;240;168
13596;310;394;222;168
13696;314;394;234;165
13800;314;394;231;168
13909;311;391;220;171
14017;315;392;231;173
14121;315;391;230;173
14220;314;389;223;177
14312;315;392;229;171
14409;313;392;225;171
14518;313;392;221;172
14618;316;392;228;171
14718;312;392;220;173
14819;312;392;217;171
14952;315;393;228;172
15058;313;392;224;172
15158;314;393;233;169
15258;315;392;229;169
15358;314;392;226;172
15457;314;392;229;172
15569;311;392;229;172
15665;315;393;223;170
15771;313;392;224;172
15858;316;392;227;171
15961;318;393;226;170
16058;315;391;230;172
16157;315;393;228;170
16262;318;391;232;174
